Clave,MUNICIPIO:    ,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,NULOS,TOTAL
45,METLATONOC,1751,CB,5,188,105,0,0,0,14,312
45,METLATONOC,1751,EX,1,19,32,0,0,0,1,53
45,METLATONOC,1752,B,1,48,337,0,0,0,8,394
45,METLATONOC,1753,B,2,163,150,0,0,0,21,336
45,METLATONOC,1753,EXA,1,52,41,0,0,0,2,96
45,METLATONOC,1753,EXB,2,77,81,0,0,0,10,170
45,METLATONOC,1753,EXC,1,82,5,0,0,0,5,93
45,METLATONOC,1754,B,14,267,111,0,0,0,17,409
45,METLATONOC,1754,EX,0,85,14,0,0,0,4,103
45,METLATONOC,1755,B,1,0,168,0,0,0,2,171
45,METLATONOC,1756,B,3,241,186,0,0,0,27,457
45,METLATONOC,1757,B,14,264,66,0,0,0,1,345
45,METLATONOC,1758,B,7,208,72,0,0,0,6,293
45,METLATONOC,1758,EX,0,116,52,0,0,0,6,174
45,METLATONOC,1759,B,0,125,156,0,0,0,29,310
45,METLATONOC,1759,EX,0,20,74,0,0,0,12,106
45,METLATONOC,1760,B,2,233,226,0,0,0,1,462
45,METLATONOC,1761,B,4,97,249,0,0,0,0,350
45,METLATONOC,1762,B,0,30,411,0,0,0,15,456
45,METLATONOC,1762,EX,1,52,15,0,0,0,3,71
,,,,,,,,,,,
46,MOCHITLAN,1764,B,0,208,233,0,7,1,8,457
46,MOCHITLAN,1764,E,0,0,0,0,0,0,0,0
46,MOCHITLAN,1765,B,0,129,217,0,5,1,8,360
46,MOCHITLAN,1766,B,0,217,148,0,1,1,14,381
46,MOCHITLAN,1767,B,0,132,171,0,3,0,10,316
46,MOCHITLAN,1767,C,0,94,216,0,1,4,10,325
46,MOCHITLAN,1768,B,0,100,107,0,0,0,13,220
46,MOCHITLAN,1769,B,0,135,117,0,1,0,8,261
46,MOCHITLAN,1770,B,0,176,113,0,3,0,17,309
46,MOCHITLAN,1771,B,0,36,63,0,1,0,6,106
46,MOCHITLAN,1772,B,0,54,45,0,0,0,1,100
46,MOCHITLAN,1773,B,0,69,54,0,2,0,4,129
46,MOCHITLAN,1774,B,0,101,7,0,0,0,0,108
46,MOCHITLAN,1775,B,0,184,110,0,0,0,11,305
46,MOCHITLAN,1776,B,0,141,59,0,1,0,12,213
46,MOCHITLAN,1777,B,0,72,14,0,0,1,3,90
