municipality,section,PAN,PRI,PRD,MC,NA,PVEM,PT,PRI-PVEM-NA,PRI-PVEM,PRI-NA,Nulos,Validos,Total, ,
QUERÉTARO,288,625,0,126,183,0,0,36,705,0,0,66,1675,1741,,
QUERÉTARO,289,257,0,39,83,0,0,15,240,0,0,27,634,661,,
QUERÉTARO,290,234,0,58,69,0,0,19,319,0,0,23,699,722,,
QUERÉTARO,291,414,0,70,158,0,0,15,448,0,0,45,1105,1150,,
QUERÉTARO,292,329,0,40,125,0,0,13,333,0,0,32,840,872,,
QUERÉTARO,294,267,0,47,70,0,0,11,253,0,0,10,648,658,,
QUERÉTARO,295,404,0,135,79,0,0,24,775,0,0,64,1417,1481,,
QUERÉTARO,296,302,0,65,49,0,0,17,364,0,0,32,797,829,,
QUERÉTARO,297,386,0,41,182,0,0,16,407,0,0,32,1032,1064,,
QUERÉTARO,298,332,0,65,72,0,0,9,291,0,0,39,769,808,,
QUERÉTARO,299,374,0,48,75,0,0,17,312,0,0,39,826,865,,
QUERÉTARO,300,759,0,135,139,0,0,30,855,0,0,43,1918,1961,,
QUERÉTARO,301,333,0,59,67,0,0,12,348,0,0,19,819,838,,
QUERÉTARO,302,408,0,49,190,0,0,13,369,0,0,34,1029,1063,,
QUERÉTARO,303,1036,0,273,254,0,0,46,976,0,0,86,2585,2671,,
QUERÉTARO,304,400,0,78,120,0,0,28,669,0,0,74,1295,1369,,
QUERÉTARO,305,952,0,227,171,0,0,42,897,0,0,91,2289,2380,,
QUERÉTARO,306,280,0,48,25,0,0,11,304,0,0,32,668,700,,
QUERÉTARO,307,315,0,41,40,0,0,7,258,0,0,12,661,673,,
QUERÉTARO,308,1243,0,192,274,0,0,63,963,0,0,65,2735,2800,,
QUERÉTARO,309,298,0,64,53,0,0,21,278,0,0,26,714,740,,
QUERÉTARO,310,339,0,56,58,0,0,11,335,0,0,23,799,822,,
QUERÉTARO,311,231,0,28,48,0,0,9,227,0,0,18,543,561,,
QUERÉTARO,312,328,0,37,38,0,0,12,369,0,0,19,784,803,,
QUERÉTARO,313,812,0,86,88,0,0,37,626,0,0,52,1649,1701,,
QUERÉTARO,314,312,0,46,44,0,0,16,315,0,0,38,733,771,,
QUERÉTARO,315,294,0,59,42,0,0,10,332,0,0,8,737,745,,
QUERÉTARO,316,619,0,101,82,0,0,24,581,0,0,41,1407,1448,,
QUERÉTARO,317,236,0,46,42,0,0,17,299,0,0,10,640,650,,
QUERÉTARO,318,1157,0,232,177,0,0,55,1231,0,0,68,2852,2920,,
QUERÉTARO,319,1064,0,232,238,0,0,64,1177,0,0,80,2775,2855,,
QUERÉTARO,320,543,0,107,128,0,0,27,603,0,0,57,1408,1465,,
QUERÉTARO,321,417,0,66,44,0,0,12,440,0,0,27,979,1006,,
QUERÉTARO,322,268,0,43,49,0,0,23,283,0,0,19,666,685,,
QUERÉTARO,323,2044,0,403,393,0,0,100,2139,0,0,119,5079,5198,,
QUERÉTARO,324,284,0,43,35,0,0,12,244,0,0,10,618,628,,
QUERÉTARO,325,256,0,30,36,0,0,15,333,0,0,14,670,684,,
QUERÉTARO,326,395,0,87,99,0,0,24,462,0,0,56,1067,1123,,
QUERÉTARO,327,729,0,162,104,0,0,36,675,0,0,43,1706,1749,,
QUERÉTARO,328,739,0,137,119,0,0,45,733,0,0,70,1773,1843,,
QUERÉTARO,329,630,0,110,100,0,0,24,603,0,0,37,1467,1504,,
QUERÉTARO,330,298,0,89,50,0,0,17,448,0,0,35,902,937,,
QUERÉTARO,331,545,0,96,86,0,0,30,649,0,0,375,1406,1781,,
QUERÉTARO,332,295,0,70,74,0,0,12,444,0,0,53,895,948,,
QUERÉTARO,333,568,0,62,28,0,0,13,426,0,0,38,1097,1135,,
QUERÉTARO,334,551,0,59,40,0,0,27,434,0,0,174,1111,1285,,
QUERÉTARO,335,279,0,41,52,0,0,20,296,0,0,45,688,733,,
QUERÉTARO,336,410,0,50,64,0,0,11,433,0,0,53,968,1021,,
QUERÉTARO,337,436,0,71,48,0,0,13,281,0,0,36,849,885,,
QUERÉTARO,338,871,0,106,81,0,0,21,813,0,0,50,1892,1942,,
QUERÉTARO,339,282,0,35,38,0,0,10,219,0,0,20,584,604,,
QUERÉTARO,340,513,0,109,74,0,0,34,617,0,0,56,1347,1403,,
QUERÉTARO,341,289,0,72,45,0,0,14,404,0,0,25,824,849,,
QUERÉTARO,342,245,0,59,45,0,0,17,259,0,0,21,625,646,,
QUERÉTARO,343,864,0,160,107,0,0,27,857,0,0,57,2015,2072,,
QUERÉTARO,344,1102,0,217,258,0,0,47,1173,0,0,67,2797,2864,,
QUERÉTARO,345,515,0,94,75,0,0,29,589,0,0,51,1302,1353,,
QUERÉTARO,346,395,0,101,32,0,0,16,535,0,0,59,1079,1138,,
QUERÉTARO,347,384,0,68,71,0,0,15,390,0,0,38,928,966,,
QUERÉTARO,348,324,0,63,98,0,0,24,288,0,0,38,797,835,,
QUERÉTARO,349,509,0,75,65,0,0,16,496,0,0,33,1161,1194,,
QUERÉTARO,350,259,0,56,52,0,0,14,292,0,0,24,673,697,,
QUERÉTARO,351,423,0,32,24,0,0,6,375,0,0,22,860,882,,
QUERÉTARO,352,284,0,39,33,0,0,10,425,0,0,33,791,824,,
QUERÉTARO,353,1520,0,189,106,0,0,39,1246,0,0,86,3100,3186,,
QUERÉTARO,354,253,0,49,46,0,0,6,308,0,0,38,662,700,,
QUERÉTARO,355,293,0,58,60,0,0,27,351,0,0,40,789,829,,
QUERÉTARO,356,519,0,103,64,0,0,21,576,0,0,37,1283,1320,,
QUERÉTARO,357,620,0,111,84,0,0,35,574,0,0,40,1424,1464,,
QUERÉTARO,358,233,0,62,31,0,0,9,231,0,0,14,566,580,,
QUERÉTARO,359,890,0,173,105,0,0,40,729,0,0,66,1937,2003,,
QUERÉTARO,360,382,0,84,46,0,0,25,581,0,0,44,1118,1162,,
QUERÉTARO,361,203,0,40,81,0,0,22,254,0,0,46,600,646,,
QUERÉTARO,362,216,0,50,36,0,0,10,261,0,0,31,573,604,,
QUERÉTARO,363,258,0,48,54,0,0,13,346,0,0,0,719,719,,
QUERÉTARO,364,524,0,76,46,0,0,21,508,0,0,39,1175,1214,,
QUERÉTARO,365,189,0,31,37,0,0,1,235,0,0,25,493,518,,
QUERÉTARO,366,131,0,24,25,0,0,3,173,0,0,14,356,370,,
QUERÉTARO,367,166,0,17,21,0,0,8,191,0,0,22,403,425,,
QUERÉTARO,368,266,0,44,95,0,0,10,337,0,0,33,752,785,,
QUERÉTARO,369,360,0,48,41,0,0,12,266,0,0,22,727,749,,
QUERÉTARO,370,255,0,33,44,0,0,15,235,0,0,16,582,598,,
QUERÉTARO,371,206,0,41,65,0,0,12,257,0,0,16,581,597,,
QUERÉTARO,372,451,0,125,65,0,0,32,602,0,0,46,1275,1321,,
QUERÉTARO,373,330,0,85,30,0,0,22,665,0,0,35,1132,1167,,
QUERÉTARO,374,396,0,62,16,0,0,19,334,0,0,26,827,853,,
QUERÉTARO,375,455,0,44,53,0,0,15,462,0,0,33,1029,1062,,
QUERÉTARO,376,319,0,38,70,0,0,17,316,0,0,35,760,795,,
QUERÉTARO,377,230,0,31,51,0,0,17,362,0,0,48,691,739,,
QUERÉTARO,378,171,0,22,24,0,0,6,193,0,0,15,416,431,,
QUERÉTARO,379,265,0,36,54,0,0,15,225,0,0,17,595,612,,
QUERÉTARO,380,338,0,42,70,0,0,24,379,0,0,43,853,896,,
QUERÉTARO,381,729,0,195,92,0,0,39,712,0,0,48,1767,1815,,
QUERÉTARO,382,404,0,69,58,0,0,21,461,0,0,28,1013,1041,,
QUERÉTARO,383,283,0,52,26,0,0,18,264,0,0,26,643,669,,
QUERÉTARO,384,221,0,35,19,0,0,10,215,0,0,16,500,516,,
QUERÉTARO,385,159,0,38,35,0,0,12,188,0,0,14,432,446,,
QUERÉTARO,386,287,0,50,29,0,0,25,518,0,0,30,909,939,,
QUERÉTARO,387,278,0,50,31,0,0,18,425,0,0,25,802,827,,
QUERÉTARO,388,322,0,58,21,0,0,18,412,0,0,23,831,854,,
QUERÉTARO,389,417,0,50,15,0,0,16,427,0,0,24,925,949,,
QUERÉTARO,390,175,0,41,26,0,0,10,193,0,0,16,445,461,,
QUERÉTARO,391,157,0,25,16,0,0,1,157,0,0,5,356,361,,
QUERÉTARO,392,320,0,45,23,0,0,10,332,0,0,20,730,750,,
QUERÉTARO,393,470,0,99,63,0,0,19,481,0,0,33,1132,1165,,
QUERÉTARO,394,268,0,56,61,0,0,10,367,0,0,42,762,804,,
QUERÉTARO,395,318,0,71,42,0,0,21,439,0,0,32,891,923,,
QUERÉTARO,396,207,0,61,29,0,0,17,312,0,0,30,626,656,,
QUERÉTARO,397,326,0,74,51,0,0,15,366,0,0,40,832,872,,
QUERÉTARO,398,126,0,28,25,0,0,7,234,0,0,16,420,436,,
QUERÉTARO,399,294,0,67,38,0,0,9,309,0,0,35,717,752,,
QUERÉTARO,400,153,0,27,22,0,0,5,186,0,0,17,393,410,,
QUERÉTARO,401,295,0,38,29,0,0,10,329,0,0,31,701,732,,
QUERÉTARO,402,336,0,35,23,0,0,8,354,0,0,23,756,779,,
QUERÉTARO,403,346,0,50,22,0,0,30,407,0,0,27,855,882,,
QUERÉTARO,404,2073,0,247,96,0,0,64,1688,0,0,118,4168,4286,,
QUERÉTARO,405,366,0,34,25,0,0,12,302,0,0,38,739,777,,
QUERÉTARO,406,156,0,40,18,0,0,14,246,0,0,18,474,492,,
QUERÉTARO,407,351,0,50,28,0,0,26,362,0,0,33,817,850,,
QUERÉTARO,408,308,0,49,48,0,0,16,341,0,0,25,762,787,,
QUERÉTARO,409,103,0,23,8,0,0,8,143,0,0,9,285,294,,
QUERÉTARO,410,341,0,43,23,0,0,14,351,0,0,19,772,791,,
QUERÉTARO,411,139,0,37,11,0,0,18,150,0,0,13,355,368,,
QUERÉTARO,412,142,0,37,16,0,0,6,181,0,0,14,382,396,,
QUERÉTARO,413,256,0,45,20,0,0,21,226,0,0,20,568,588,,
QUERÉTARO,414,190,0,37,21,0,0,6,263,0,0,15,517,532,,
QUERÉTARO,415,267,0,44,18,0,0,8,242,0,0,21,579,600,,
QUERÉTARO,416,427,0,86,79,0,0,29,675,0,0,56,1296,1352,,
QUERÉTARO,417,247,0,50,34,0,0,14,259,0,0,17,604,621,,
QUERÉTARO,418,235,0,46,29,0,0,13,305,0,0,23,628,651,,
QUERÉTARO,419,178,0,38,18,0,0,4,159,0,0,14,397,411,,
QUERÉTARO,420,390,0,52,30,0,0,11,418,0,0,24,901,925,,
QUERÉTARO,421,280,0,42,29,0,0,20,339,0,0,30,710,740,,
QUERÉTARO,422,216,0,40,22,0,0,15,290,0,0,23,583,606,,
QUERÉTARO,423,179,0,28,22,0,0,18,224,0,0,7,471,478,,
QUERÉTARO,424,209,0,34,25,0,0,21,240,0,0,15,529,544,,
QUERÉTARO,425,315,0,61,20,0,0,16,270,0,0,26,682,708,,
QUERÉTARO,426,303,0,76,27,0,0,20,357,0,0,23,783,806,,
QUERÉTARO,427,896,0,156,86,0,0,25,730,0,0,40,1893,1933,,
QUERÉTARO,428,311,0,53,29,0,0,7,287,0,0,27,687,714,,
QUERÉTARO,429,245,0,42,34,0,0,16,227,0,0,8,564,572,,
QUERÉTARO,430,293,0,62,22,0,0,31,381,0,0,31,789,820,,
QUERÉTARO,431,208,0,38,24,0,0,12,217,0,0,15,499,514,,
QUERÉTARO,432,182,0,38,20,0,0,10,251,0,0,25,501,526,,
QUERÉTARO,433,164,0,22,26,0,0,8,230,0,0,16,450,466,,
QUERÉTARO,434,313,0,47,19,0,0,8,272,0,0,25,659,684,,
QUERÉTARO,435,1407,0,233,148,0,0,44,1297,0,0,86,3129,3215,,
QUERÉTARO,436,204,0,51,26,0,0,14,246,0,0,19,541,560,,
QUERÉTARO,437,308,0,47,25,0,0,29,371,0,0,28,780,808,,
QUERÉTARO,438,203,0,41,28,0,0,14,223,0,0,12,509,521,,
QUERÉTARO,439,332,0,54,18,0,0,17,320,0,0,15,741,756,,
QUERÉTARO,440,486,0,71,36,0,0,19,392,0,0,27,1004,1031,,
QUERÉTARO,441,331,0,48,34,0,0,17,320,0,0,24,750,774,,
QUERÉTARO,442,449,0,67,45,0,0,11,381,0,0,29,953,982,,
QUERÉTARO,443,324,0,52,94,0,0,12,420,0,0,21,902,923,,
QUERÉTARO,444,416,0,74,55,0,0,18,475,0,0,34,1038,1072,,
QUERÉTARO,445,522,0,72,41,0,0,21,522,0,0,36,1178,1214,,
QUERÉTARO,446,444,0,82,34,0,0,9,397,0,0,33,966,999,,
QUERÉTARO,447,227,0,67,31,0,0,19,284,0,0,5,628,633,,
QUERÉTARO,448,435,0,57,42,0,0,22,427,0,0,26,983,1009,,
QUERÉTARO,449,326,0,42,36,0,0,19,289,0,0,18,712,730,,
QUERÉTARO,450,432,0,70,40,0,0,22,389,0,0,20,953,973,,
QUERÉTARO,451,268,0,36,13,0,0,13,283,0,0,16,613,629,,
QUERÉTARO,452,310,0,39,30,0,0,12,380,0,0,34,771,805,,
QUERÉTARO,453,336,0,49,22,0,0,9,257,0,0,18,673,691,,
QUERÉTARO,454,389,0,48,32,0,0,13,394,0,0,21,876,897,,
QUERÉTARO,455,322,0,64,79,0,0,26,472,0,0,21,963,984,,
QUERÉTARO,456,484,0,65,32,0,0,15,349,0,0,28,945,973,,
QUERÉTARO,457,383,0,62,44,0,0,12,404,0,0,40,905,945,,
QUERÉTARO,458,419,0,66,52,0,0,14,491,0,0,24,1042,1066,,
QUERÉTARO,459,329,0,49,31,0,0,9,301,0,0,17,719,736,,
QUERÉTARO,460,448,0,35,45,0,0,11,362,0,0,34,901,935,,
QUERÉTARO,461,278,0,57,42,0,0,16,305,0,0,24,698,722,,
QUERÉTARO,462,220,0,38,38,0,0,7,343,0,0,29,646,675,,
QUERÉTARO,463,491,0,69,47,0,0,16,442,0,0,25,1065,1090,,
QUERÉTARO,464,360,0,61,43,0,0,17,308,0,0,20,789,809,,
QUERÉTARO,465,262,0,88,58,0,0,14,431,0,0,47,853,900,,
QUERÉTARO,466,635,0,83,51,0,0,15,583,0,0,46,1367,1413,,
QUERÉTARO,467,260,0,48,46,0,0,8,339,0,0,30,701,731,,
QUERÉTARO,468,475,0,71,40,0,0,14,379,0,0,32,979,1011,,
QUERÉTARO,469,365,0,56,30,0,0,16,291,0,0,23,758,781,,
QUERÉTARO,470,380,0,49,32,0,0,16,354,0,0,31,831,862,,
QUERÉTARO,471,246,0,35,38,0,0,14,282,0,0,26,615,641,,
QUERÉTARO,472,308,0,48,53,0,0,13,326,0,0,28,748,776,,
QUERÉTARO,473,289,0,49,44,0,0,6,306,0,0,21,694,715,,
QUERÉTARO,474,359,0,61,41,0,0,17,349,0,0,27,827,854,,
QUERÉTARO,475,1768,0,297,190,0,0,91,1551,0,0,111,3897,4008,,
QUERÉTARO,476,355,0,65,36,0,0,15,364,0,0,24,835,859,,
QUERÉTARO,477,322,0,70,63,0,0,12,421,0,0,47,888,935,,
QUERÉTARO,478,213,0,49,51,0,0,10,331,0,0,35,654,689,,
QUERÉTARO,479,349,0,66,38,0,0,15,286,0,0,56,754,810,,
QUERÉTARO,480,342,0,50,50,0,0,14,346,0,0,21,802,823,,
QUERÉTARO,481,692,0,142,88,0,0,36,702,0,0,55,1660,1715,,
QUERÉTARO,482,502,0,57,33,0,0,16,328,0,0,19,936,955,,
QUERÉTARO,483,1295,0,200,120,0,0,56,843,0,0,58,2514,2572,,
QUERÉTARO,484,398,0,56,19,0,0,20,339,0,0,24,832,856,,
QUERÉTARO,485,210,0,19,11,0,0,12,312,0,0,19,564,583,,
QUERÉTARO,486,357,0,67,59,0,0,18,358,0,0,48,859,907,,
QUERÉTARO,487,332,0,47,43,0,0,16,371,0,0,41,809,850,,
QUERÉTARO,488,365,0,84,124,0,0,21,565,0,0,53,1159,1212,,
QUERÉTARO,489,268,0,49,39,0,0,13,315,0,0,45,684,729,,
QUERÉTARO,490,284,0,55,43,0,0,9,363,0,0,45,754,799,,
QUERÉTARO,491,2433,0,298,157,0,0,65,1922,0,0,125,4875,5000,,
QUERÉTARO,492,547,0,153,87,0,0,29,653,0,0,55,1469,1524,,
QUERÉTARO,493,290,0,74,60,0,0,11,433,0,0,56,868,924,,
QUERÉTARO,494,272,0,67,66,0,0,26,421,0,0,58,852,910,,
QUERÉTARO,495,852,0,209,177,0,0,44,898,0,0,85,2180,2265,,
QUERÉTARO,496,391,0,67,66,0,0,4,431,0,0,37,959,996,,
QUERÉTARO,497,356,0,72,68,0,0,11,393,0,0,44,900,944,,
QUERÉTARO,498,287,0,42,64,0,0,11,394,0,0,35,798,833,,
QUERÉTARO,499,264,0,55,47,0,0,17,392,0,0,14,775,789,,
QUERÉTARO,500,331,0,49,73,0,0,24,546,0,0,51,1023,1074,,
QUERÉTARO,501,346,0,58,65,0,0,16,395,0,0,59,880,939,,
QUERÉTARO,502,300,0,33,33,0,0,6,452,0,0,16,824,840,,
QUERÉTARO,503,344,0,87,77,0,0,19,411,0,0,53,938,991,,
QUERÉTARO,504,339,0,46,69,0,0,22,412,0,0,47,888,935,,
QUERÉTARO,505,321,0,58,102,0,0,18,396,0,0,48,895,943,,
QUERÉTARO,506,300,0,85,42,0,0,28,427,0,0,38,882,920,,
QUERÉTARO,507,314,0,102,65,0,0,23,430,0,0,35,934,969,,
QUERÉTARO,508,491,0,118,56,0,0,16,488,0,0,50,1169,1219,,
QUERÉTARO,509,362,0,96,60,0,0,16,436,0,0,35,970,1005,,
QUERÉTARO,510,462,0,104,107,0,0,22,543,0,0,42,1238,1280,,
QUERÉTARO,511,419,0,93,96,0,0,20,502,0,0,60,1130,1190,,
QUERÉTARO,512,382,0,69,72,0,0,20,383,0,0,68,926,994,,
QUERÉTARO,513,1125,0,251,211,0,0,53,1061,0,0,99,2701,2800,,
QUERÉTARO,514,602,0,159,142,0,0,40,940,0,0,89,1883,1972,,
QUERÉTARO,515,865,0,208,73,0,0,27,863,0,0,77,2036,2113,,
QUERÉTARO,516,88,0,18,17,0,0,8,538,0,0,118,669,787,,
QUERÉTARO,517,680,0,44,34,0,0,30,677,0,0,139,1465,1604,,
QUERÉTARO,518,560,0,93,44,0,0,31,836,0,0,68,1564,1632,,
QUERÉTARO,519,87,0,43,24,0,0,15,819,0,0,102,988,1090,,
QUERÉTARO,520,371,0,28,11,0,0,18,377,0,0,33,805,838,,
QUERÉTARO,521,169,0,11,6,0,0,9,381,0,0,22,576,598,,
QUERÉTARO,522,517,0,102,59,0,0,24,898,0,0,92,1600,1692,,
QUERÉTARO,523,230,0,36,13,0,0,25,412,0,0,53,716,769,,
QUERÉTARO,524,497,0,48,20,0,0,19,520,0,0,82,1104,1186,,
QUERÉTARO,525,388,0,75,18,0,0,29,581,0,0,78,1091,1169,,
QUERÉTARO,526,400,0,60,22,0,0,23,523,0,0,61,1028,1089,,
QUERÉTARO,527,855,0,55,50,0,0,20,1056,0,0,206,2036,2242,,
QUERÉTARO,528,457,0,43,17,0,0,10,251,0,0,37,778,815,,
QUERÉTARO,529,601,0,123,67,0,0,45,1241,0,0,102,2077,2179,,
QUERÉTARO,530,213,0,10,15,0,0,9,233,0,0,36,480,516,,
QUERÉTARO,531,367,0,60,51,0,0,18,563,0,0,39,1059,1098,,
QUERÉTARO,532,305,0,83,34,0,0,29,554,0,0,51,1005,1056,,
QUERÉTARO,533,243,0,67,46,0,0,13,462,0,0,36,831,867,,
QUERÉTARO,534,283,0,74,21,0,0,19,631,0,0,44,1028,1072,,
QUERÉTARO,535,174,0,29,21,0,0,4,386,0,0,21,614,635,,
QUERÉTARO,536,352,0,79,47,0,0,12,815,0,0,51,1305,1356,,
QUERÉTARO,537,280,0,20,55,0,0,32,615,0,0,69,1002,1071,,
QUERÉTARO,538,282,0,47,19,0,0,13,495,0,0,49,856,905,,
QUERÉTARO,539,527,0,84,70,0,0,34,773,0,0,156,1488,1644,,
QUERÉTARO,540,365,0,30,8,0,0,12,729,0,0,121,1144,1265,,
QUERÉTARO,541,3169,0,298,125,0,0,83,2267,0,0,186,5942,6128,,
QUERÉTARO,542,366,0,47,41,0,0,19,441,0,0,50,914,964,,
QUERÉTARO,543,271,0,13,3,0,0,14,400,0,0,65,701,766,,
QUERÉTARO,544,158,0,45,31,0,0,5,996,0,0,67,1235,1302,,
QUERÉTARO,545,187,0,21,32,0,0,9,421,0,0,81,670,751,,
QUERÉTARO,546,439,0,58,39,0,0,17,759,0,0,25,1312,1337,,
QUERÉTARO,547,346,0,47,60,0,0,17,705,0,0,57,1175,1232,,
QUERÉTARO,548,476,0,57,48,0,0,19,509,0,0,50,1109,1159,,
QUERÉTARO,549,595,0,129,94,0,0,41,1006,0,0,91,1865,1956,,
QUERÉTARO,550,323,0,39,134,0,0,7,384,0,0,34,887,921,,
QUERÉTARO,551,3612,0,772,613,0,0,158,3876,0,0,342,9031,9373,,
QUERÉTARO,552,955,0,288,120,0,0,37,1424,0,0,108,2824,2932,,
QUERÉTARO,553,973,0,248,115,0,0,36,1270,0,0,104,2642,2746,,
QUERÉTARO,554,43,0,14,4,0,0,2,69,0,0,0,132,132,,
QUERÉTARO,691,164,0,27,36,0,0,5,168,0,0,16,400,416,,
QUERÉTARO,692,158,0,28,48,0,0,4,169,0,0,30,407,437,,
QUERÉTARO,693,193,0,63,50,0,0,7,233,0,0,25,546,571,,
QUERÉTARO,696,99,0,36,26,0,0,12,248,0,0,28,421,449,,
QUERÉTARO,697,191,0,30,100,0,0,5,235,0,0,49,561,610,,
QUERÉTARO,698,241,0,57,85,0,0,10,221,0,0,45,614,659,,
QUERÉTARO,699,214,0,151,90,0,0,10,192,0,0,33,657,690,,
QUERÉTARO,700,221,0,43,99,0,0,9,219,0,0,11,591,602,,
QUERÉTARO,701,180,0,43,133,0,0,25,280,0,0,36,661,697,,
QUERÉTARO,702,177,0,38,44,0,0,9,149,0,0,8,417,425,,
QUERÉTARO,703,242,0,54,110,0,0,12,189,0,0,10,607,617,,
QUERÉTARO,704,226,0,51,72,0,0,6,216,0,0,12,571,583,,
QUERÉTARO,705,254,0,46,66,0,0,11,295,0,0,17,672,689,,
QUERÉTARO,706,170,0,45,83,0,0,4,321,0,0,17,623,640,,
QUERÉTARO,707,179,0,40,59,0,0,8,245,0,0,26,531,557,,
QUERÉTARO,708,139,0,19,72,0,0,11,260,0,0,24,501,525,,
QUERÉTARO,709,162,0,32,62,0,0,8,241,0,0,26,505,531,,
QUERÉTARO,710,175,0,25,55,0,0,4,281,0,0,30,540,570,,
QUERÉTARO,711,244,0,50,73,0,0,15,245,0,0,20,627,647,,
QUERÉTARO,712,254,0,41,60,0,0,7,260,0,0,26,622,648,,
QUERÉTARO,713,193,0,27,42,0,0,3,131,0,0,8,396,404,,
QUERÉTARO,714,299,0,52,68,0,0,8,227,0,0,19,654,673,,
QUERÉTARO,715,297,0,56,51,0,0,13,284,0,0,19,701,720,,
QUERÉTARO,716,268,0,67,67,0,0,8,216,0,0,27,626,653,,
QUERÉTARO,717,241,0,54,67,0,0,11,258,0,0,27,631,658,,
QUERÉTARO,718,197,0,60,109,0,0,14,273,0,0,36,653,689,,
QUERÉTARO,719,279,0,67,104,0,0,17,201,0,0,24,668,692,,
QUERÉTARO,720,140,0,39,45,0,0,7,128,0,0,20,359,379,,
QUERÉTARO,721,86,0,22,50,0,0,6,117,0,0,12,281,293,,
QUERÉTARO,722,247,0,53,61,0,0,10,233,0,0,20,604,624,,
QUERÉTARO,723,279,0,88,59,0,0,18,296,0,0,25,740,765,,
QUERÉTARO,724,143,0,43,73,0,0,11,185,0,0,14,455,469,,
QUERÉTARO,725,181,0,55,60,0,0,23,187,0,0,22,506,528,,
QUERÉTARO,726,79,0,35,69,0,0,31,233,0,0,33,447,480,,
QUERÉTARO,727,334,0,64,94,0,0,15,297,0,0,33,804,837,,
QUERÉTARO,728,199,0,41,47,0,0,8,246,0,0,17,541,558,,
QUERÉTARO,729,220,0,52,68,0,0,13,225,0,0,16,578,594,,
QUERÉTARO,730,95,0,19,33,0,0,2,112,0,0,7,261,268,,
QUERÉTARO,731,202,0,46,47,0,0,14,150,0,0,9,459,468,,
QUERÉTARO,732,286,0,58,89,0,0,19,255,0,0,15,707,722,,
QUERÉTARO,733,192,0,38,75,0,0,13,220,0,0,34,538,572,,
QUERÉTARO,734,159,0,21,31,0,0,5,139,0,0,14,355,369,,
QUERÉTARO,735,189,0,25,31,0,0,4,124,0,0,21,373,394,,
QUERÉTARO,736,221,0,29,33,0,0,4,233,0,0,13,520,533,,
QUERÉTARO,737,169,0,33,31,0,0,9,206,0,0,8,448,456,,
QUERÉTARO,738,207,0,42,27,0,0,5,194,0,0,9,475,484,,
QUERÉTARO,739,199,0,54,35,0,0,12,217,0,0,14,517,531,,
QUERÉTARO,740,235,0,45,25,0,0,11,253,0,0,15,569,584,,
QUERÉTARO,741,208,0,51,43,0,0,4,262,0,0,237,568,805,,
QUERÉTARO,742,225,0,71,42,0,0,9,237,0,0,13,584,597,,
QUERÉTARO,743,253,0,61,45,0,0,10,231,0,0,15,600,615,,
QUERÉTARO,744,256,0,39,34,0,0,16,223,0,0,13,568,581,,
QUERÉTARO,745,131,0,36,28,0,0,9,143,0,0,12,347,359,,
QUERÉTARO,746,72,0,21,9,0,0,9,81,0,0,2,192,194,,
QUERÉTARO,747,232,0,45,31,0,0,12,275,0,0,15,595,610,,
QUERÉTARO,748,76,0,20,10,0,0,2,92,0,0,0,200,200,,
QUERÉTARO,749,120,0,25,9,0,0,5,130,0,0,3,289,292,,
QUERÉTARO,750,220,0,44,25,0,0,15,221,0,0,16,525,541,,
QUERÉTARO,751,263,0,53,43,0,0,7,190,0,0,10,556,566,,
QUERÉTARO,752,311,0,60,46,0,0,13,234,0,0,17,664,681,,
QUERÉTARO,753,196,0,36,24,0,0,7,145,0,0,6,408,414,,
QUERÉTARO,754,200,0,38,30,0,0,8,204,0,0,16,480,496,,
QUERÉTARO,755,304,0,56,56,0,0,8,264,0,0,25,688,713,,
QUERÉTARO,756,246,0,38,50,0,0,10,228,0,0,11,572,583,,
QUERÉTARO,757,105,0,27,24,0,0,5,132,0,0,0,293,293,,
QUERÉTARO,758,149,0,39,26,0,0,9,216,0,0,18,439,457,,
QUERÉTARO,759,49,0,21,12,0,0,6,135,0,0,13,223,236,,
SAN JOAQUÍN,556,377,0,0,0,0,0,18,0,0,548,35,943,978,,
SAN JOAQUÍN,557,485,0,0,0,0,0,22,0,0,733,80,1240,1320,,
SAN JOAQUÍN,558,287,0,0,0,0,0,10,0,0,352,55,649,704,,
SAN JOAQUÍN,559,61,0,0,0,0,0,2,0,0,154,31,217,248,,
SAN JOAQUÍN,560,234,0,0,0,0,0,9,0,0,273,29,516,545,,
SAN JOAQUÍN,561,65,0,0,0,0,0,5,0,0,98,16,168,184,,
SAN JOAQUÍN,562,75,0,0,0,0,0,21,0,0,101,10,197,207,,
SAN JUAN DEL RÍO,563,565,0,44,31,0,0,23,372,0,0,30,1035,1065,,
SAN JUAN DEL RÍO,564,679,0,58,44,0,0,38,453,0,0,51,1272,1323,,
SAN JUAN DEL RÍO,565,1360,0,233,102,0,0,115,1040,0,0,107,2850,2957,,
SAN JUAN DEL RÍO,567,499,0,94,37,0,0,60,492,0,0,52,1182,1234,,
SAN JUAN DEL RÍO,568,667,0,74,54,0,0,43,392,0,0,33,1230,1263,,
SAN JUAN DEL RÍO,569,387,0,48,40,0,0,30,247,0,0,21,752,773,,
SAN JUAN DEL RÍO,570,640,0,45,32,0,0,30,353,0,0,40,1100,1140,,
SAN JUAN DEL RÍO,571,632,0,59,28,0,0,61,499,0,0,46,1279,1325,,
SAN JUAN DEL RÍO,572,456,0,33,20,0,0,32,333,0,0,18,874,892,,
