CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,546,1,21,124,5,0,2,9,1,0,0,0,0,22,0,0,184,9,193,348
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,547,1,43,87,6,2,22,8,4,0,0,1,2,13,3,0,191,6,197,416
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,548,1,28,72,5,1,6,5,2,0,4,1,2,3,1,0,130,6,136,288
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,549,1,84,101,7,1,8,5,6,0,0,0,0,10,0,0,222,8,230,559
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,550,1,40,93,6,2,6,1,1,0,3,0,0,7,2,0,161,13,174,392
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,551,1,43,45,1,9,1,4,0,0,0,1,0,0,0,0,104,4,108,200
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,552,1,121,129,3,0,3,0,1,1,5,1,0,30,0,0,294,9,303,669
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,553,1,47,141,9,2,6,6,17,0,5,0,0,17,0,0,250,11,261,549
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,554,1,82,92,18,4,3,4,5,2,4,3,1,4,0,0,222,6,228,435
2,24,SAN LUIS POTOSI,1,MATEHUALA,44,VANEGAS,1520,2,169,118,46,54,106,5,3,2,1,2,2,17,1,0,526,18,544,798
2,24,SAN LUIS POTOSI,1,MATEHUALA,44,VANEGAS,1521,1,29,37,21,13,126,1,1,1,6,1,0,2,6,0,244,4,248,310
2,24,SAN LUIS POTOSI,1,MATEHUALA,44,VANEGAS,1522,1,148,143,68,41,102,5,0,4,2,1,0,8,5,0,527,14,541,814
2,24,SAN LUIS POTOSI,1,MATEHUALA,44,VANEGAS,1524,1,18,33,16,29,20,6,0,0,0,0,0,0,2,0,124,9,133,176
2,24,SAN LUIS POTOSI,1,MATEHUALA,44,VANEGAS,1525,1,128,28,36,16,74,0,0,0,0,0,0,0,7,0,289,20,309,488
2,24,SAN LUIS POTOSI,1,MATEHUALA,44,VANEGAS,1526,1,104,25,30,31,53,2,0,0,0,0,0,4,4,0,253,11,264,367
2,24,SAN LUIS POTOSI,1,MATEHUALA,44,VANEGAS,1527,1,72,84,63,66,87,1,0,2,1,0,0,9,7,0,392,13,405,589
2,24,SAN LUIS POTOSI,1,MATEHUALA,44,VANEGAS,1528,1,69,24,8,21,47,2,0,0,1,0,0,0,15,0,187,4,191,265
2,24,SAN LUIS POTOSI,1,MATEHUALA,44,VANEGAS,1530,1,38,18,9,35,28,2,0,0,0,0,0,2,3,0,135,7,142,169
2,24,SAN LUIS POTOSI,1,MATEHUALA,44,VANEGAS,1531,1,67,63,40,30,56,2,0,1,0,0,0,6,5,0,270,21,291,385
2,24,SAN LUIS POTOSI,1,MATEHUALA,44,VANEGAS,1532,1,60,42,53,32,12,2,0,0,1,0,0,0,1,0,203,9,212,266
2,24,SAN LUIS POTOSI,1,MATEHUALA,44,VANEGAS,1533,1,32,29,6,9,62,1,1,2,1,0,0,0,2,0,145,12,157,241
2,24,SAN LUIS POTOSI,1,MATEHUALA,44,VANEGAS,1534,1,98,59,31,23,38,1,1,3,2,1,0,4,1,0,262,13,275,446
