CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_COMUNIDAD,COMUNIDAD,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,15,COLONIA AGRICOLA SANLUIS ,52,B,0,47,,,,,,,35,,,,,,,0,82,1,83,101,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atlangatepec_PC_Colonia%20Agricola%20San%20Luis.pdf
4,29,TLAXCALA,16,ZUMPANGO,53,B,53,104,,,55,0,70,,5,83,,,,,,0,370,15,385,533,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atlangatepec_PC_Zumpango.pdf
4,29,TLAXCALA,16,ZUMPANGO,53,C01,62,105,,,,53,96,,6,52,,,,,,0,374,9,383,532,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atlangatepec_PC_Zumpango.pdf
4,29,TLAXCALA,17,BENITO JUAREZ TEZOYO,54,B,0,156,,,,21,0,,6,71,,,,,,0,254,12,266,380,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atlangatepec_PC_Benito%20Juarez%20Tezoyo.pdf
4,29,TLAXCALA,18,COLONIA LA TRASQUILA,55,B,72,66,,8,,2,20,,62,8,,,,,,0,238,9,247,311,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atlangatepec_PC_Colonia%20La%20Trasquila.pdf
4,29,TLAXCALA,19,SAN PEDRO ECATEPEC,56,B,36,214,,,,6,100,63,7,,,,,,,0,426,30,456,582,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atlangatepec_PC_San%20Pedro%20Ecatepec.pdf
4,29,TLAXCALA,19,SAN PEDRO ECATEPEC,56,C01,30,190,,,,3,98,95,8,,,,,,,0,424,27,451,581,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atlangatepec_PC_San%20Pedro%20Ecatepec.pdf
4,29,TLAXCALA,20,COLONIA VILLA DE LAS FLORES,57,B,59,83,,,,51,,,4,,,,,,,0,197,5,202,299,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atlangatepec_PC_Colonia%20Villa%20de%20las%20Flores.pdf
4,29,TLAXCALA,21,BARRIO DE LA CONCEPCIÓN,59,B,3,38,,,61,0,,54,,19,,,,,,2,177,3,180,229,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Recuento/Actas_Recuento_Atltzayanca_PC_Barrio%20de%20la%20Concepcion.pdf
4,29,TLAXCALA,21,BARRIO DE LA CONCEPCIÓN,59,C01,3,22,,,44,1,,44,,21,,,,,,0,135,11,146,195,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Recuento/Actas_Recuento_Atltzayanca_PC_Barrio%20de%20la%20Concepcion.pdf
