CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,284,C01,85,72,6,2,11,2,1,4,1,2,1,6,0,0,193,1,194,521,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,284,C02,92,59,10,2,18,3,1,7,2,3,1,9,2,0,209,5,214,521,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,285,B,64,67,6,6,7,3,3,7,6,1,5,0,0,0,175,8,183,409,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,285,C01,59,57,8,6,7,3,2,3,8,4,4,8,1,0,170,5,175,408,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,286,B,120,110,10,19,16,6,0,11,7,1,3,7,1,0,311,10,321,674,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,286,C01,111,93,9,7,23,6,3,3,8,8,1,9,4,0,285,5,290,673,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,287,B,133,75,9,7,16,6,4,6,6,1,3,6,1,0,273,4,277,585,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,287,C01,130,64,10,4,17,10,4,19,6,3,2,4,1,0,274,6,280,585,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,287,C02,107,68,2,5,11,4,2,10,6,3,3,9,2,0,232,3,235,585,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,288,B,109,76,5,5,13,9,2,11,4,4,7,11,0,0,256,9,265,590,,,,
