Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
923,C2,107,14,4,117,28,32,61,4,1,7,10,3,23,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,430,736
924,B1,109,3,2,138,17,11,52,4,2,12,11,1,3,4,0,0,0,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,13,389,603
924,C1,116,6,0,134,27,15,32,8,2,8,13,1,0,8,1,1,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,6,386,603
924,C2,130,2,4,134,21,22,42,2,1,4,12,1,6,4,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0,12,407,603
924,C3,107,2,5,122,33,12,59,1,0,6,10,0,2,1,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,7,373,602
943,B1,90,5,4,101,85,10,52,2,7,3,11,1,0,5,1,0,0,3,0,0,0,0,0,4,2,1,0,0,1,1,0,0,0,0,0,15,404,748
943,C1,73,1,1,125,93,18,51,4,3,4,12,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,408,748
943,C2,76,4,1,93,87,14,62,6,3,8,11,4,2,3,0,1,0,1,0,0,0,0,0,6,0,1,0,0,3,0,0,0,0,0,0,18,404,748
943,C3,70,5,1,84,98,9,65,8,1,3,13,3,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,9,379,748
944,B1,55,4,4,146,59,15,32,5,7,6,9,5,1,0,0,0,0,0,2,1,0,0,0,3,1,0,1,0,1,1,0,0,0,0,0,14,372,607
944,C1,54,7,3,146,66,11,26,2,2,4,6,5,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,18,359,606
944,C2,41,3,1,190,50,19,37,4,2,1,4,1,2,5,0,0,0,2,1,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,9,378,606
945,B1,37,2,2,163,66,16,44,5,11,9,6,2,1,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,10,384,716
945,C1,30,1,1,150,75,13,54,6,11,5,8,3,2,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,14,385,716
946,B1,57,7,1,147,47,17,38,9,5,15,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,11,367,619
946,C1,59,3,3,146,54,20,28,6,1,6,13,5,2,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,9,363,618
946,C2,71,10,2,133,60,19,42,4,0,6,17,2,1,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,10,386,618
Totales,,9355,923,287,13085,4105,2366,7048,641,337,1200,1141,265,393,355,45,16,4,104,33,18,7,3,5,612,33,50,47,20,93,46,69,15,23,11,9,1092,43856,71856
