id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,municipio,lista nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,nulos,noregistrados,PAN,PRI,PRD,PT,PVEM,Convergencia,PANAL,PAS,PAN_PVEM,PRI_PVEM,PRD_PT_PVEM_PC,PRD_PT_PVEM,PRD_PT_PC,PRD_PVEM_PC,PRD_PT,PRD_PVEM,PRD_PC,PT_PVEM,PT_PC,total
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,59,OCOSINGO,426,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,863,13,0,74,0,32,0,0,0,10,0,0,103,0,0,0,0,0,0,0,0,2,234
7,7/10/2007,12,Ayuntamientos,7,0,1,E,Extraordinaria,1,,,59,OCOSINGO,449,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,864,12,0,31,0,40,0,0,0,4,19,0,18,0,0,0,0,0,0,0,0,7,131
7,7/10/2007,12,Ayuntamientos,7,0,1,E,Extraordinaria,2,,,59,OCOSINGO,449,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,864,12,2,26,0,26,0,0,0,4,7,0,8,0,0,0,0,0,0,0,0,7,92
7,7/10/2007,12,Ayuntamientos,7,0,3,E,Extraordinaria,0,,,59,OCOSINGO,120,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,864,4,0,4,0,23,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,3,48
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,59,OCOSINGO,579,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,866,19,1,79,0,12,0,0,0,1,1,0,48,0,0,0,0,0,0,0,0,3,164
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,59,OCOSINGO,579,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,866,10,0,61,0,17,0,0,0,3,1,0,44,0,0,0,0,0,0,0,0,5,141
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,113,BENEMERITO DE LAS AMERICAS,581,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,869,10,1,30,15,134,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,55,300
7,7/10/2007,12,Ayuntamientos,7,0,1,E,Extraordinaria,1,,,52,LAS MARGARITAS,431,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,736,4,0,0,65,0,0,2,0,0,0,0,0,0,0,276,0,0,0,0,0,0,347
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,52,LAS MARGARITAS,502,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,737,9,0,0,25,0,0,3,0,0,0,0,0,0,0,255,0,0,0,0,0,0,292
7,7/10/2007,12,Ayuntamientos,7,0,1,E,Extraordinaria,0,,,52,LAS MARGARITAS,396,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,737,5,0,0,40,0,0,1,0,0,0,0,0,0,0,275,0,0,0,0,0,0,321
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,114,MARAVILLA TENEJAPA,251,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,748,5,0,0,57,0,0,34,0,0,0,0,0,0,0,60,0,0,0,0,0,0,156
7,7/10/2007,12,Ayuntamientos,7,0,3,E,Extraordinaria,0,,,114,MARAVILLA TENEJAPA,383,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,748,0,0,12,103,0,0,5,0,0,0,0,0,0,0,139,0,0,0,0,0,0,259
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,114,MARAVILLA TENEJAPA,397,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,756,4,0,16,62,0,0,32,0,0,0,0,0,0,0,45,0,0,0,0,0,0,159
7,7/10/2007,12,Ayuntamientos,7,0,3,E,Extraordinaria,0,,,114,MARAVILLA TENEJAPA,141,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,757,0,0,12,22,0,0,16,0,0,0,0,0,0,0,26,0,0,0,0,0,0,76
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,103,TUZANTAN,401,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1759,8,0,116,32,45,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,17,237
