Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 109 - ZAMORA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Total,,,198,163,46,7,4,20,10,0,0,0,0,4,0,6,3,0,0,0,0,21,482,1215
Sección 2510 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,93,81,15,1,1,7,7,,,,,3,,1,0,,,,0,8,217,621
C1,AC,Urna tradicional,125,68,13,0,1,12,1,,,,,1,,2,1,,,,0,6,230,621
C2,AC,Urna tradicional,144,48,21,3,2,13,1,,,,,0,,0,0,,,,0,0,232,621
C3,AC,Urna tradicional,150,66,16,1,1,8,3,,,,,1,,0,0,,,,0,9,255,621
C4,AC,Urna tradicional,110,89,11,3,2,23,0,,,,,1,,2,1,,,,1,9,252,621
Total,,,622,352,76,8,7,63,12,0,0,0,0,6,0,5,2,0,0,0,1,32,1186,3105
Sección 2511 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,94,40,7,2,1,3,1,,,,,0,,0,0,,,,0,0,148,508
C1,AC,Urna tradicional,125,35,1,0,1,0,1,,,,,0,,0,0,,,,0,0,163,509
Total,,,219,75,8,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,311,1017
Sección 2512 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,105,84,13,0,2,1,6,,,,,0,,0,0,,,,0,12,223,638
Total,,,105,84,13,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,12,223,638
Sección 2513 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,57,32,2,0,0,0,2,,,,,1,,0,0,,,,0,5,99,324
E1,AC,Urna tradicional,30,77,32,1,0,0,2,,,,,1,,2,1,,,,1,8,155,433
E1C1,AC,Urna tradicional,19,78,30,1,2,1,4,,,,,0,,0,0,,,,1,11,147,434
Total,,,106,187,64,2,2,1,8,0,0,0,0,2,0,2,1,0,0,0,2,24,401,1191
Sección 2514 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,70,82,43,3,3,0,2,,,,,0,,0,1,,,,1,7,212,506
C1,AC,Urna tradicional,55,95,43,1,3,2,1,,,,,0,,0,0,,,,0,9,209,506
C2,AC,Urna tradicional,62,60,61,5,1,3,3,,,,,2,,1,4,,,,1,11,214,507
Total,,,187,237,147,9,7,5,6,0,0,0,0,2,0,1,5,0,0,0,2,27,635,1519
Sección 2515 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,48,143,52,7,0,3,2,,,,,0,,1,1,,,,0,9,266,741
C1,AC,Urna tradicional,59,128,58,4,0,3,1,,,,,0,,2,2,,,,0,18,275,742
Total,,,107,271,110,11,0,6,3,0,0,0,0,0,0,3,3,0,0,0,0,27,541,1483
Sección 2516 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,27,61,47,4,1,1,1,,,,,2,,2,5,,,,0,7,158,385
C1,AC,Urna tradicional,42,38,57,2,0,0,2,,,,,1,,0,3,,,,0,4,149,386
Total,,,69,99,104,6,1,1,3,0,0,0,0,3,0,2,8,0,0,0,0,11,307,771
Sección 2517 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,146,34,9,2,1,1,7,,,,,0,,0,0,,,,0,0,200,568
Total,,,146,34,9,2,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,200,568
Sección 2518 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,170,29,13,2,0,0,4,,,,,2,,0,0,,,,1,11,232,640
Total,,,170,29,13,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,11,232,640
Sección 2519 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,73,81,29,4,2,1,0,,,,,2,,1,1,,,,1,27,222,563
C1,AC,Urna tradicional,94,92,44,2,2,1,2,,,,,1,,4,8,,,,0,7,257,563
C2,AC,Urna tradicional,84,82,57,3,1,1,1,,,,,0,,0,0,,,,0,10,239,564
Total,,,251,255,130,9,5,3,3,0,0,0,0,3,0,5,9,0,0,0,1,44,718,1690
Sección 2520 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,55,69,20,9,1,1,8,,,,,1,,0,1,,,,0,6,171,510
C1,AC,Urna tradicional,59,78,34,5,0,4,4,,,,,1,,4,2,,,,0,7,198,510
C2,AC,Urna tradicional,74,70,19,0,3,1,1,,,,,1,,0,9,,,,0,8,186,511
E1,AC,Urna tradicional,150,77,10,0,1,1,3,,,,,0,,0,0,,,,0,1,243,463
Total,,,338,294,83,14,5,7,16,0,0,0,0,3,0,4,12,0,0,0,0,22,798,1994
Sección 2521 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,120,41,49,4,3,5,4,,,,,1,,0,2,,,,0,7,236,615
C1,AC,Urna tradicional,88,49,88,3,3,4,5,,,,,0,,0,0,,,,0,5,245,615
C2,AC,Urna tradicional,93,47,75,8,1,0,5,,,,,2,,0,0,,,,1,9,241,615
Total,,,301,137,212,15,7,9,14,0,0,0,0,3,0,0,2,0,0,0,1,21,722,1845
Sección 2522 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,88,79,111,7,7,1,3,,,,,1,,1,5,,,,0,12,315,677
C1,AC,Urna tradicional,88,105,80,8,1,1,2,,,,,2,,0,8,,,,0,10,305,678
E1,AC,Urna tradicional,34,55,59,0,0,0,0,,,,,0,,0,0,,,,0,11,159,352
Total,,,210,239,250,15,8,2,5,0,0,0,0,3,0,1,13,0,0,0,0,33,779,1707
Sección 2523 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,28,92,77,11,0,1,2,,,,,0,,0,0,,,,0,4,215,610
C1,AC,Urna tradicional,37,102,81,4,0,1,1,,,,,0,,0,10,,,,0,1,237,610
Total,,,65,194,158,15,0,2,3,0,0,0,0,0,0,0,10,0,0,0,0,5,452,1220
Sección 2524 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,95,55,36,1,2,5,1,,,,,0,,2,3,,,,0,8,208,532
C1,AC,Urna tradicional,96,75,33,2,0,3,2,,,,,0,,0,0,,,,0,0,211,532
Total,,,191,130,69,3,2,8,3,0,0,0,0,0,0,2,3,0,0,0,0,8,419,1064
Sección 2525 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,50,169,53,0,0,2,0,,,,,4,,8,12,,,,2,7,307,593
C1,AC,Urna tradicional,29,181,13,3,1,2,1,,,,,0,,2,2,,,,0,6,240,593
E1,AC,Urna tradicional,29,85,47,0,0,0,0,,,,,0,,0,0,,,,1,2,164,481
Total,,,108,435,113,3,1,4,1,0,0,0,0,4,0,10,14,0,0,0,3,15,711,1667
Sección 2526 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,58,104,20,4,2,0,1,,,,,0,,0,2,,,,0,4,195,497
C1,AC,Urna tradicional,51,109,17,1,0,0,2,,,,,1,,2,2,,,,0,6,191,497
Total,,,109,213,37,5,2,0,3,0,0,0,0,1,0,2,4,0,0,0,0,10,386,994
Sección 2527 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,12,151,29,0,0,0,0,,,,,0,,0,0,,,,0,0,192,490
C1,AC,Urna tradicional,8,143,14,3,1,1,0,,,,,0,,0,0,,,,0,4,174,490
Total,,,20,294,43,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,366,980
Sección 2528 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,81,101,33,7,3,6,9,,,,,9,,3,10,,,,0,7,269,639
C1,AC,Urna tradicional,90,100,51,6,2,1,0,,,,,2,,1,4,,,,0,6,263,640
C2,AC,Urna tradicional,93,94,41,6,1,0,2,,,,,2,,4,2,,,,0,15,260,640
E1,AC,Urna tradicional,155,78,59,16,3,3,2,,,,,0,,0,4,,,,0,2,322,587
E1C1,AC,Urna tradicional,139,71,67,0,0,4,0,,,,,0,,0,0,,,,0,7,288,587
Total,,,558,444,251,35,9,14,13,0,0,0,0,13,0,8,20,0,0,0,0,37,1402,3093
Sección 2529 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,114,118,56,11,0,4,0,,,,,2,,2,3,,,,0,4,314,747
C1,AC,Urna tradicional,100,116,50,6,0,5,0,,,,,0,,0,0,,,,0,9,286,748
C2,AC,Urna tradicional,111,123,37,8,1,1,1,,,,,1,,2,1,,,,0,7,293,748
C3,AC,Urna tradicional,116,102,44,2,2,3,3,,,,,0,,0,0,,,,0,19,291,748
C4,AC,Urna tradicional,106,112,32,6,2,2,0,,,,,1,,2,4,,,,0,4,271,748
E1,AC,Urna tradicional,94,138,49,9,1,2,1,,,,,0,,1,3,,,,1,10,309,718
E1C1,AC,Urna tradicional,113,162,49,7,1,4,1,,,,,3,,0,1,,,,1,6,348,719
E1C2,AC,Urna tradicional,90,152,44,8,5,3,0,,,,,3,,2,3,,,,0,6,316,719
Total,,,844,1023,361,57,12,24,6,0,0,0,0,10,0,9,15,0,0,0,2,65,2428,5895
Sección 2530 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,63,29,65,1,1,2,2,,,,,2,,0,4,,,,0,5,174,498
C1,AC,Urna tradicional,74,31,67,4,1,2,4,,,,,0,,0,1,,,,0,13,197,499
Total,,,137,60,132,5,2,4,6,0,0,0,0,2,0,0,5,0,0,0,0,18,371,997
Sección 2676 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,33,108,77,5,6,1,4,,,,,0,,2,0,,,,0,5,241,476
Total,,,33,108,77,5,6,1,4,0,0,0,0,0,0,2,0,0,0,0,0,5,241,476
Total municipal,,,26869,22727,10973,1031,451,645,417,0,0,0,0,389,0,231,442,0,0,0,68,2587,66830,144214
