ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,CAND_IND9,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
7,CHIAPAS,108,VILLA CORZO,23,70,319,7442,1374,587,6722,553,203,4808,3448,254,51,1736,0,0,0,0,0,0,0,0,0,0,0,0,1,27497,990,28488,41386,0.6883
7,CHIAPAS,109,VILLAFLORES,46,127,1316,5540,5512,545,12234,1062,325,512,4244,610,377,10941,0,0,0,0,0,0,0,0,0,0,0,0,31,43218,1874,45123,70903,0.6364
7,CHIAPAS,110,YAJALON,13,41,431,3495,110,754,6341,79,212,2368,1728,70,0,580,0,0,0,0,0,0,0,0,0,0,0,0,163,16168,1090,17421,23458,0.7426
7,CHIAPAS,111,ZINACANTAN,15,44,58,14215,96,88,7639,19,63,46,78,0,16,118,0,0,0,0,0,0,0,0,0,0,0,0,1,22436,412,22849,24509,0.9323
7,CHIAPAS,112,ALDAMA,4,9,4,1532,8,8,833,5,8,6,18,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2462,88,2550,3128,0.8152
7,CHIAPAS,113,BENEMERITO DE LAS AMERICAS,8,25,210,1599,64,396,1711,17,25,2453,391,22,15,770,4,0,0,0,0,0,0,0,0,0,0,0,1,7677,279,7957,11911,0.668
7,CHIAPAS,114,MARAVILLA TENEJAPA,9,22,9,82,1941,11,1863,7,16,37,10,7,1,1403,0,0,0,0,0,0,0,0,0,0,0,0,1,5387,265,5653,7695,0.7346
7,CHIAPAS,115,MARQUES DE COMILLAS,9,18,2247,36,32,13,2504,4,9,112,63,8,2,385,0,0,0,0,0,0,0,0,0,0,0,0,0,5415,138,5553,6888,0.8062
7,CHIAPAS,116,MONTECRISTO DE GUERRERO,4,9,167,263,177,36,1019,11,252,1208,222,16,8,722,0,0,0,0,0,0,0,0,0,0,0,0,0,4101,115,4216,4914,0.858
7,CHIAPAS,117,SAN ANDRES DURAZNAL,2,5,112,349,44,12,817,2,13,454,9,14,2,774,9,0,0,0,0,0,0,0,0,0,0,0,0,2611,160,2771,2939,0.9428
7,CHIAPAS,118,SANTIAGO EL PINAR,1,3,13,864,1,2,137,0,0,165,5,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,34,1727,1955,0.8834
7,CHIAPAS,119,BELISARIO DOMINGUEZ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0
7,CHIAPAS,120,EMILIANO ZAPATA,7,13,271,748,28,86,1655,32,109,396,267,39,167,1595,0,0,0,0,0,0,0,0,0,0,0,0,5,5393,271,5669,7509,0.755
7,CHIAPAS,121,MEZCALAPA,14,31,169,3039,841,51,3807,126,99,793,490,41,24,187,0,0,0,0,0,0,0,0,0,0,0,0,2,9667,602,10271,14218,0.7224
7,CHIAPAS,122,EL PARRAL,6,17,77,1202,168,1409,1518,145,197,885,162,22,94,945,0,0,0,0,0,0,0,0,0,0,0,0,0,6824,232,7056,10186,0.6927
