CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,COMUN_PRI_PVEM_NVA_ALIANZA,COMUN_PRD_PT_PAN,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRD_PT,PRD_PAN,PT_PAN,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,15,SAN LUIS ACATLAN,13,AZOYU,733,1,1,65,126,0,5,14,0,13,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,231,21,254,349
4,12,GUERRERO,15,SAN LUIS ACATLAN,13,AZOYU,734,1,0,77,132,3,0,21,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,7,243,331
4,12,GUERRERO,15,SAN LUIS ACATLAN,13,AZOYU,736,1,0,40,106,5,2,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,12,189,242
4,12,GUERRERO,15,SAN LUIS ACATLAN,13,AZOYU,737,1,0,24,135,2,71,48,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,287,25,312,474
4,12,GUERRERO,15,SAN LUIS ACATLAN,13,AZOYU,738,1,0,14,116,3,10,76,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,15,238,350
4,12,GUERRERO,15,SAN LUIS ACATLAN,13,AZOYU,741,2,0,201,377,3,4,201,1,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,803,63,866,1408
4,12,GUERRERO,15,SAN LUIS ACATLAN,13,AZOYU,742,1,0,38,138,1,3,135,2,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,328,16,344,452
4,12,GUERRERO,15,SAN LUIS ACATLAN,13,AZOYU,751,1,0,23,114,0,0,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,22,240,285
4,12,GUERRERO,15,SAN LUIS ACATLAN,13,AZOYU,760,1,0,18,24,5,18,11,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,80,4,84,110
4,12,GUERRERO,15,SAN LUIS ACATLAN,13,AZOYU,761,1,0,34,41,0,3,25,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,112,7,119,161
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,763,2,17,256,426,4,4,5,19,8,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,34,781,1238
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,764,2,3,203,336,2,0,9,8,5,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,574,20,595,923
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,765,2,8,272,308,11,1,5,5,3,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,621,15,636,947
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,766,2,1,371,545,7,4,9,10,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959,39,998,1374
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,767,2,6,310,376,3,5,7,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,30,760,1282
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,768,1,0,70,61,1,1,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,9,150,206
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,769,1,2,57,72,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,6,146,221
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,770,2,0,284,340,0,2,0,7,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,638,13,651,959
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,771,1,1,54,51,1,0,5,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,3,125,172
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,772,1,0,218,65,0,2,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,293,11,307,444
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,773,2,3,459,274,2,3,3,3,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,754,27,781,1240
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,774,2,4,513,317,0,1,1,9,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,854,13,867,1184
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,775,2,1,264,216,2,1,0,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,495,20,515,789
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,776,2,0,372,226,1,2,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,20,636,974
4,12,GUERRERO,10,TECPAN DE GALEANA,14,BENITO JUAREZ,777,1,1,129,108,2,1,6,2,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,255,8,263,383
4,12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,15,BUENAVISTA DE CUELLAR,778,2,139,231,153,225,79,34,1,39,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,919,18,937,1385
