CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRD,PT,PVEM,MC,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,5,YAUHQUEMEHCAN,40,XALTOCAN,549,B,203,45,14,,0,37,7,23,5,76,,,0,,0,410,17,427,674,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,40,XALTOCAN,549,C01,167,50,12,,5,53,11,24,5,81,,,0,,0,408,28,436,673,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,40,XALTOCAN,550,B,0,0,0,,0,0,0,0,0,0,,,0,,0,0,0,0,430,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,40,XALTOCAN,550,C01,0,0,0,,0,0,0,0,0,0,,,0,,0,0,0,0,429,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,40,XALTOCAN,553,B,87,8,7,,1,31,11,23,3,31,,,0,,0,202,14,216,287,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,40,XALTOCAN,554,B,54,13,3,,2,7,5,9,2,24,,,0,,0,119,2,121,152,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,40,XALTOCAN,555,B,174,55,14,,2,33,7,21,2,190,,,0,,0,498,19,517,674,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,40,XALTOCAN,556,B,215,64,6,,3,28,41,35,3,108,,,0,,0,503,14,517,719,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,40,XALTOCAN,557,B,181,57,14,,7,16,4,39,15,106,,,0,,43,482,0,482,707,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,575,B,198,19,1,,2,32,10,45,20,115,,,0,,0,442,19,461,677,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,575,C01,182,27,1,,4,41,4,27,28,103,,,0,,0,417,16,433,677,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,575,C02,195,13,2,,3,41,5,30,32,110,,,0,,0,431,17,448,676,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,575,S01,0,0,0,,0,0,0,0,0,0,,,0,,0,0,0,0,0,No instalada,,,,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,576,B,151,17,2,,2,34,21,15,18,98,,,0,,0,358,20,378,542,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,576,C01,122,18,7,,5,35,18,19,29,76,,,0,,0,329,17,346,542,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,576,C02,135,19,2,,3,34,10,15,39,91,,,0,,1,349,13,362,542,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,577,B,199,16,1,,3,15,6,35,18,130,,,0,,0,423,30,453,621,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,578,B,156,16,2,,4,37,19,22,7,104,,,0,,0,367,19,386,498,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,578,C01,140,10,3,,2,36,23,16,6,107,,,0,,1,344,12,356,498,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,579,B,110,24,2,,4,128,11,24,8,104,,,0,,0,415,21,436,616,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,579,C01,113,24,2,,2,124,7,19,15,99,,,0,,0,405,17,422,615,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,580,B,171,11,8,,6,14,5,58,8,92,,,0,,0,373,20,393,663,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,580,C01,174,22,14,,9,9,8,45,4,78,,,0,,2,365,18,383,663,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,580,C02,179,11,6,,1,13,10,45,5,77,,,0,,0,347,16,363,663,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,581,B,137,36,7,,6,10,9,46,6,62,,,0,,0,319,20,339,642,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,581,C01,167,20,10,,3,13,5,32,5,88,,,0,,2,345,22,367,642,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,581,C02,154,21,4,,5,16,7,48,5,48,,,0,,0,308,23,331,641,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,581,C03,151,17,5,,7,20,8,47,11,55,,,0,,0,321,19,340,641,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,581,C04,157,19,5,,7,18,4,32,5,66,,,0,,0,313,21,334,641,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,582,B,216,22,7,,7,14,2,41,8,48,,,0,,0,365,14,379,677,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,582,C01,206,19,4,,10,18,4,46,5,50,,,0,,0,362,11,373,677,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,582,C02,234,26,9,,9,20,6,24,8,38,,,0,,1,375,17,392,676,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,582,C03,229,16,8,,9,15,2,5,7,52,,,0,,1,344,12,356,676,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,582,C04,232,12,10,,9,17,1,39,4,57,,,0,,0,381,14,395,676,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,582,C05,212,24,8,,12,27,2,32,5,66,,,0,,0,388,18,406,676,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,583,B,127,26,7,,4,35,5,51,14,67,,,0,,0,336,17,353,681,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,583,C01,155,18,5,,3,34,3,45,4,57,,,0,,1,325,29,354,680,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,583,C02,124,39,7,,6,41,2,54,12,75,,,0,,0,360,21,381,680,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,583,C03,127,36,16,,5,37,0,48,7,70,,,0,,1,347,19,366,680,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,584,B,179,12,5,,1,39,7,30,3,39,,,0,,0,315,30,345,574,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,584,C01,161,13,2,,1,38,6,32,4,42,,,0,,0,299,17,316,574,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,585,B,169,19,6,,6,22,3,19,7,141,,,0,,0,392,17,409,633,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,585,C01,144,27,3,,2,14,4,41,12,135,,,0,,0,382,36,418,633,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,585,C02,176,15,3,,5,28,4,24,12,124,,,0,,2,393,16,409,633,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,43,YAUHQUEMEHCAN,585,C03,163,25,3,,5,24,11,40,6,118,,,0,,0,395,21,416,632,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,57,SAN LUCAS TECOPILCO,551,B,153,22,5,,36,15,22,16,6,87,,,0,,1,363,18,381,504,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,57,SAN LUCAS TECOPILCO,551,C01,107,20,12,,50,11,34,25,3,118,,,0,,0,380,15,395,504,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,57,SAN LUCAS TECOPILCO,551,C02,120,24,6,,40,12,33,28,1,99,,,0,,0,363,9,372,504,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,57,SAN LUCAS TECOPILCO,552,B,148,17,4,,40,14,21,14,1,71,,,0,,1,331,14,345,448,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,5,YAUHQUEMEHCAN,57,SAN LUCAS TECOPILCO,552,C01,136,25,5,,36,14,22,19,4,69,,,0,,0,330,26,356,448,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_5.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,232,B,27,43,6,12,36,117,8,27,2,,100,,,,1,379,28,407,640,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,232,C01,50,53,8,6,34,97,10,12,4,,95,,,,5,374,31,405,639,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,232,C02,46,62,10,14,46,86,5,18,5,,120,,,,1,413,30,443,639,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,233,B,21,32,10,15,43,78,3,14,6,,128,,,,2,352,12,364,555,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,233,C01,29,44,11,8,50,97,1,17,6,,88,,,,0,351,22,373,554,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,233,C02,11,52,10,11,50,96,7,23,5,,88,,,,0,353,22,375,554,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,233,S01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,No instalada,,,,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,234,B,29,61,6,5,60,123,7,23,8,,99,,,,0,421,14,435,633,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,234,C01,24,48,11,9,62,135,12,22,6,,85,,,,0,414,25,439,633,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,235,B,7,23,0,0,3,43,1,6,0,,23,,,,0,106,11,117,197,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,236,B,5,31,5,4,7,44,0,3,0,,60,,,,0,159,12,171,259,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,237,B,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,323,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,238,B,11,43,3,4,6,17,3,5,0,,70,,,,0,162,9,171,281,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,239,B,15,43,3,6,15,93,6,5,1,,97,,,,0,284,9,293,448,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,240,B,17,36,8,8,36,19,5,15,3,,54,,,,0,201,10,211,387,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,240,C01,18,23,7,5,41,25,3,4,5,,69,,,,0,200,7,207,386,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,241,B,42,75,7,6,27,71,1,10,1,,41,,,,0,281,31,312,568,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,241,C01,38,60,5,3,33,51,2,12,3,,52,,,,3,262,13,275,568,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Diputados_Locales/Actas%20de%20Escrutinio%20y%20computo/AEYC_Distrito_6.pdf,
