CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,32,B,8,202,8,2,4,2,3,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,291,4,295,351,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,33,B,104,57,71,5,18,3,9,14,159,6,4,0,0,1,0,2,0,1,2,0,0,2,0,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,465,38,503,739,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,34,B,47,38,19,1,3,0,3,3,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,176,11,187,281,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,35,B,17,15,3,1,1,0,4,2,22,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,74,5,79,106,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,36,B,14,34,28,1,6,1,21,3,69,2,2,0,1,0,0,3,0,0,0,0,0,0,0,1,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,211,35,246,379,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,36,C01,31,36,27,1,17,1,24,5,76,2,2,1,0,0,0,3,0,0,0,0,0,0,0,1,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,249,31,280,378,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,37,B,27,55,24,0,5,1,9,12,48,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,200,13,213,267,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,38,B,14,101,48,0,2,2,15,4,87,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,321,23,344,466,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,38,C01,14,96,60,4,1,1,8,1,113,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,333,12,345,465,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,39,B,11,57,42,2,5,0,18,1,81,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,234,18,252,389,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,39,C01,15,63,48,0,1,0,13,6,70,8,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,249,16,265,389,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,40,B,19,98,52,1,1,0,10,3,307,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,501,18,519,692,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,41,B,12,73,22,0,2,0,13,1,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,242,6,248,321,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,43,B,40,161,50,6,11,5,8,11,130,1,2,2,0,0,1,6,1,0,1,0,0,0,1,5,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,468,19,487,721,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,44,B,13,32,16,1,8,0,5,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,105,4,109,139,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,45,B,16,19,31,1,2,0,5,5,56,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,149,8,157,223,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,46,B,39,34,63,2,14,5,5,1,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,301,10,311,389,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,46,C01,22,26,57,1,7,4,5,2,115,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,246,16,262,389,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,47,B,41,83,61,1,3,0,8,7,133,10,0,0,0,0,0,4,4,0,1,0,0,0,0,1,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,416,27,443,614,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,47,E01,6,21,3,0,4,0,3,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,2,62,97,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,48,B,13,22,5,1,4,0,2,3,40,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,129,6,135,226,,,,
1,18,NAYARIT,1,ACAPONETA,6,HUAJICORI,196,B,44,137,83,3,3,2,7,9,184,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,489,17,506,659,,,,
1,18,NAYARIT,1,ACAPONETA,6,HUAJICORI,196,C01,32,191,73,2,1,4,4,4,140,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,472,18,490,659,,,,
1,18,NAYARIT,1,ACAPONETA,6,HUAJICORI,197,B,24,137,56,3,1,0,7,4,158,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,411,16,427,548,,,,
1,18,NAYARIT,1,ACAPONETA,6,HUAJICORI,197,C01,21,152,47,4,0,2,12,9,139,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,406,21,427,548,,,,
