Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
793,B1,16,133,24,10,63,9,121,9,3,0,0,4,0,2,4,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,415,685
793,C1,23,115,22,8,71,3,110,8,1,0,1,7,0,5,1,0,0,2,0,0,1,3,0,3,0,0,0,0,1,0,0,0,2,0,0,0,387,685
794,B1,62,98,19,7,81,13,117,6,3,1,1,3,2,7,0,0,0,3,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,11,442,741
794,C1,43,111,14,10,71,11,105,4,2,0,3,5,4,6,0,0,0,1,0,0,1,0,0,7,0,0,1,0,2,1,0,0,1,0,0,23,426,741
794,C2,58,119,14,11,64,12,106,1,0,0,3,7,6,10,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,18,433,741
794,C3,40,102,12,9,66,9,125,2,1,1,1,8,7,6,1,0,0,0,0,0,2,1,0,4,0,0,0,0,1,0,1,0,0,0,0,13,412,741
794,C4,38,72,17,9,66,4,126,5,1,5,0,10,4,6,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,381,740
794,C5,66,89,10,9,80,8,108,3,1,1,1,15,8,11,0,0,0,2,0,0,0,0,0,5,0,2,0,0,1,1,0,0,0,0,1,18,440,740
795,B1,15,88,21,16,69,6,123,9,3,3,2,12,4,1,0,1,0,0,0,0,1,1,0,3,0,1,0,0,0,2,1,0,0,0,0,16,398,631
795,C1,7,105,21,9,54,5,133,7,2,2,1,3,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,376,631
