Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
66,C1,67,18,8,3,2,9,133,16,33,1,17,7,3,2,0,0,0,2,0,0,0,0,1,2,3,0,0,0,0,2,3,0,0,0,0,0,11,343,521
66,E1,49,5,0,12,4,3,66,10,11,0,24,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,26,242,576
66,E1 C1,50,12,2,18,2,0,65,12,15,2,12,2,1,3,2,0,0,1,0,0,0,0,0,2,3,1,0,0,0,0,2,0,0,0,0,0,15,222,576
67,B1,104,28,11,10,5,8,92,23,20,5,10,14,9,3,2,0,0,3,1,0,1,1,0,2,5,1,0,0,1,3,1,0,2,1,0,0,9,375,663
67,C1,114,23,7,4,3,8,129,11,12,2,10,7,7,4,0,0,0,1,1,0,0,1,1,3,6,3,0,0,0,0,0,0,0,0,1,0,14,372,663
67,C2,118,26,14,5,2,4,108,13,23,2,12,8,13,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,1,1,0,0,1,0,20,381,663
68,B1,57,0,0,2,0,0,124,0,0,0,8,1,0,0,0,0,0,19,0,0,12,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,5,285,582
68,C1,83,7,8,3,1,3,114,6,14,4,9,3,6,4,2,0,0,4,1,1,0,0,0,0,10,1,1,0,0,2,3,0,0,0,0,0,14,304,582
68,C2,73,5,3,0,0,5,128,9,11,4,9,4,4,4,2,0,0,1,3,1,0,0,0,1,13,0,2,1,0,1,3,0,0,0,0,0,10,297,582
68,C3,77,17,2,1,0,4,110,6,31,4,16,2,0,7,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,2,2,0,1,1,0,0,13,307,582
69,B1,97,22,11,6,2,8,135,16,44,8,16,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,16,0,0,14,411,618
69,C1,97,11,3,6,1,3,128,12,43,13,12,7,7,3,0,0,0,2,0,0,0,0,0,1,10,6,1,0,0,4,2,1,1,0,0,0,11,385,617
70,B1,52,4,9,8,0,10,115,11,17,3,47,5,0,6,2,0,0,2,0,0,0,0,0,6,13,4,0,2,0,6,1,0,0,0,0,0,11,334,574
70,C1,58,9,7,14,2,6,120,9,29,4,47,1,8,4,1,0,0,0,0,1,0,0,0,3,2,1,0,0,0,2,1,0,0,0,0,0,13,342,574
70,C2,65,10,9,7,7,8,103,5,23,3,58,3,4,2,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,8,324,574
71,B1,86,15,8,9,2,11,116,32,22,6,65,7,9,3,1,0,0,2,2,0,0,0,0,17,3,1,0,0,0,0,2,1,0,0,0,0,9,429,632
71,C1,80,7,13,3,2,12,104,14,17,1,77,9,4,0,1,0,0,3,0,1,0,0,0,6,7,0,0,0,0,1,6,0,0,0,0,0,14,382,632
72,B1,124,12,6,4,1,12,104,15,15,4,71,7,11,5,1,0,0,0,1,0,0,0,0,6,7,0,0,0,0,1,0,0,1,1,0,0,10,419,665
