id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI-PVEM,PRD,PT,PC,No Registrados,Nulos,Total
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,50,Lazaro Cardenas,612,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,812,29,87,87,6,0,0,5,214
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,50,Lazaro Cardenas,738,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,813,30,91,89,8,0,0,2,220
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,50,Lazaro Cardenas,531,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,816,14,67,66,7,0,0,7,161
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,50,Lazaro Cardenas,531,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,816,20,66,76,4,0,0,4,170
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,50,Lazaro Cardenas,745,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,820,39,117,93,9,0,0,4,262
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,50,Lazaro Cardenas,655,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,825,14,81,72,1,0,0,7,175
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,50,Lazaro Cardenas,583,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,826,22,92,66,8,0,0,0,188
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,50,Lazaro Cardenas,584,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,826,17,115,69,8,0,0,5,214
16,14/11/2004,12,Ayuntamientos,16,0,3,E,Extraordinaria,0,50,Lazaro Cardenas,188,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,831,8,49,24,5,0,0,2,88
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,8,Aquila,383,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,145,17,61,141,7,0,0,4,230
16,14/11/2004,12,Ayuntamientos,16,0,2,E,Extraordinaria,0,8,Aquila,163,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,145,31,19,43,3,0,0,1,97
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,8,Aquila,260,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,148,6,103,60,13,0,0,0,182
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,9,Ario,516,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,151,86,73,102,18,6,0,6,291
