Municipio,Seccion,Casilla,Lista Nominal ,PAN,PRI,PRD,PT,PVEM,PC,PNA,PAS,COAL_PRD_PT,COAL_PRD_PT_PC,COAL_PRD_PC,CC_PAN_PRI,CC_PAN_PRI_PVEM,CC_PAN_PVEM,CC_PAN_PVEM_PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRI_PVEM_PNA,NOREG,NULOS
Gabriel Zamora,476,C1,458,8,78,,,,,,33,,129,,,,,,,,,0,8
Gabriel Zamora,477,B,572,2,104,,,,,,48,,143,,,,,,,,,0,12
Gabriel Zamora,477,C1,573,6,123,,,,,,51,,124,,,,,,,,,0,3
Gabriel Zamora,478,B,387,3,84,,,,,,24,,87,,,,,,,,,0,13
Gabriel Zamora,478,C1,388,3,111,,,,,,26,,78,,,,,,,,,0,6
Gabriel Zamora,478,E1,264,2,71,,,,,,5,,50,,,,,,,,,0,3
Gabriel Zamora,479,B,305,7,79,,,,,,9,,71,,,,,,,,,0,5
Hidalgo,480,B,690,180,65,,,3,,1,0,,45,,,,,,,,,0,11
Hidalgo,480,C1,690,158,55,,,2,,2,1,,43,,,,,,,,,0,10
Hidalgo,480,C2,691,190,65,,,3,,3,2,,55,,,,,,,,,0,4
Hidalgo,481,B,632,92,38,,,4,,0,1,,68,,,,,,,,,0,10
Hidalgo,481,C1,632,86,53,,,1,,3,1,,78,,,,,,,,,0,8
Hidalgo,481,C2,633,98,57,,,2,,1,0,,105,,,,,,,,,0,14
Hidalgo,481,C3,633,60,56,,,8,,2,0,,98,,,,,,,,,0,8
Hidalgo,482,B,667,138,71,,,3,,3,2,,56,,,,,,,,,0,6
Hidalgo,482,C1,667,105,99,,,2,,4,2,,66,,,,,,,,,0,3
Hidalgo,482,C2,667,89,90,,,2,,2,1,,62,,,,,,,,,0,6
Hidalgo,482,C3,668,110,78,,,2,,4,1,,53,,,,,,,,,0,10
Hidalgo,482,C4,668,100,73,,,1,,2,1,,67,,,,,,,,,0,9
Hidalgo,483,B,618,149,47,,,1,,2,0,,58,,,,,,,,,0,3
Hidalgo,483,C1,618,150,56,,,1,,6,1,,67,,,,,,,,,0,7
Hidalgo,483,C2,618,125,59,,,33,,1,1,,66,,,,,,,,,0,10
Hidalgo,483,C3,618,134,53,,,4,,3,0,,62,,,,,,,,,0,13
Hidalgo,484,B,627,159,38,,,2,,2,1,,71,,,,,,,,,0,3
Hidalgo,484,C1,627,132,74,,,3,,4,0,,72,,,,,,,,,0,7
Hidalgo,484,C2,628,152,39,,,5,,6,2,,54,,,,,,,,,0,4
Hidalgo,485,B,669,167,94,,,3,,2,2,,77,,,,,,,,,0,7
Hidalgo,485,C1,669,155,88,,,1,,2,0,,80,,,,,,,,,0,8
Hidalgo,486,B,702,195,69,,,2,,2,1,,79,,,,,,,,,0,6
Hidalgo,486,C1,703,152,70,,,2,,3,1,,93,,,,,,,,,0,5
Hidalgo,486,C2,703,180,52,,,0,,6,0,,72,,,,,,,,,0,11
Hidalgo,487,B,580,147,60,,,1,,3,7,,61,,,,,,,,,0,5
Hidalgo,487,C1,580,143,64,,,2,,4,0,,56,,,,,,,,,0,5
Hidalgo,487,C2,581,127,51,,,1,,4,5,,68,,,,,,,,,0,10
Hidalgo,488,B,676,111,68,,,11,,0,3,,69,,,,,,,,,0,8
Hidalgo,488,C1,676,101,53,,,5,,1,3,,71,,,,,,,,,0,10
Hidalgo,488,C2,676,103,47,,,8,,1,3,,73,,,,,,,,,0,6
Hidalgo,489,B,653,103,53,,,10,,1,3,,57,,,,,,,,,0,10
Hidalgo,489,C1,653,95,45,,,6,,0,4,,45,,,,,,,,,0,10
Hidalgo,489,C2,654,97,65,,,8,,1,1,,57,,,,,,,,,0,4
Hidalgo,490,B,694,104,63,,,5,,4,0,,79,,,,,,,,,0,9
Hidalgo,490,C1,694,95,45,,,4,,2,2,,74,,,,,,,,,0,7
Hidalgo,490,C2,694,95,60,,,4,,3,0,,102,,,,,,,,,0,10
Hidalgo,491,B,732,160,77,,,4,,3,5,,86,,,,,,,,,1,7
Hidalgo,491,C1,732,172,57,,,4,,6,6,,85,,,,,,,,,0,6
Hidalgo,491,C2,732,146,66,,,2,,2,6,,93,,,,,,,,,0,9
Hidalgo,492,B,662,163,63,,,1,,4,1,,81,,,,,,,,,0,4
Hidalgo,492,C1,662,135,73,,,2,,3,1,,78,,,,,,,,,0,10
Hidalgo,493,B,574,136,44,,,4,,0,1,,83,,,,,,,,,0,8
Hidalgo,493,C1,575,120,37,,,2,,1,1,,70,,,,,,,,,0,3
Hidalgo,493,C2,575,128,33,,,5,,3,1,,76,,,,,,,,,0,7
Hidalgo,494,B,675,118,75,,,3,,1,2,,75,,,,,,,,,0,5
Hidalgo,494,C1,675,126,81,,,3,,2,1,,90,,,,,,,,,0,5
Hidalgo,494,C2,676,145,68,,,1,,3,1,,94,,,,,,,,,0,6
Hidalgo,494,C3,676,108,69,,,1,,1,1,,99,,,,,,,,,0,7
Hidalgo,495,B,643,82,52,,,10,,1,2,,65,,,,,,,,,0,5
Hidalgo,495,C1,643,79,74,,,5,,6,2,,85,,,,,,,,,0,9
Hidalgo,495,C2,643,81,59,,,6,,4,0,,61,,,,,,,,,0,11
Hidalgo,495,C3,643,85,77,,,9,,1,0,,64,,,,,,,,,0,4
Hidalgo,495,C4,643,79,68,,,5,,4,1,,84,,,,,,,,,0,7
Hidalgo,495,C5,643,71,78,,,3,,3,1,,90,,,,,,,,,0,4
Hidalgo,496,B,644,141,64,,,6,,3,3,,72,,,,,,,,,0,6
Hidalgo,496,C1,645,141,69,,,18,,2,4,,95,,,,,,,,,0,0
Hidalgo,496,C2,645,113,76,,,6,,2,1,,93,,,,,,,,,0,11
Hidalgo,497,B,608,153,95,,,5,,3,1,,77,,,,,,,,,0,2
Hidalgo,497,C1,609,127,101,,,2,,9,3,,96,,,,,,,,,0,2
Hidalgo,498,B,526,125,86,,,3,,1,1,,63,,,,,,,,,0,6
Hidalgo,498,C1,527,165,65,,,2,,2,1,,51,,,,,,,,,0,6
Hidalgo,498,C2,527,124,71,,,2,,0,12,,72,,,,,,,,,0,2
Hidalgo,499,B,544,135,70,,,2,,1,7,,76,,,,,,,,,0,9
Hidalgo,499,C1,545,116,70,,,4,,4,4,,88,,,,,,,,,1,4
Hidalgo,499,C2,545,108,60,,,4,,3,1,,75,,,,,,,,,0,8
Hidalgo,500,B,519,121,45,,,2,,3,2,,70,,,,,,,,,0,8
Hidalgo,500,C1,519,98,41,,,3,,1,0,,73,,,,,,,,,0,3
Hidalgo,500,C2,519,82,50,,,3,,17,0,,78,,,,,,,,,0,2
Hidalgo,501,B,571,106,80,,,2,,4,1,,86,,,,,,,,,0,5
Hidalgo,501,C1,572,103,80,,,2,,1,1,,103,,,,,,,,,0,4
Hidalgo,502,B,593,97,60,,,2,,3,5,,95,,,,,,,,,,5
Hidalgo,502,C1,593,106,46,,,4,,2,2,,93,,,,,,,,,0,6
Hidalgo,502,C2,593,112,71,,,2,,3,1,,94,,,,,,,,,0,8
Hidalgo,503,B,746,133,75,,,4,,3,2,,95,,,,,,,,,0,4
Hidalgo,503,C1,746,150,72,,,2,,6,0,,88,,,,,,,,,0,10
Hidalgo,503,C2,746,126,52,,,3,,4,2,,103,,,,,,,,,0,6
Hidalgo,504,B,219,57,6,,,0,,0,1,,36,,,,,,,,,0,5
Hidalgo,505,B,139,53,8,,,1,,2,0,,9,,,,,,,,,0,1
Hidalgo,506,B,204,62,16,,,2,,0,2,,21,,,,,,,,,0,5
Hidalgo,507,B,116,13,6,,,0,,0,0,,18,,,,,,,,,0,0
Hidalgo,508,B,683,31,47,,,1,,0,0,,150,,,,,,,,,0,10
Hidalgo,508,C1,684,35,77,,,0,,3,1,,148,,,,,,,,,0,7
Hidalgo,509,B,252,25,36,,,0,,2,1,,66,,,,,,,,,0,0
Hidalgo,510,B,519,68,51,,,9,,0,1,,61,,,,,,,,,0,11
Hidalgo,510,C1,520,73,39,,,4,,1,2,,68,,,,,,,,,0,15
Hidalgo,510,C2,520,80,29,,,4,,3,0,,71,,,,,,,,,2,8
Hidalgo,511,B,710,104,72,,,4,,4,1,,85,,,,,,,,,0,17
Hidalgo,511,C1,711,111,79,,,6,,3,2,,92,,,,,,,,,0,10
Hidalgo,512,B,474,156,31,,,1,,1,1,,29,,,,,,,,,0,1
Hidalgo,513,B,700,191,58,,,18,,1,2,,38,,,,,,,,,0,4
Hidalgo,513,C1,700,181,50,,,4,,2,3,,31,,,,,,,,,0,6
Hidalgo,514,B,694,95,35,,,3,,5,1,,97,,,,,,,,,0,12
Hidalgo,515,B,509,111,54,,,4,,2,1,,31,,,,,,,,,0,3
Hidalgo,516,B,623,112,59,,,4,,0,0,,107,,,,,,,,,0,5
Hidalgo,517,B,746,59,75,,,5,,3,0,,131,,,,,,,,,0,7
Hidalgo,517,C1,746,58,80,,,2,,0,0,,132,,,,,,,,,0,11
Hidalgo,517,C2,746,71,117,,,4,,1,0,,90,,,,,,,,,0,9
Hidalgo,518,B,327,26,48,,,1,,0,0,,62,,,,,,,,,0,2
Hidalgo,519,B,128,4,35,,,0,,1,0,,10,,,,,,,,,0,3
Hidalgo,520,B,425,54,62,,,1,,1,1,,27,,,,,,,,,0,3
Hidalgo,521,B,523,49,64,,,1,,2,9,,103,,,,,,,,,0,8
Hidalgo,521,C1,523,48,108,,,4,,3,3,,80,,,,,,,,,0,15
Hidalgo,521,C2,524,45,89,,,2,,4,11,,68,,,,,,,,,0,4
Hidalgo,522,B,432,64,57,,,5,,1,2,,46,,,,,,,,,0,7
Hidalgo,523,B,448,50,53,,,1,,0,1,,77,,,,,,,,,0,6
Hidalgo,524,B,403,40,27,,,2,,0,1,,88,,,,,,,,,0,6
Hidalgo,525,B,414,14,93,,,1,,2,0,,79,,,,,,,,,0,8
Hidalgo,526,B,737,65,97,,,4,,2,9,,92,,,,,,,,,1,19
Hidalgo,526,C1,737,65,79,,,4,,1,4,,98,,,,,,,,,1,26
Hidalgo,527,B,552,46,47,,,1,,0,2,,65,,,,,,,,,0,14
Hidalgo,527,C1,552,72,39,,,4,,1,2,,55,,,,,,,,,0,18
Hidalgo,527,C2,552,52,44,,,5,,0,3,,59,,,,,,,,,2,7
Hidalgo,528,B,631,21,48,,,1,,1,8,,111,,,,,,,,,0,2
Hidalgo,529,B,521,29,31,,,1,,1,0,,112,,,,,,,,,0,3
Hidalgo,530,B,354,5,15,,,3,,1,0,,114,,,,,,,,,0,5
Hidalgo,531,B,462,17,176,,,0,,1,0,,61,,,,,,,,,0,3
Hidalgo,532,B,401,44,47,,,2,,0,1,,92,,,,,,,,,0,5
Hidalgo,532,C1,401,43,50,,,2,,1,0,,80,,,,,,,,,0,6
Hidalgo,533,B,130,17,33,,,1,,0,5,,15,,,,,,,,,0,2
Hidalgo,534,B,498,51,51,,,0,,0,4,,62,,,,,,,,,0,7
Hidalgo,535,B,106,19,12,,,0,,0,0,,17,,,,,,,,,0,2
Hidalgo,536,B,146,11,40,,,0,,0,0,,12,,,,,,,,,0,4
Hidalgo,537,B,354,53,43,,,1,,0,1,,28,,,,,,,,,0,6
Hidalgo,538,B,334,88,1,,,4,,1,0,,26,,,,,,,,,0,4
Hidalgo,539,B,492,122,9,,,2,,0,0,,50,,,,,,,,,0,9
Hidalgo,540,B,188,12,20,,,2,,0,0,,36,,,,,,,,,0,5
Hidalgo,541,B,214,6,5,,,0,,4,0,,86,,,,,,,,,0,5
Hidalgo,542,B,613,18,44,,,1,,0,4,,215,,,,,,,,,0,6
Hidalgo,543,B,157,28,4,,,0,,0,0,,22,,,,,,,,,0,1
Hidalgo,544,B,623,29,68,,,2,,0,2,,159,,,,,,,,,0,15
Hidalgo,545,B,422,89,38,,,2,,0,2,,101,,,,,,,,,0,5
Hidalgo,545,C1,423,98,38,,,1,,1,1,,93,,,,,,,,,0,6
Hidalgo,546,B,658,149,70,,,2,,0,10,,110,,,,,,,,,0,2
Hidalgo,546,C1,659,141,94,,,3,,1,2,,88,,,,,,,,,0,5
Hidalgo,546,C2,659,125,91,,,3,,1,3,,98,,,,,,,,,0,7
Hidalgo,547,B,187,103,75,,,2,,0,1,,109,,,,,,,,,0,23
Hidalgo,548,B,658,64,32,,,2,,1,1,,91,,,,,,,,,0,12
Hidalgo,549,B,666,84,38,,,2,,0,1,,62,,,,,,,,,0,8
Hidalgo,549,C1,666,77,36,,,3,,1,2,,64,,,,,,,,,0,16
Hidalgo,550,B,561,113,10,,,0,,0,4,,90,,,,,,,,,0,14
Hidalgo,551,B,237,17,37,,,0,,1,2,,60,,,,,,,,,0,3
Hidalgo,552,B,211,13,11,,,1,,0,2,,25,,,,,,,,,0,3
Hidalgo,553,B,126,0,4,,,0,,0,0,,11,,,,,,,,,0,2
Hidalgo,554,B,57,26,0,,,0,,0,0,,3,,,,,,,,,0,0
Hidalgo,555,B,177,44,10,,,1,,0,1,,4,,,,,,,,,0,5
Hidalgo,556,B,84,1,0,,,0,,0,0,,30,,,,,,,,,0,2
La Huacana,557,B,545,113,87,,,,,5,,,103,,,,,,,,,0,4
La Huacana,557,C1,546,99,88,,,,,15,,,113,,,,,,,,,0,3
La Huacana,557,E1,176,28,61,,,,,1,,,15,,,,,,,,,0,1
La Huacana,558,B,748,141,150,,,,,8,,,97,,,,,,,,,0,11
La Huacana,558,C1,749,127,135,,,,,14,,,115,,,,,,,,,0,10
La Huacana,559,B,725,138,156,,,,,6,,,105,,,,,,,,,0,11
La Huacana,559,C1,725,122,138,,,,,14,,,108,,,,,,,,,0,8
La Huacana,560,B,534,80,107,,,,,4,,,85,,,,,,,,,0,10
La Huacana,560,C1,534,74,117,,,,,9,,,79,,,,,,,,,0,8
La Huacana,561,B,471,80,87,,,,,0,,,89,,,,,,,,,0,2
La Huacana,561,C1,472,81,95,,,,,3,,,96,,,,,,,,,0,3
La Huacana,562,B,510,73,93,,,,,0,,,75,,,,,,,,,0,10
La Huacana,562,C1,511,76,86,,,,,2,,,85,,,,,,,,,0,3
La Huacana,563,B,206,47,36,,,,,1,,,54,,,,,,,,,0,1
La Huacana,564,B,453,73,84,,,,,2,,,104,,,,,,,,,0,5
La Huacana,564,C1,453,83,66,,,,,1,,,106,,,,,,,,,0,10
La Huacana,565,B,557,87,93,,,,,3,,,105,,,,,,,,,0,3
La Huacana,566,B,748,74,239,,,,,4,,,101,,,,,,,,,0,9
La Huacana,567,B,439,25,52,,,,,0,,,136,,,,,,,,,0,3
La Huacana,568,B,447,9,84,,,,,1,,,130,,,,,,,,,0,2
La Huacana,568,C1,447,18,79,,,,,0,,,111,,,,,,,,,0,2
La Huacana,569,B,275,28,86,,,,,1,,,42,,,,,,,,,0,3
La Huacana,569,E1,277,23,69,,,,,1,,,68,,,,,,,,,0,4
La Huacana,570,B,430,51,98,,,,,1,,,73,,,,,,,,,0,1
La Huacana,570,C1,431,37,97,,,,,1,,,87,,,,,,,,,0,3
La Huacana,571,B,744,91,126,,,,,3,,,231,,,,,,,,,0,5
La Huacana,572,B,617,3,127,,,,,1,,,188,,,,,,,,,0,1
La Huacana,572,C1,617,7,192,,,,,2,,,152,,,,,,,,,0,9
La Huacana,572,C2,617,4,179,,,,,1,,,176,,,,,,,,,0,14
La Huacana,573,B,675,9,218,,,,,0,,,104,,,,,,,,,0,8
La Huacana,573,C1,675,10,216,,,,,2,,,104,,,,,,,,,0,4
La Huacana,574,B,570,2,149,,,,,0,,,91,,,,,,,,,0,8
La Huacana,574,C1,571,6,184,,,,,1,,,93,,,,,,,,,0,6
La Huacana,575,B,532,9,124,,,,,0,,,171,,,,,,,,,0,14
La Huacana,576,B,361,3,89,,,,,0,,,103,,,,,,,,,0,6
La Huacana,577,B,567,6,62,,,,,0,,,214,,,,,,,,,0,5
La Huacana,577,C1,568,8,90,,,,,1,,,145,,,,,,,,,0,2
La Huacana,578,B,392,6,92,,,,,4,,,115,,,,,,,,,0,6
La Huacana,578,C1,392,5,77,,,,,1,,,124,,,,,,,,,0,10
La Huacana,579,B,687,7,245,,,,,6,,,173,,,,,,,,,0,6
La Huacana,2666,B,296,6,32,,,,,1,,,116,,,,,,,,,0,5
La Huacana,2667,B,300,91,59,,,,,1,,,19,,,,,,,,,0,6
La Huacana,2668,B,603,3,118,,,,,1,,,181,,,,,,,,,0,7
La Huacana,2669,B,392,22,110,,,,,2,,,106,,,,,,,,,0,6
La Huacana,2669,C1,393,13,96,,,,,0,,,105,,,,,,,,,0,4
La Huacana,2670,B,606,10,152,,,,,1,,,151,,,,,,,,,0,18
Huandacareo,580,B,450,68,33,,,55,,,3,,74,,,,,,,,,1,11
Huandacareo,580,C1,450,93,34,,,43,,,2,,70,,,,,,,,,0,3
Huandacareo,581,B,552,63,51,,,111,,,6,,68,,,,,,,,,0,3
Huandacareo,581,C1,553,56,38,,,95,,,0,,85,,,,,,,,,0,5
Huandacareo,582,B,649,78,75,,,80,,,8,,83,,,,,,,,,0,9
Huandacareo,583,B,411,69,45,,,42,,,3,,66,,,,,,,,,0,5
Huandacareo,583,C1,412,70,40,,,51,,,3,,62,,,,,,,,,0,5
Huandacareo,584,B,604,81,66,,,51,,,2,,116,,,,,,,,,0,8
Huandacareo,584,C1,605,75,50,,,91,,,4,,107,,,,,,,,,0,6
Huandacareo,585,B,679,121,49,,,55,,,5,,124,,,,,,,,,0,9
Huandacareo,586,B,601,138,44,,,100,,,6,,51,,,,,,,,,0,6
Huandacareo,586,C1,602,123,67,,,67,,,2,,55,,,,,,,,,0,6
Huandacareo,587,B,731,106,75,,,90,,,4,,65,,,,,,,,,0,12
Huandacareo,588,B,566,69,94,,,60,,,1,,89,,,,,,,,,0,13
Huandacareo,588,C1,567,61,90,,,76,,,3,,82,,,,,,,,,0,6
Huandacareo,589,B,516,85,86,,,59,,,1,,46,,,,,,,,,0,11
Huandacareo,589,C1,516,101,75,,,54,,,0,,49,,,,,,,,,0,4
Huandacareo,589,C2,516,92,47,,,59,,,3,,62,,,,,,,,,1,10
Huaníqueo,590,B,624,27,78,,,,,,,,137,,,,,,,,,,18
Huaníqueo,591,B,620,14,65,,,,,,,,155,,,,,,,,,,14
Huaníqueo,592,B,678,14,62,,,,,,,,167,,,,,,,,,,21
Huaníqueo,592,C1,678,16,65,,,,,,,,181,,,,,,,,,1,9
Huaníqueo,593,B,538,17,76,,,,,,,,94,,,,,,,,,1,5
Huaníqueo,593,C1,539,17,68,,,,,,,,101,,,,,,,,,,8
Huaníqueo,594,B,630,10,13,,,,,,,,217,,,,,,,,,,6
Huaníqueo,595,B,416,4,19,,,,,,,,154,,,,,,,,,,7
Huaníqueo,596,B,589,14,12,,,,,,,,192,,,,,,,,,,4
Huaníqueo,597,B,600,8,19,,,,,,,,147,,,,,,,,,,15
Huaníqueo,598,B,582,8,52,,,,,,,,72,,,,,,,,,,12
Huaníqueo,598,C1,582,10,60,,,,,,,,91,,,,,,,,,,15
Huaníqueo,599,B,375,2,8,,,,,,,,132,,,,,,,,,,8
Huaníqueo,599,C1,376,8,15,,,,,,,,136,,,,,,,,,,9
Huaníqueo,600,B,377,11,31,,,,,,,,116,,,,,,,,,,6
Huaníqueo,600,C1,377,1,39,,,,,,,,91,,,,,,,,,,10
Huetamo,601,B,637,7,128,,,4,,,,,163,,,,,,,,,,13
Huetamo,602,B,735,7,193,,,7,,,,,116,,,,,,,,,,11
Huetamo,603,B,552,6,141,,,,,,,,143,,,,,,,,,,11
Huetamo,603,C1,552,5,146,,,5,,,,,129,,,,,,,,,,9
Huetamo,604,B,588,12,152,,,4,,,,,112,,,,,,,,,,9
Huetamo,604,C1,588,11,150,,,,,,,,133,,,,,,,,,,6
Huetamo,605,B,508,5,133,,,3,,,,,131,,,,,,,,,,7
Huetamo,605,C1,508,7,133,,,4,,,,,108,,,,,,,,,,6
Huetamo,605,C2,509,3,135,,,5,,,,,133,,,,,,,,,,7
Huetamo,606,B,680,5,129,,,2,,,,,190,,,,,,,,,,13
Huetamo,606,C1,681,5,148,,,2,,,,,147,,,,,,,,,,14
Huetamo,607,B,715,10,170,,,6,,,,,138,,,,,,,,,,12
Huetamo,607,C1,715,8,205,,,4,,,,,141,,,,,,,,,,10
Huetamo,608,B,638,6,177,,,4,,,,,131,,,,,,,,,,8
Huetamo,608,C1,639,2,188,,,4,,,,,132,,,,,,,,,,5
Huetamo,609,B,680,9,212,,,5,,,,,184,,,,,,,,,,9
Huetamo,609,C1,680,14,209,,,4,,,,,145,,,,,,,,,,12
Huetamo,610,B,544,8,127,,,,,,,,149,,,,,,,,,,7
Huetamo,610,C1,545,14,131,,,,,,,,151,,,,,,,,,,16
Huetamo,611,B,584,29,176,,,4,,,,,130,,,,,,,,,,7
Huetamo,611,C1,584,6,174,,,11,,,,,128,,,,,,,,,,8
Huetamo,612,B,482,3,143,,,1,,,,,121,,,,,,,,,,7
Huetamo,612,C1,483,5,138,,,1,,,,,123,,,,,,,,,,10
Huetamo,613,B,606,4,146,,,3,,,,,189,,,,,,,,,,11
Huetamo,613,C1,606,6,129,,,2,,,,,158,,,,,,,,,,9
Huetamo,613,C2,607,1,160,,,6,,,,,148,,,,,,,,,,6
Huetamo,614,B,607,8,134,,,4,,,,,147,,,,,,,,,,8
Huetamo,614,C1,607,11,159,,,4,,,,,138,,,,,,,,,,13
Huetamo,615,B,478,12,71,,,4,,,,,114,,,,,,,,,,5
Huetamo,616,B,463,,92,,,6,,,,,117,,,,,,,,,,10
Huetamo,616,E1,250,5,47,,,2,,,,,68,,,,,,,,,,3
Huetamo,617,B,170,,62,,,1,,,,,26,,,,,,,,,,5
Huetamo,617,E1,139,2,19,,,,,,,,48,,,,,,,,,,5
Huetamo,618,B,403,2,135,,,4,,,,,52,,,,,,,,,,8
Huetamo,619,B,608,5,157,,,1,,,,,157,,,,,,,,,,9
Huetamo,620,B,73,,37,,,1,,,,,10,,,,,,,,,,2
Huetamo,621,B,291,,68,,,,,,,,76,,,,,,,,,,15
Huetamo,621,E1,237,1,21,,,,,,,,91,,,,,,,,,,4
Huetamo,622,B,385,6,100,,,2,,,,,85,,,,,,,,,,6
Huetamo,622,C1,386,3,97,,,3,,,,,83,,,,,,,,,,8
Huetamo,623,B,428,6,93,,,2,,,,,104,,,,,,,,,,9
Huetamo,623,C1,429,5,99,,,1,,,,,97,,,,,,,,,,6
Huetamo,624,B,383,14,69,,,3,,,,,56,,,,,,,,,,10
Huetamo,625,B,668,33,173,,,5,,,,,111,,,,,,,,,,11
Huetamo,626,B,143,,42,,,,,,,,33,,,,,,,,,,2
Huetamo,627,B,406,3,87,,,2,,,,,113,,,,,,,,,,11
Huetamo,627,C1,407,4,68,,,2,,,,,103,,,,,,,,,,8
Huetamo,628,B,643,4,131,,,5,,,,,166,,,,,,,,,,9
Huetamo,628,C1,644,,141,,,2,,,,,142,,,,,,,,,,11
Huetamo,629,B,442,1,86,,,2,,,,,102,,,,,,,,,,4
Huetamo,629,C1,443,6,60,,,1,,,,,118,,,,,,,,,,6
Huetamo,630,B,546,3,146,,,,,,,,97,,,,,,,,,,14
Huetamo,631,B,463,2,136,,,,,,,,80,,,,,,,,,1,7
Huetamo,632,B,443,2,81,,,1,,,,,180,,,,,,,,,,4
Huetamo,632,C1,443,3,77,,,1,,,,,166,,,,,,,,,,2
Huetamo,633,B,732,2,212,,,3,,,,,232,,,,,,,,,,8
Huetamo,634,B,458,32,109,,,7,,,,,56,,,,,,,,,,11
Huetamo,634,C1,459,10,104,,,2,,,,,56,,,,,,,,,,16
Huetamo,635,B,377,8,93,,,,,,,,75,,,,,,,,,,6
Huetamo,635,C1,377,2,86,,,,,,,,87,,,,,,,,,,9
Huetamo,636,B,98,3,25,,,,,,,,20,,,,,,,,,,2
Huetamo,636,E1,121,,20,,,,,,,,45,,,,,,,,,,1
Huetamo,637,B,156,,43,,,1,,,,,36,,,,,,,,,,4
Huetamo,638,B,238,,63,,,4,,,,,65,,,,,,,,,,9
Huetamo,639,B,175,3,25,,,1,,,,,31,,,,,,,,,,
Huetamo,640,B,452,6,119,,,4,,,,,111,,,,,,,,,,
Huetamo,641,B,226,7,9,,,3,,,,,81,,,,,,,,,,4
Huetamo,642,B,361,1,83,,,2,,,,,124,,,,,,,,,,8
Huetamo,643,B,234,2,20,,,,,,,,99,,,,,,,,,,5
Huetamo,644,B,328,4,40,,,2,,,,,99,,,,,,,,,,3
Huetamo,645,B,292,,98,,,4,,,,,75,,,,,,,,,,10
Huetamo,646,B,268,1,60,,,1,,,,,93,,,,,,,,,,5
Huiramba,647,B,708,35,211,,,,,,,,188,,,,,,,,,0,18
Huiramba,647,C1,708,39,171,,,,,,,,235,,,,,,,,,0,10
Huiramba,647,C2,709,32,187,,,,,,,,203,,,,,,,,,0,18
Huiramba,648,B,692,69,212,,,,,,,,88,,,,,,,,,0,33
Huiramba,649,B,561,23,170,,,,,,,,101,,,,,,,,,0,15
Huiramba,650,B,399,19,129,,,,,,,,73,,,,,,,,,0,10
Huiramba,650,C1,400,19,154,,,,,,,,75,,,,,,,,,0,14
Huiramba,650,E1,448,20,180,,,,,,,,90,,,,,,,,,0,11
Huiramba,650,E2,341,13,141,,,,,,,,62,,,,,,,,,0,9
Indaparapeo,651,B,747,41,116,,7,,,37,,,174,,,,,,,,,0,5
Indaparapeo,651,C1,747,53,95,,3,,,39,,,181,,,,,,,,,0,11
Indaparapeo,651,C2,747,53,93,,12,,,23,,,176,,,,,,,,,0,5
Indaparapeo,652,B,724,35,118,,14,,,54,,,138,,,,,,,,,0,9
Indaparapeo,652,C1,725,35,121,,8,,,47,,,128,,,,,,,,,0,8
Indaparapeo,653,B,700,36,115,,23,,,41,,,109,,,,,,,,,1,9
Indaparapeo,653,C1,701,41,115,,6,,,38,,,119,,,,,,,,,0,1
Indaparapeo,654,B,690,45,103,,11,,,35,,,137,,,,,,,,,1,8
Indaparapeo,654,C1,690,58,99,,13,,,38,,,119,,,,,,,,,0,15
Indaparapeo,655,B,475,9,101,,24,,,17,,,77,,,,,,,,,0,14
Indaparapeo,655,C1,476,10,76,,39,,,23,,,52,,,,,,,,,1,8
Indaparapeo,656,B,544,14,63,,5,,,46,,,149,,,,,,,,,0,11
Indaparapeo,657,B,707,9,61,,48,,,15,,,86,,,,,,,,,0,7
Indaparapeo,658,B,327,4,77,,13,,,38,,,48,,,,,,,,,0,7
Indaparapeo,659,B,636,22,99,,15,,,29,,,107,,,,,,,,,0,9
Indaparapeo,659,C1,636,32,95,,13,,,41,,,132,,,,,,,,,1,12
Indaparapeo,659,C2,637,34,121,,18,,,51,,,92,,,,,,,,,0,14
Indaparapeo,660,B,633,10,147,,5,,,116,,,95,,,,,,,,,1,16
Indaparapeo,661,B,218,2,45,,3,,,14,,,21,,,,,,,,,0,8
Indaparapeo,662,B,300,34,69,,2,,,35,,,25,,,,,,,,,0,1
Indaparapeo,663,B,75,6,19,,5,,,7,,,5,,,,,,,,,0,5
Indaparapeo,664,B,130,9,29,,4,,,8,,,33,,,,,,,,,0,2
Irimbo,665,B,666,44,120,,,71,,,20,,87,,,,,,,,,0,11
Irimbo,665,C1,667,55,125,,,61,,,12,,98,,,,,,,,,0,19
Irimbo,665,C2,667,46,133,,,64,,,11,,99,,,,,,,,,0,14
Irimbo,666,B,604,43,125,,,33,,,6,,110,,,,,,,,,0,9
Irimbo,666,C1,604,38,134,,,30,,,5,,105,,,,,,,,,0,7
Irimbo,666,C2,605,34,143,,,34,,,1,,113,,,,,,,,,0,10
Irimbo,667,B,282,15,51,,,20,,,9,,22,,,,,,,,,0,5
Irimbo,668,B,516,46,73,,,35,,,9,,107,,,,,,,,,0,6
Irimbo,668,C1,516,65,43,,,45,,,9,,82,,,,,,,,,0,7
Irimbo,669,B,530,32,95,,,44,,,5,,84,,,,,,,,,0,6
