Municipio,Sección,Lista Nominal,Total,PAN,PRI,PRD,PT,PVEM,PC,PSN
QUERÉTARO,445,1456,1153,819,239,39,39,26,39,0
QUERÉTARO,446,1098,767,527,174,30,30,13,30,0
QUERÉTARO,447,573,448,322,69,32,32,10,32,0
QUERÉTARO,448,1051,840,555,210,28,28,20,28,0
QUERÉTARO,449,935,747,480,189,43,43,18,43,0
QUERÉTARO,450,980,772,535,168,28,28,13,28,0
QUERÉTARO,451,755,611,395,177,18,18,10,18,0
QUERÉTARO,452,1146,858,535,250,27,27,19,27,0
QUERÉTARO,453,988,768,537,188,16,16,13,16,0
QUERÉTARO,454,1278,989,683,245,25,25,20,25,0
QUERÉTARO,455,1256,955,560,296,33,33,28,33,0
QUERÉTARO,456,1075,784,599,122,32,32,14,32,0
QUERÉTARO,457,1144,903,608,220,32,32,20,32,0
QUERÉTARO,458,1327,1021,612,324,43,43,13,43,0
QUERÉTARO,459,827,665,433,161,26,26,14,26,0
QUERÉTARO,460,1121,894,627,190,33,33,20,33,0
QUERÉTARO,461,1134,839,555,213,36,36,11,36,0
QUERÉTARO,462,1004,705,414,218,35,35,8,35,0
QUERÉTARO,463,1313,1052,719,249,47,47,15,47,0
QUERÉTARO,464,1143,860,582,206,38,38,15,38,0
QUERÉTARO,465,1147,854,499,257,47,47,19,47,0
QUERÉTARO,466,1600,1206,828,246,59,59,37,59,0
QUERÉTARO,467,1070,778,466,242,28,28,16,28,0
QUERÉTARO,468,1266,482,318,121,17,17,12,17,0
QUERÉTARO,469,989,819,549,189,30,30,30,30,0
QUERÉTARO,470,1059,821,526,251,18,18,8,18,0
QUERÉTARO,471,1044,701,418,208,42,42,12,42,0
QUERÉTARO,472,1331,890,557,255,32,32,14,32,0
QUERÉTARO,473,996,700,441,196,30,30,9,30,0
QUERÉTARO,474,984,784,513,194,33,33,21,33,0
QUERÉTARO,475,3953,2970,1947,652,203,203,77,203,0
QUERÉTARO,476,1197,913,575,251,43,43,21,43,0
QUERÉTARO,477,1397,917,542,289,29,29,18,29,0
QUERÉTARO,478,1194,381,220,124,14,14,5,14,0
QUERÉTARO,479,1264,852,541,238,37,37,12,37,0
QUERÉTARO,480,1188,781,466,240,44,44,9,44,0
QUERÉTARO,481,2080,1654,1027,422,104,104,38,104,0
QUERÉTARO,482,1003,820,549,183,35,35,24,35,0
QUERÉTARO,483,690,562,386,119,23,23,10,23,0
QUERÉTARO,484,1079,878,622,185,35,35,16,35,0
QUERÉTARO,485,672,545,365,140,15,15,20,15,0
QUERÉTARO,486,1428,909,574,254,42,42,9,42,0
QUERÉTARO,487,1366,773,553,129,43,43,15,43,0
QUERÉTARO,488,1874,1271,661,463,66,66,7,66,0
QUERÉTARO,489,1269,829,476,255,32,32,24,32,0
QUERÉTARO,490,1134,827,524,227,40,40,16,40,0
QUERÉTARO,491,2711,2153,1554,425,91,91,43,91,0
QUERÉTARO,492,1537,1091,639,294,95,95,34,95,0
QUERÉTARO,493,1384,966,551,316,50,50,15,50,0
QUERÉTARO,494,1404,898,529,269,47,47,18,47,0
QUERÉTARO,495,2645,1683,984,480,128,128,34,128,0
QUERÉTARO,496,1519,944,542,294,42,42,23,42,0
QUERÉTARO,497,1397,915,546,254,39,39,17,39,0
QUERÉTARO,498,1388,916,477,310,26,26,14,26,0
QUERÉTARO,499,1203,780,493,209,30,30,22,30,0
QUERÉTARO,500,1320,912,487,345,42,42,10,42,0
QUERÉTARO,501,1145,737,460,208,26,26,13,26,0
QUERÉTARO,502,1314,874,535,267,28,28,14,28,0
QUERÉTARO,503,1203,745,434,212,31,31,28,31,0
QUERÉTARO,504,1228,801,467,251,30,30,10,30,0
QUERÉTARO,505,1350,923,507,296,48,48,9,48,0
QUERÉTARO,506,989,739,381,251,38,38,8,38,0
QUERÉTARO,507,986,732,415,225,54,54,12,54,0
QUERÉTARO,508,1360,898,520,275,22,22,23,22,0
QUERÉTARO,509,1198,828,468,279,53,53,12,53,0
QUERÉTARO,510,1707,1156,683,299,59,59,18,59,0
QUERÉTARO,511,1279,780,386,300,43,43,7,43,0
QUERÉTARO,512,1188,777,450,235,48,48,11,48,0
QUERÉTARO,513,3118,1581,866,416,189,189,37,189,0
QUERÉTARO,514,1341,889,454,321,60,60,16,60,0
QUERÉTARO,515,1102,758,427,228,57,57,12,57,0
QUERÉTARO,516,871,555,45,457,15,15,5,15,0
QUERÉTARO,517,1434,1077,484,482,48,48,15,48,0
QUERÉTARO,518,1709,1215,560,526,55,55,18,55,0
QUERÉTARO,519,1377,796,63,678,26,26,6,26,0
QUERÉTARO,520,731,515,223,252,12,12,8,12,0
QUERÉTARO,521,615,450,79,342,6,6,2,6,0
QUERÉTARO,522,2044,1214,468,575,51,51,19,51,0
QUERÉTARO,523,809,586,136,388,25,25,7,25,0
QUERÉTARO,524,1147,1748,578,918,104,104,28,104,0
QUERÉTARO,525,1034,358,96,241,9,9,1,9,0
QUERÉTARO,526,976,696,230,392,36,36,12,36,0
QUERÉTARO,527,2462,1476,359,919,67,67,17,67,0
QUERÉTARO,528,874,611,286,249,30,30,6,30,0
QUERÉTARO,529,1888,1306,395,748,82,82,29,82,0
QUERÉTARO,530,733,417,55,326,10,10,6,10,0
QUERÉTARO,531,854,635,273,291,41,41,10,41,0
QUERÉTARO,532,1208,809,319,406,41,41,18,41,0
QUERÉTARO,533,841,557,218,252,58,58,8,58,0
QUERÉTARO,534,1343,959,358,477,63,63,18,63,0
QUERÉTARO,535,844,562,202,292,32,32,8,32,0
QUERÉTARO,536,1314,817,217,495,45,45,20,45,0
QUERÉTARO,537,1347,797,218,487,36,36,13,36,0
QUERÉTARO,538,928,633,228,322,44,44,12,44,0
QUERÉTARO,539,1717,1042,219,712,54,54,8,54,0
QUERÉTARO,540,1205,743,148,530,21,21,3,21,0
QUERÉTARO,541,1143,881,613,193,47,47,9,47,0
QUERÉTARO,542,1322,937,380,415,83,83,15,83,0
QUERÉTARO,543,783,477,79,365,10,10,5,10,0
QUERÉTARO,544,1027,832,174,628,16,16,5,16,0
QUERÉTARO,545,873,530,149,342,17,17,5,17,0
QUERÉTARO,546,1489,948,480,396,15,15,25,15,0
QUERÉTARO,547,1409,945,484,392,20,20,22,20,0
QUERÉTARO,548,1127,708,427,200,36,36,11,36,0
QUERÉTARO,549,1875,880,361,424,46,46,11,46,0
QUERÉTARO,550,1010,671,179,454,7,7,4,7,0
QUERÉTARO,551,2040,1428,918,335,110,110,21,110,0
QUERÉTARO,552,2230,1263,516,620,52,52,16,52,0
QUERÉTARO,553,1989,1168,492,574,39,39,18,39,0
QUERÉTARO,554,1312,886,393,388,41,41,5,41,0
QUERÉTARO,555,615,392,174,169,29,29,7,29,0
SAN JOAQUÍN,556,848,566,176,350,7,3,0,0,0
SAN JOAQUÍN,557,1059,652,205,403,9,1,0,0,0
SAN JOAQUÍN,558,644,399,59,315,3,3,0,0,0
SAN JOAQUÍN,559,382,228,34,182,1,0,0,0,0
SAN JOAQUÍN,560,652,441,58,366,8,0,0,0,0
SAN JOAQUÍN,561,236,162,43,110,5,0,0,0,0
SAN JOAQUÍN,562,216,152,20,127,0,0,0,0,0
SAN JUAN DEL RÍO,563,1285,843,478,242,80,80,4,80,80
SAN JUAN DEL RÍO,564,1505,977,569,249,71,71,4,71,71
SAN JUAN DEL RÍO,565,915,606,356,134,91,91,6,91,91
SAN JUAN DEL RÍO,566,5322,3914,2357,939,229,229,50,229,229
SAN JUAN DEL RÍO,567,1633,1270,595,317,79,79,17,79,79
SAN JUAN DEL RÍO,568,1397,958,659,204,56,56,10,56,56
SAN JUAN DEL RÍO,569,923,649,410,146,34,34,11,34,34
SAN JUAN DEL RÍO,570,1214,797,542,176,44,44,8,44,44
SAN JUAN DEL RÍO,571,1369,1003,617,262,50,50,41,50,50
SAN JUAN DEL RÍO,572,1055,796,457,237,43,43,18,43,43
SAN JUAN DEL RÍO,573,845,652,448,151,19,19,9,19,19
SAN JUAN DEL RÍO,574,1252,814,531,191,55,55,8,55,55
SAN JUAN DEL RÍO,575,903,594,380,134,45,45,7,45,45
SAN JUAN DEL RÍO,576,1266,814,518,204,34,34,14,34,34
SAN JUAN DEL RÍO,577,1259,886,560,224,49,49,5,49,49
SAN JUAN DEL RÍO,578,860,633,366,193,35,35,7,35,35
SAN JUAN DEL RÍO,579,1188,895,595,213,24,24,9,24,24
SAN JUAN DEL RÍO,580,1081,782,491,194,37,37,17,37,37
SAN JUAN DEL RÍO,581,878,607,362,172,30,30,10,30,30
SAN JUAN DEL RÍO,582,930,634,400,173,24,24,10,24,24
SAN JUAN DEL RÍO,583,1033,709,443,172,62,62,8,62,62
SAN JUAN DEL RÍO,584,1987,1382,818,397,94,94,18,94,94
SAN JUAN DEL RÍO,585,1777,1398,730,314,97,97,11,97,97
SAN JUAN DEL RÍO,586,2224,1522,895,430,106,106,28,106,106
SAN JUAN DEL RÍO,587,1142,700,410,194,52,52,12,52,52
SAN JUAN DEL RÍO,588,813,568,315,182,15,15,7,15,15
SAN JUAN DEL RÍO,589,1114,759,458,219,46,46,6,46,46
SAN JUAN DEL RÍO,590,1539,1012,614,271,60,60,17,60,60
SAN JUAN DEL RÍO,591,1236,896,595,195,42,42,8,42,42
SAN JUAN DEL RÍO,592,1052,702,438,187,40,40,8,40,40
SAN JUAN DEL RÍO,593,1112,916,399,182,59,59,6,59,59
SAN JUAN DEL RÍO,594,1216,778,464,185,30,30,4,30,30
SAN JUAN DEL RÍO,595,2197,1451,861,424,96,96,13,96,96
SAN JUAN DEL RÍO,596,734,504,316,130,28,28,4,28,28
SAN JUAN DEL RÍO,597,713,479,283,138,27,27,9,27,27
SAN JUAN DEL RÍO,598,886,602,354,171,42,42,10,42,42
SAN JUAN DEL RÍO,599,1292,813,457,248,66,66,12,66,66
SAN JUAN DEL RÍO,600,1682,1144,706,323,54,54,11,54,54
SAN JUAN DEL RÍO,601,814,538,309,152,37,37,9,37,37
SAN JUAN DEL RÍO,602,1174,789,517,166,53,53,8,53,53
SAN JUAN DEL RÍO,603,1094,724,451,193,47,47,12,47,47
SAN JUAN DEL RÍO,604,1044,716,420,219,33,33,9,33,33
SAN JUAN DEL RÍO,605,1340,913,551,261,52,52,17,52,52
SAN JUAN DEL RÍO,606,898,685,365,168,38,38,3,38,38
SAN JUAN DEL RÍO,607,1141,760,392,294,42,42,6,42,42
SAN JUAN DEL RÍO,608,1350,862,445,362,20,20,11,20,20
SAN JUAN DEL RÍO,609,1509,965,517,360,37,37,6,37,37
SAN JUAN DEL RÍO,610,826,523,201,282,22,22,1,22,22
SAN JUAN DEL RÍO,611,1440,867,344,436,17,17,5,17,17
SAN JUAN DEL RÍO,612,1529,958,420,434,58,58,11,58,58
SAN JUAN DEL RÍO,613,1865,1058,438,506,60,60,19,60,60
SAN JUAN DEL RÍO,614,1549,988,450,349,132,132,10,132,132
SAN JUAN DEL RÍO,615,1605,881,184,626,25,25,9,25,25
SAN JUAN DEL RÍO,616,1384,974,544,343,30,30,14,30,30
SAN JUAN DEL RÍO,617,1805,1211,638,491,25,25,10,25,25
SAN JUAN DEL RÍO,618,1454,980,446,429,37,37,16,37,37
SAN JUAN DEL RÍO,619,1770,1207,589,507,49,49,19,49,49
SAN JUAN DEL RÍO,620,1477,905,315,508,19,19,8,19,19
SAN JUAN DEL RÍO,621,677,421,73,305,19,19,3,19,19
SAN JUAN DEL RÍO,622,1394,871,377,383,36,36,9,36,36
SAN JUAN DEL RÍO,623,1609,1123,675,346,34,34,17,34,34
SAN JUAN DEL RÍO,624,1568,1058,546,362,84,84,6,84,84
SAN JUAN DEL RÍO,625,992,611,206,341,20,20,6,20,20
SAN JUAN DEL RÍO,626,972,649,293,287,15,15,12,15,15
SAN JUAN DEL RÍO,627,1133,791,439,290,22,22,9,22,22
SAN JUAN DEL RÍO,628,632,383,141,220,7,7,2,7,7
SAN JUAN DEL RÍO,629,1165,693,216,380,35,35,7,35,35
SAN JUAN DEL RÍO,630,1067,643,183,369,29,29,14,29,29
SAN JUAN DEL RÍO,631,840,561,172,338,18,18,5,18,18
SAN JUAN DEL RÍO,632,1459,984,374,483,65,65,6,65,65
SAN JUAN DEL RÍO,633,1150,900,316,467,49,49,16,49,49
SAN JUAN DEL RÍO,634,1341,978,312,559,36,36,15,36,36
SAN JUAN DEL RÍO,635,1177,858,190,592,32,32,6,32,32
SAN JUAN DEL RÍO,636,835,543,170,289,23,23,10,23,23
SAN JUAN DEL RÍO,637,1064,775,355,350,21,21,7,21,21
SAN JUAN DEL RÍO,638,1050,711,253,377,48,48,11,48,48
SAN JUAN DEL RÍO,639,1541,969,251,639,11,11,10,11,11
SAN JUAN DEL RÍO,640,1728,1187,637,441,39,39,14,39,39
SAN JUAN DEL RÍO,641,1179,851,255,544,20,20,7,20,20
SAN JUAN DEL RÍO,642,1463,916,506,322,25,25,2,25,25
SAN JUAN DEL RÍO,643,767,522,129,341,11,11,4,11,11
TEQUISQUIAPAN,644,259,208,109,38,39,0,22,0,0
TEQUISQUIAPAN,645,767,563,232,143,172,0,11,0,0
TEQUISQUIAPAN,646,1158,885,336,215,293,0,9,0,0
TEQUISQUIAPAN,647,1279,897,286,423,150,0,16,0,0
TEQUISQUIAPAN,648,988,731,173,224,306,0,8,0,0
TEQUISQUIAPAN,649,887,678,195,168,295,0,10,0,0
TEQUISQUIAPAN,650,1159,839,233,264,303,0,15,0,0
TEQUISQUIAPAN,651,839,647,206,168,243,0,10,0,0
TEQUISQUIAPAN,652,427,300,124,84,81,0,9,0,0
TEQUISQUIAPAN,653,923,641,217,256,151,0,7,0,0
TEQUISQUIAPAN,654,963,691,240,208,210,0,18,0,0
TEQUISQUIAPAN,655,810,596,174,157,231,0,16,0,0
TEQUISQUIAPAN,656,1593,1129,340,346,404,0,28,0,0
TEQUISQUIAPAN,657,953,676,268,214,160,0,12,0,0
TEQUISQUIAPAN,658,1131,789,234,240,251,0,11,0,0
TEQUISQUIAPAN,659,1220,874,254,281,298,0,15,0,0
TEQUISQUIAPAN,660,1285,952,299,505,122,0,9,0,0
TEQUISQUIAPAN,661,911,653,262,283,75,0,16,0,0
TEQUISQUIAPAN,662,728,513,188,222,68,0,16,0,0
TEQUISQUIAPAN,663,631,446,179,203,42,0,5,0,0
TEQUISQUIAPAN,664,236,153,72,22,19,0,39,0,0
TEQUISQUIAPAN,665,1006,699,264,226,164,0,32,0,0
TEQUISQUIAPAN,666,1296,1049,584,287,148,0,7,0,0
TEQUISQUIAPAN,667,1342,999,274,452,204,0,5,0,0
TEQUISQUIAPAN,668,1440,979,236,509,203,0,14,0,0
TEQUISQUIAPAN,669,852,622,235,253,119,0,4,0,0
TEQUISQUIAPAN,670,899,683,299,226,138,0,9,0,0
TEQUISQUIAPAN,671,974,608,215,246,130,0,7,0,0
TEQUISQUIAPAN,672,1176,819,168,259,370,0,11,0,0
TEQUISQUIAPAN,673,1276,944,261,314,333,0,11,0,0
TOLIMÁN,674,1451,692,202,221,255,0,0,0,0
TOLIMÁN,675,812,573,100,284,171,0,0,0,0
TOLIMÁN,676,241,167,20,80,64,0,0,0,0
TOLIMÁN,677,859,576,135,289,131,0,0,0,0
TOLIMÁN,678,555,465,96,215,105,0,0,0,0
TOLIMÁN,679,1275,859,230,400,192,0,0,0,0
TOLIMÁN,680,543,378,132,133,94,0,0,0,0
TOLIMÁN,681,746,456,180,200,61,0,0,0,0
TOLIMÁN,682,1330,903,199,412,277,0,0,0,0
TOLIMÁN,683,1054,702,242,232,213,0,0,0,0
TOLIMÁN,684,1789,994,152,470,333,0,0,0,0
TOLIMÁN,685,63,56,6,41,9,0,0,0,0
TOLIMÁN,686,496,354,74,201,70,0,0,0,0
TOLIMÁN,687,956,722,133,471,100,0,0,0,0
