SECCION,NOMBRE,DISTRITO,LISTANOMINAL,PAN,PRI,PRD,Convergencia,NA,PSD,PT,PVEM,NULOS,VALIDOS,TOTAL
520,QUERÉTARO,2,1064,395,200,13,10,,3,2,18,30,641,671
521,QUERÉTARO,2,807,224,194,10,4,,0,2,12,11,446,457
522,QUERÉTARO,2,2748,704,568,31,18,,3,6,40,45,1370,1415
527,QUERÉTARO,2,3590,797,581,27,17,,4,21,47,91,1494,1585
530,QUERÉTARO,2,1051,263,154,7,1,,2,7,15,41,449,490
540,QUERÉTARO,2,1718,322,575,16,4,,2,2,19,45,940,985
543,QUERÉTARO,2,1155,285,245,14,2,,1,4,20,40,571,611
544,QUERÉTARO,2,1569,304,736,10,11,,7,12,16,18,1096,1114
545,QUERÉTARO,2,1202,232,321,13,4,,0,7,9,32,586,618
546,QUERÉTARO,2,2061,520,557,16,13,,2,20,44,41,1172,1213
547,QUERÉTARO,2,1836,370,575,12,7,,5,14,42,27,1025,1052
548,QUERÉTARO,2,1635,475,329,9,16,,8,15,33,39,885,924
551,QUERÉTARO,2,11635,2370,2265,185,144,,44,109,294,180,5411,5591
552,QUERÉTARO,2,4250,754,1132,119,75,,18,30,74,86,2202,2288
553,QUERÉTARO,2,3028,476,835,62,36,,3,12,33,42,1457,1499
734,QUERÉTARO,2,601,191,112,5,13,,3,5,11,8,340,348
735,QUERÉTARO,2,615,175,153,4,6,,3,6,24,4,371,375
736,QUERÉTARO,2,777,183,196,6,11,,7,4,19,10,426,436
737,QUERÉTARO,2,687,138,158,7,4,,1,6,13,6,327,333
738,QUERÉTARO,2,683,161,150,7,9,,2,6,20,7,355,362
739,QUERÉTARO,2,924,166,189,11,15,,2,7,32,4,422,426
740,QUERÉTARO,2,911,196,202,10,8,,1,6,23,10,446,456
741,QUERÉTARO,2,878,180,199,15,14,,4,11,28,12,451,463
742,QUERÉTARO,2,920,220,207,6,17,,3,9,29,12,491,503
743,QUERÉTARO,2,832,199,167,12,7,,3,13,36,17,437,454
744,QUERÉTARO,2,824,187,176,4,14,,6,8,27,16,422,438
745,QUERÉTARO,2,196,40,33,4,2,,0,5,12,6,96,102
746,QUERÉTARO,2,266,52,71,6,7,,0,2,13,2,151,153
747,QUERÉTARO,2,800,188,193,10,12,,7,13,22,5,445,450
748,QUERÉTARO,2,317,69,80,7,3,,1,2,8,9,170,179
749,QUERÉTARO,2,421,80,99,2,7,,2,5,9,1,204,205
750,QUERÉTARO,2,720,163,140,8,10,,3,8,23,10,355,365
751,QUERÉTARO,2,602,165,107,8,20,,4,4,22,14,330,344
752,QUERÉTARO,2,833,216,146,14,13,,1,12,35,23,437,460
753,QUERÉTARO,2,491,146,86,10,5,,6,8,8,0,269,269
754,QUERÉTARO,2,512,148,76,2,11,,2,5,15,12,259,271
755,QUERÉTARO,2,904,237,188,9,10,,7,4,29,13,484,497
756,QUERÉTARO,2,859,215,193,10,13,,2,14,27,15,474,489
757,QUERÉTARO,2,378,64,87,10,1,,0,2,10,6,174,180
758,QUERÉTARO,2,543,125,86,9,4,,2,7,11,6,244,250
759,QUERÉTARO,2,260,59,63,6,1,,1,4,7,6,141,147
266,QUERÉTARO,3,2840,545,706,27,73,,4,16,50,51,1421,1472
267,QUERÉTARO,3,1852,541,341,11,27,,2,9,35,59,966,1025
268,QUERÉTARO,3,2132,931,204,18,20,,14,19,38,90,1244,1334
269,QUERÉTARO,3,1968,842,194,14,25,,6,20,38,87,1139,1226
270,QUERÉTARO,3,4410,716,1058,85,60,,14,48,78,75,2059,2134
272,QUERÉTARO,3,2346,419,595,41,32,,3,26,44,38,1160,1198
273,QUERÉTARO,3,7859,1694,1659,113,120,,21,89,168,142,3864,4006
274,QUERÉTARO,3,1895,384,490,26,39,,8,24,36,29,1007,1036
279,QUERÉTARO,3,979,230,268,17,24,,5,15,25,17,584,601
280,QUERÉTARO,3,1403,355,369,23,34,,7,19,29,38,836,874
281,QUERÉTARO,3,1676,393,463,20,44,,8,21,39,39,988,1027
282,QUERÉTARO,3,5670,1427,1189,82,78,,21,64,160,82,3021,3103
283,QUERÉTARO,3,1221,302,392,12,35,,3,12,22,28,778,806
284,QUERÉTARO,3,1121,329,289,11,24,,6,20,31,18,710,728
289,QUERÉTARO,3,1017,265,239,8,13,,3,21,25,17,574,591
290,QUERÉTARO,3,1023,236,275,17,23,,4,8,30,19,593,612
291,QUERÉTARO,3,1625,379,455,30,42,,14,25,50,26,995,1021
292,QUERÉTARO,3,1328,310,388,18,36,,3,18,20,23,793,816
294,QUERÉTARO,3,1061,279,236,17,18,,2,12,30,8,594,602
297,QUERÉTARO,3,1618,433,407,17,60,,11,14,35,26,977,1003
298,QUERÉTARO,3,1244,274,320,13,19,,4,3,25,33,658,691
299,QUERÉTARO,3,1318,396,277,20,25,,5,16,40,23,779,802
300,QUERÉTARO,3,2966,644,661,31,36,,16,27,103,29,1518,1547
301,QUERÉTARO,3,1275,357,332,16,22,,4,11,30,21,772,793
302,QUERÉTARO,3,1503,417,411,18,48,,7,15,48,23,964,987
307,QUERÉTARO,3,996,272,242,12,17,,1,13,25,16,582,598
308,QUERÉTARO,3,3862,1005,851,62,73,,20,47,87,75,2145,2220
309,QUERÉTARO,3,1087,290,261,12,24,,3,13,39,23,642,665
310,QUERÉTARO,3,1217,359,270,24,31,,5,13,35,17,737,754
311,QUERÉTARO,3,956,259,222,9,17,,4,10,26,12,547,559
312,QUERÉTARO,3,1189,282,347,13,15,,3,9,27,14,696,710
314,QUERÉTARO,3,1158,267,302,16,22,,8,7,38,26,660,686
516,QUERÉTARO,3,1378,144,399,9,5,,0,4,16,46,577,623
518,QUERÉTARO,3,2430,598,682,21,21,,2,17,24,43,1365,1408
519,QUERÉTARO,3,1951,149,689,27,11,,3,16,17,57,912,969
523,QUERÉTARO,3,1124,231,240,47,11,,2,9,28,46,568,614
524,QUERÉTARO,3,1596,548,367,16,5,,2,7,24,50,969,1019
525,QUERÉTARO,3,1509,419,443,32,15,,4,13,37,44,963,1007
526,QUERÉTARO,3,1466,361,403,12,18,,2,11,41,27,848,875
528,QUERÉTARO,3,1189,490,163,4,7,,1,7,21,19,693,712
529,QUERÉTARO,3,2539,659,748,21,24,,4,30,68,49,1554,1603
531,QUERÉTARO,3,1439,323,285,16,8,,6,12,26,23,676,699
532,QUERÉTARO,3,1552,373,362,17,21,,6,13,35,27,827,854
533,QUERÉTARO,3,1303,258,286,9,13,,8,13,31,23,618,641
534,QUERÉTARO,3,1677,362,386,15,17,,11,14,42,32,847,879
535,QUERÉTARO,3,977,227,258,11,7,,4,4,16,21,527,548
536,QUERÉTARO,3,2086,461,508,25,12,,3,12,34,49,1055,1104
537,QUERÉTARO,3,1692,270,415,13,14,,1,8,28,26,749,775
538,QUERÉTARO,3,1273,253,278,14,17,,2,13,18,30,595,625
539,QUERÉTARO,3,2703,506,671,25,13,,5,19,15,90,1254,1344
541,QUERÉTARO,3,4551,1963,417,30,26,,26,49,99,182,2610,2792
542,QUERÉTARO,3,1444,391,292,7,10,,5,22,43,26,770,796
549,QUERÉTARO,3,3018,661,774,51,40,,7,15,55,32,1603,1635
696,QUERÉTARO,3,513,116,155,11,5,,1,5,14,14,307,321
275,QUERÉTARO,4,1724,278,465,20,74,,4,17,36,40,894,934
276,QUERÉTARO,4,6153,1090,1699,50,157,,22,64,75,101,3157,3258
277,QUERÉTARO,4,4483,979,992,70,145,,15,77,121,411,2399,2810
278,QUERÉTARO,4,7050,1490,1514,89,181,,46,112,126,139,3558,3697
285,QUERÉTARO,4,1577,234,384,12,77,,2,24,18,29,751,780
286,QUERÉTARO,4,1938,269,535,22,61,,2,22,29,27,940,967
287,QUERÉTARO,4,1601,277,349,27,55,,6,26,25,24,765,789
288,QUERÉTARO,4,2603,554,662,40,108,,11,41,52,44,1468,1512
295,QUERÉTARO,4,2575,364,754,27,58,,3,20,49,33,1275,1308
296,QUERÉTARO,4,1382,297,350,20,26,,4,14,19,27,730,757
303,QUERÉTARO,4,3864,838,847,65,112,,10,63,80,58,2015,2073
304,QUERÉTARO,4,2286,404,627,24,54,,4,35,46,53,1194,1247
305,QUERÉTARO,4,3393,812,762,44,68,,25,33,67,54,1811,1865
306,QUERÉTARO,4,1027,330,224,11,24,,7,12,27,21,635,656
313,QUERÉTARO,4,2000,817,275,20,35,,7,27,41,54,1222,1276
318,QUERÉTARO,4,4090,968,935,54,90,,29,64,119,74,2259,2333
319,QUERÉTARO,4,4041,1018,942,65,81,,21,78,103,87,2308,2395
320,QUERÉTARO,4,2226,508,498,32,58,,17,33,46,44,1192,1236
324,QUERÉTARO,4,1013,281,245,16,22,,3,14,24,12,605,617
325,QUERÉTARO,4,1043,273,290,3,38,,2,6,25,19,637,656
326,QUERÉTARO,4,1880,312,476,23,75,,5,13,29,41,933,974
327,QUERÉTARO,4,2342,554,407,27,62,,10,31,59,48,1150,1198
328,QUERÉTARO,4,2657,669,555,45,65,,5,28,64,80,1431,1511
332,QUERÉTARO,4,1642,311,412,19,48,,6,12,28,32,836,868
334,QUERÉTARO,4,1515,584,208,13,36,,7,27,33,49,908,957
335,QUERÉTARO,4,1283,251,311,6,26,,4,19,21,26,638,664
336,QUERÉTARO,4,1656,336,398,14,34,,4,19,36,48,841,889
337,QUERÉTARO,4,1319,414,200,14,30,,10,20,28,19,716,735
339,QUERÉTARO,4,915,263,202,12,19,,2,15,25,20,538,558
352,QUERÉTARO,4,1204,324,247,5,27,,3,15,25,33,646,679
353,QUERÉTARO,4,3162,1205,414,26,84,,14,49,80,83,1872,1955
550,QUERÉTARO,4,839,163,236,13,39,,1,10,13,15,475,490
697,QUERÉTARO,4,932,183,214,13,27,,2,7,20,18,466,484
698,QUERÉTARO,4,748,157,192,12,29,,4,14,18,0,426,426
699,QUERÉTARO,4,1031,161,207,51,57,,8,24,12,25,520,545
700,QUERÉTARO,4,726,198,138,11,50,,4,3,21,18,425,443
701,QUERÉTARO,4,954,139,287,14,62,,7,11,14,20,534,554
702,QUERÉTARO,4,353,107,57,4,26,,3,7,17,8,221,229
703,QUERÉTARO,4,763,200,157,6,64,,6,4,18,3,455,458
704,QUERÉTARO,4,806,204,187,11,34,,1,10,20,14,467,481
705,QUERÉTARO,4,913,166,280,11,25,,7,24,26,9,539,548
706,QUERÉTARO,4,898,153,273,13,57,,1,5,18,19,520,539
707,QUERÉTARO,4,914,134,270,8,32,,0,8,14,12,466,478
708,QUERÉTARO,4,835,125,248,12,15,,0,2,13,17,415,432
709,QUERÉTARO,4,846,136,288,6,19,,2,2,16,10,469,479
710,QUERÉTARO,4,964,143,297,10,36,,5,2,13,24,506,530
711,QUERÉTARO,4,913,190,221,13,28,,4,14,20,20,490,510
712,QUERÉTARO,4,949,212,198,10,29,,14,11,19,13,493,506
713,QUERÉTARO,4,424,117,62,8,7,,3,4,19,11,220,231
714,QUERÉTARO,4,801,207,175,6,25,,3,13,35,14,464,478
715,QUERÉTARO,4,539,169,118,9,10,,3,11,13,7,333,340
716,QUERÉTARO,4,862,251,174,10,17,,3,10,11,10,476,486
717,QUERÉTARO,4,850,200,182,18,30,,5,9,12,13,456,469
718,QUERÉTARO,4,919,129,296,13,30,,7,14,14,16,503,519
719,QUERÉTARO,4,883,220,186,8,20,,12,21,19,17,486,503
720,QUERÉTARO,4,459,115,78,11,18,,2,12,14,7,250,257
721,QUERÉTARO,4,347,66,66,6,11,,3,10,8,9,170,179
722,QUERÉTARO,4,479,137,72,12,13,,0,10,24,11,268,279
723,QUERÉTARO,4,752,196,187,7,17,,4,11,26,14,448,462
724,QUERÉTARO,4,548,108,125,8,36,,4,11,5,7,297,304
725,QUERÉTARO,4,286,35,63,5,18,,0,27,4,9,152,161
726,QUERÉTARO,4,619,67,197,5,35,,2,20,14,22,340,362
727,QUERÉTARO,4,470,114,122,2,21,,1,10,5,14,275,289
728,QUERÉTARO,4,782,166,192,12,38,,6,14,14,17,442,459
729,QUERÉTARO,4,790,170,174,20,34,,4,16,20,15,438,453
730,QUERÉTARO,4,320,89,83,3,12,,2,3,10,6,202,208
731,QUERÉTARO,4,465,145,99,4,20,,4,5,17,4,294,298
732,QUERÉTARO,4,849,195,178,44,35,,4,7,21,16,484,500
733,QUERÉTARO,4,672,128,165,13,44,,2,9,12,16,373,389
372,QUERÉTARO,5,1724,470,467,22,26,,10,34,62,39,1091,1130
373,QUERÉTARO,5,1646,333,543,26,21,,3,16,43,37,985,1022
374,QUERÉTARO,5,1117,431,185,11,28,,3,19,28,36,705,741
386,QUERÉTARO,5,1419,304,451,16,18,,1,19,50,28,859,887
387,QUERÉTARO,5,1159,307,320,8,16,,2,24,59,20,736,756
388,QUERÉTARO,5,1261,339,310,14,21,,8,17,60,27,769,796
389,QUERÉTARO,5,1299,448,194,16,31,,8,13,52,57,762,819
403,QUERÉTARO,5,1247,478,198,11,39,,4,15,47,55,792,847
404,QUERÉTARO,5,3810,1571,497,48,74,,16,41,105,156,2352,2508
405,QUERÉTARO,5,1008,410,153,10,18,,2,13,30,53,636,689
406,QUERÉTARO,5,766,209,206,14,11,,2,9,22,13,473,486
407,QUERÉTARO,5,1374,428,267,13,33,,6,24,24,26,795,821
408,QUERÉTARO,5,1264,323,290,21,15,,4,25,33,32,711,743
409,QUERÉTARO,5,500,124,120,7,11,,4,6,9,16,281,297
420,QUERÉTARO,5,1245,485,237,9,37,,2,10,28,53,808,861
421,QUERÉTARO,5,1234,319,328,13,20,,2,10,25,25,717,742
422,QUERÉTARO,5,984,239,260,10,19,,5,20,18,18,571,589
423,QUERÉTARO,5,774,215,208,7,41,,9,9,10,12,499,511
424,QUERÉTARO,5,893,255,193,3,20,,8,20,24,31,523,554
425,QUERÉTARO,5,1050,348,189,2,28,,5,18,32,28,622,650
429,QUERÉTARO,5,847,288,165,8,19,,1,8,15,24,504,528
430,QUERÉTARO,5,1203,348,267,15,32,,5,31,28,38,726,764
431,QUERÉTARO,5,817,211,179,9,15,,4,23,19,13,460,473
432,QUERÉTARO,5,789,238,182,10,15,,2,11,20,10,478,488
433,QUERÉTARO,5,783,197,197,6,12,,2,8,19,9,441,450
434,QUERÉTARO,5,1078,304,253,13,15,,3,18,29,15,635,650
435,QUERÉTARO,5,3299,1069,691,42,59,,20,45,94,101,2020,2121
436,QUERÉTARO,5,834,274,159,17,16,,2,19,13,34,500,534
437,QUERÉTARO,5,1231,325,255,9,43,,5,27,40,32,704,736
438,QUERÉTARO,5,928,238,142,5,31,,4,15,20,16,455,471
439,QUERÉTARO,5,1150,389,209,16,30,,4,17,28,29,693,722
440,QUERÉTARO,5,1417,605,202,19,34,,8,19,27,39,914,953
442,QUERÉTARO,5,1428,511,242,21,29,,11,32,34,36,880,916
443,QUERÉTARO,5,1234,410,306,19,37,,8,13,43,17,836,853
444,QUERÉTARO,5,1504,500,387,17,32,,6,18,48,32,1008,1040
445,QUERÉTARO,5,1618,620,323,17,54,,9,27,37,43,1087,1130
446,QUERÉTARO,5,1311,478,192,14,40,,16,18,34,36,792,828
447,QUERÉTARO,5,817,230,196,16,20,,6,35,18,18,521,539
448,QUERÉTARO,5,1352,428,275,18,38,,12,30,35,47,836,883
449,QUERÉTARO,5,1020,374,194,12,24,,1,13,38,27,656,683
450,QUERÉTARO,5,1206,492,203,11,18,,3,34,33,49,794,843
451,QUERÉTARO,5,861,303,171,5,18,,5,14,27,41,543,584
452,QUERÉTARO,5,1218,378,277,13,13,,5,12,37,28,735,763
453,QUERÉTARO,5,977,386,137,8,30,,10,15,28,23,614,637
454,QUERÉTARO,5,1242,511,198,11,34,,6,7,50,36,817,853
455,QUERÉTARO,5,1445,411,385,21,26,,5,31,32,23,911,934
456,QUERÉTARO,5,1267,528,176,19,24,,9,12,33,51,801,852
457,QUERÉTARO,5,1301,489,269,8,23,,6,12,33,36,840,876
458,QUERÉTARO,5,1490,454,403,19,38,,7,20,45,24,986,1010
459,QUERÉTARO,5,949,362,159,8,29,,6,13,25,16,602,618
460,QUERÉTARO,5,1200,490,154,13,19,,21,16,37,51,750,801
461,QUERÉTARO,5,1156,309,275,13,21,,9,24,23,27,674,701
462,QUERÉTARO,5,995,269,267,9,16,,2,18,16,14,597,611
463,QUERÉTARO,5,1487,563,239,11,34,,6,23,38,32,914,946
464,QUERÉTARO,5,1156,420,243,16,30,,6,28,20,37,763,800
465,QUERÉTARO,5,1325,379,373,9,21,,6,18,23,25,829,854
468,QUERÉTARO,5,1381,528,183,22,35,,14,18,52,51,852,903
469,QUERÉTARO,5,1023,422,134,15,29,,5,21,24,42,650,692
481,QUERÉTARO,5,2172,691,496,28,44,,19,37,51,73,1366,1439
482,QUERÉTARO,5,1204,466,225,12,31,,8,27,33,40,802,842
483,QUERÉTARO,5,2538,1086,329,34,41,,11,45,71,98,1617,1715
484,QUERÉTARO,5,1132,454,178,18,22,,5,13,36,50,726,776
441,QUERÉTARO,6,921,318,167,9,27,,6,17,34,40,578,618
466,QUERÉTARO,6,1831,748,300,22,30,,5,22,47,30,1174,1204
467,QUERÉTARO,6,1109,323,283,14,26,,1,15,11,17,673,690
470,QUERÉTARO,6,1133,380,251,7,25,,4,22,37,33,726,759
471,QUERÉTARO,6,1042,223,273,14,8,,6,14,34,22,572,594
472,QUERÉTARO,6,1269,332,315,9,20,,9,14,37,28,736,764
473,QUERÉTARO,6,1086,296,278,16,16,,10,6,14,15,636,651
474,QUERÉTARO,6,1164,398,221,5,40,,7,18,38,34,727,761
475,QUERÉTARO,6,5268,1719,918,64,115,,30,126,127,145,3099,3244
476,QUERÉTARO,6,1223,395,269,8,21,,5,25,26,39,749,788
477,QUERÉTARO,6,1437,369,413,13,30,,3,9,24,11,861,872
478,QUERÉTARO,6,1161,260,270,14,11,,4,15,28,33,602,635
479,QUERÉTARO,6,1326,352,318,16,13,,8,12,14,30,733,763
480,QUERÉTARO,6,1424,325,316,27,20,,5,9,22,17,724,741
485,QUERÉTARO,6,774,328,114,7,13,,1,5,55,32,523,555
486,QUERÉTARO,6,1548,344,401,21,29,,10,15,32,34,852,886
487,QUERÉTARO,6,1450,327,380,16,21,,4,19,30,34,797,831
488,QUERÉTARO,6,1981,463,507,33,28,,20,12,40,56,1103,1159
489,QUERÉTARO,6,1222,262,295,16,14,,3,14,25,34,629,663
490,QUERÉTARO,6,1256,318,350,11,27,,7,19,28,23,760,783
491,QUERÉTARO,6,5315,2210,708,51,108,,22,81,138,184,3318,3502
492,QUERÉTARO,6,2168,524,534,34,50,,20,40,45,45,1247,1292
493,QUERÉTARO,6,1476,263,405,24,34,,5,25,12,24,768,792
494,QUERÉTARO,6,1519,284,386,26,39,,6,25,37,28,803,831
495,QUERÉTARO,6,3550,777,829,65,59,,10,50,75,59,1865,1924
496,QUERÉTARO,6,1649,320,390,24,27,,6,16,32,37,815,852
497,QUERÉTARO,6,1534,328,375,26,23,,4,12,29,22,797,819
498,QUERÉTARO,6,1447,311,364,16,32,,9,8,28,38,768,806
499,QUERÉTARO,6,1358,318,328,22,16,,9,13,23,23,729,752
500,QUERÉTARO,6,1665,308,450,33,40,,8,20,31,35,890,925
501,QUERÉTARO,6,1550,360,358,23,25,,8,14,36,30,824,854
502,QUERÉTARO,6,1339,422,235,8,20,,1,7,66,22,759,781
503,QUERÉTARO,6,1538,295,369,24,27,,5,24,34,35,778,813
504,QUERÉTARO,6,1598,304,407,14,29,,8,15,19,18,796,814
505,QUERÉTARO,6,1531,339,419,15,36,,9,18,23,35,859,894
506,QUERÉTARO,6,1269,339,339,14,23,,8,14,31,26,768,794
507,QUERÉTARO,6,1396,344,347,21,26,,12,42,19,30,811,841
508,QUERÉTARO,6,1828,420,438,31,41,,7,22,46,51,1005,1056
509,QUERÉTARO,6,1521,366,375,27,37,,16,15,28,22,864,886
510,QUERÉTARO,6,2103,475,470,32,34,,12,22,46,43,1091,1134
511,QUERÉTARO,6,1949,374,447,24,23,,10,18,48,39,944,983
512,QUERÉTARO,6,1620,369,397,19,18,,2,12,39,37,856,893
513,QUERÉTARO,6,3547,824,807,59,50,,13,46,103,50,1902,1952
514,QUERÉTARO,6,2663,553,738,32,48,,8,39,41,38,1459,1497
515,QUERÉTARO,6,2512,750,526,45,44,,15,47,75,49,1502,1551
554,QUERÉTARO,6,279,59,68,3,0,,0,2,2,5,134,139
691,QUERÉTARO,6,734,164,128,7,14,,2,6,16,8,337,345
692,QUERÉTARO,6,724,150,157,18,14,,6,6,7,14,358,372
693,QUERÉTARO,6,840,197,182,17,12,,7,15,30,16,460,476
556,SAN JOAQUÍN,15,1148,180,326,44,107,22,7,22,13,34,721,755
557,SAN JOAQUÍN,15,1608,333,397,36,160,25,9,51,31,34,1042,1076
558,SAN JOAQUÍN,15,939,220,224,42,61,3,3,3,7,41,563,604
559,SAN JOAQUÍN,15,438,51,126,6,14,1,5,3,2,2,208,210
560,SAN JOAQUÍN,15,851,170,193,31,65,10,5,20,7,16,501,517
561,SAN JOAQUÍN,15,275,54,62,5,24,1,4,15,2,4,167,171
562,SAN JOAQUÍN,15,271,31,69,5,53,5,0,11,3,7,177,184
566,SAN JUAN DEL RÍO,9,13070,2407,2787,245,128,,73,143,361,239,6144,6383
575,SAN JUAN DEL RÍO,9,1132,186,244,19,12,,3,7,19,16,490,506
583,SAN JUAN DEL RÍO,9,1599,265,364,49,17,,11,38,44,52,788,840
584,SAN JUAN DEL RÍO,9,3966,715,1031,86,53,,16,48,114,46,2063,2109
585,SAN JUAN DEL RÍO,9,3777,618,861,101,32,,16,38,87,79,1753,1832
586,SAN JUAN DEL RÍO,9,4652,783,1067,81,29,,29,50,118,86,2157,2243
587,SAN JUAN DEL RÍO,9,1255,160,287,31,9,,4,24,34,11,549,560
588,SAN JUAN DEL RÍO,9,910,162,247,20,5,,7,23,22,10,486,496
589,SAN JUAN DEL RÍO,9,1236,246,290,21,17,,4,17,27,27,622,649
590,SAN JUAN DEL RÍO,9,1522,284,425,39,11,,9,17,37,48,822,870
592,SAN JUAN DEL RÍO,9,1099,203,263,18,9,,11,16,27,37,547,584
593,SAN JUAN DEL RÍO,9,1166,208,266,19,21,,7,25,21,36,567,603
594,SAN JUAN DEL RÍO,9,1242,220,279,27,10,,5,13,27,26,581,607
595,SAN JUAN DEL RÍO,9,3897,635,924,73,53,,25,53,114,75,1877,1952
596,SAN JUAN DEL RÍO,9,931,185,232,22,12,,10,12,20,14,493,507
597,SAN JUAN DEL RÍO,9,901,148,242,16,15,,4,4,33,15,462,477
598,SAN JUAN DEL RÍO,9,1258,236,344,21,13,,6,13,40,21,673,694
599,SAN JUAN DEL RÍO,9,3839,644,796,91,37,,17,48,104,67,1737,1804
600,SAN JUAN DEL RÍO,9,2153,344,584,58,28,,7,26,66,30,1113,1143
601,SAN JUAN DEL RÍO,9,943,166,266,13,8,,4,4,32,23,493,516
602,SAN JUAN DEL RÍO,9,1155,246,274,43,6,,5,22,24,10,620,630
603,SAN JUAN DEL RÍO,9,1157,175,263,34,19,,2,10,21,24,524,548
604,SAN JUAN DEL RÍO,9,1061,212,269,23,10,,16,33,24,32,587,619
606,SAN JUAN DEL RÍO,9,1521,297,375,23,24,,8,13,39,30,779,809
607,SAN JUAN DEL RÍO,9,1879,341,524,28,27,,6,14,37,47,977,1024
615,SAN JUAN DEL RÍO,9,2243,202,526,27,6,,6,8,25,48,800,848
624,SAN JUAN DEL RÍO,9,2632,353,610,61,46,,10,44,73,60,1197,1257
627,SAN JUAN DEL RÍO,9,2152,362,618,35,22,,1,14,33,33,1085,1118
628,SAN JUAN DEL RÍO,9,743,111,195,2,2,,2,1,9,12,322,334
632,SAN JUAN DEL RÍO,9,2759,486,801,33,27,,8,32,66,58,1453,1511
633,SAN JUAN DEL RÍO,9,1477,172,483,41,11,,5,14,31,32,757,789
634,SAN JUAN DEL RÍO,9,1688,237,569,28,13,,4,16,33,40,900,940
635,SAN JUAN DEL RÍO,9,1622,216,617,10,8,,8,34,47,49,940,989
637,SAN JUAN DEL RÍO,9,1480,301,404,15,23,,5,23,29,26,800,826
638,SAN JUAN DEL RÍO,9,1427,213,486,12,10,,2,5,35,17,763,780
640,SAN JUAN DEL RÍO,9,2291,596,527,49,22,,5,26,46,31,1271,1302
641,SAN JUAN DEL RÍO,9,1671,354,581,17,12,,4,16,35,37,1019,1056
642,SAN JUAN DEL RÍO,9,2106,515,537,22,12,,7,13,35,40,1141,1181
643,SAN JUAN DEL RÍO,9,986,114,402,9,1,,0,9,15,34,550,584
563,SAN JUAN DEL RÍO,10,1627,360,395,23,15,,7,20,36,22,856,878
564,SAN JUAN DEL RÍO,10,2167,422,429,36,32,,8,23,60,52,1010,1062
565,SAN JUAN DEL RÍO,10,3918,634,795,83,35,,13,53,119,62,1732,1794
567,SAN JUAN DEL RÍO,10,1986,325,476,47,15,,12,24,34,40,933,973
568,SAN JUAN DEL RÍO,10,1881,421,416,19,18,,10,46,43,55,973,1028
569,SAN JUAN DEL RÍO,10,1132,276,276,15,5,,9,16,36,41,633,674
570,SAN JUAN DEL RÍO,10,1631,312,402,28,16,,7,33,68,51,866,917
571,SAN JUAN DEL RÍO,10,1812,384,452,41,21,,18,35,41,48,992,1040
572,SAN JUAN DEL RÍO,10,1199,248,343,7,14,,16,36,23,27,687,714
573,SAN JUAN DEL RÍO,10,1108,305,259,10,10,,5,24,29,45,642,687
574,SAN JUAN DEL RÍO,10,1786,311,379,25,19,,9,16,49,36,808,844
576,SAN JUAN DEL RÍO,10,1437,253,340,31,9,,19,18,41,41,711,752
577,SAN JUAN DEL RÍO,10,1220,269,304,19,19,,15,12,33,44,671,715
578,SAN JUAN DEL RÍO,10,917,149,305,13,4,,4,22,24,36,521,557
579,SAN JUAN DEL RÍO,10,1201,288,342,12,7,,21,22,32,37,724,761
580,SAN JUAN DEL RÍO,10,1274,285,311,13,8,,20,25,26,41,688,729
581,SAN JUAN DEL RÍO,10,865,150,250,12,5,,7,12,10,22,446,468
582,SAN JUAN DEL RÍO,10,997,197,254,8,18,,13,17,11,21,518,539
591,SAN JUAN DEL RÍO,10,1385,313,348,26,14,,8,21,31,48,761,809
605,SAN JUAN DEL RÍO,10,2069,366,599,31,15,,5,23,58,50,1097,1147
608,SAN JUAN DEL RÍO,10,1949,573,527,17,15,,7,11,31,37,1181,1218
609,SAN JUAN DEL RÍO,10,1776,477,459,16,8,,3,11,41,24,1015,1039
610,SAN JUAN DEL RÍO,10,1133,269,315,39,3,,2,8,20,19,656,675
611,SAN JUAN DEL RÍO,10,2038,436,564,34,9,,3,14,26,30,1086,1116
612,SAN JUAN DEL RÍO,10,2059,358,475,39,10,,6,14,54,20,956,976
613,SAN JUAN DEL RÍO,10,2227,372,465,31,7,,6,23,48,40,952,992
614,SAN JUAN DEL RÍO,10,2751,502,615,57,12,,7,24,114,68,1331,1399
616,SAN JUAN DEL RÍO,10,2028,480,506,25,12,,5,19,35,60,1082,1142
617,SAN JUAN DEL RÍO,10,2656,576,743,20,10,,23,38,56,42,1466,1508
618,SAN JUAN DEL RÍO,10,1639,393,348,30,7,,6,12,48,36,844,880
619,SAN JUAN DEL RÍO,10,2627,641,563,43,21,,12,15,77,45,1372,1417
620,SAN JUAN DEL RÍO,10,2153,385,381,52,20,,6,22,24,71,890,961
621,SAN JUAN DEL RÍO,10,1027,129,268,33,5,,1,5,14,33,455,488
622,SAN JUAN DEL RÍO,10,2015,350,574,26,15,,7,21,47,49,1040,1089
623,SAN JUAN DEL RÍO,10,2390,534,581,38,18,,13,28,104,48,1316,1364
625,SAN JUAN DEL RÍO,10,1378,233,266,21,11,,5,7,63,12,606,618
626,SAN JUAN DEL RÍO,10,1383,283,401,19,18,,4,12,39,14,776,790
629,SAN JUAN DEL RÍO,10,1599,280,396,18,5,,3,13,28,39,743,782
630,SAN JUAN DEL RÍO,10,1463,201,391,35,13,,6,26,22,50,694,744
