Municipio,Sección,Lista Nominal,Total,PAN,PRI,PRD,PT,PVEM
QUERÉTARO,519,1171,642,83,394,73,26,11
QUERÉTARO,520,657,511,201,238,22,7,8
QUERÉTARO,521,564,423,28,332,22,11,2
QUERÉTARO,522,1917,1288,482,651,49,11,32
QUERÉTARO,523,712,479,120,274,7,14,9
QUERÉTARO,524,1085,900,306,436,34,37,24
QUERÉTARO,525,965,684,230,330,32,39,22
QUERÉTARO,526,874,618,255,302,29,9,2
QUERÉTARO,527,2180,1293,182,809,64,34,23
QUERÉTARO,528,781,545,303,175,22,10,2
QUERÉTARO,529,1710,1214,466,555,75,27,27
QUERÉTARO,530,685,416,49,264,27,7,8
QUERÉTARO,531,757,579,323,122,24,6,18
QUERÉTARO,532,1105,725,410,204,55,9,12
QUERÉTARO,533,653,454,242,140,33,9,9
QUERÉTARO,534,1226,807,458,233,54,6,20
QUERÉTARO,535,760,492,282,156,19,3,10
QUERÉTARO,536,1161,765,381,267,68,5,18
QUERÉTARO,537,1175,775,343,234,105,9,15
QUERÉTARO,538,797,545,336,134,31,3,9
QUERÉTARO,539,1403,866,165,508,63,41,19
QUERÉTARO,540,1007,570,119,398,12,5,8
QUERÉTARO,541,848,642,394,145,66,3,23
QUERÉTARO,542,1145,410,119,162,94,4,12
QUERÉTARO,543,648,378,28,298,17,1,1
QUERÉTARO,544,865,703,163,502,7,6,7
QUERÉTARO,545,782,520,116,330,23,7,1
QUERÉTARO,546,1217,812,325,367,37,21,13
QUERÉTARO,547,1196,773,294,376,27,30,15
QUERÉTARO,548,850,567,255,195,51,22,10
QUERÉTARO,549,1610,1137,430,444,145,8,26
QUERÉTARO,550,853,575,138,328,40,9,29
QUERÉTARO,551,1562,997,395,325,132,62,22
QUERÉTARO,552,1959,1197,451,567,87,17,14
QUERÉTARO,553,1800,1102,463,512,42,11,25
QUERÉTARO,554,1131,764,337,301,76,6,13
QUERÉTARO,555,535,374,161,142,23,12,7
SAN JOAQUÍN,556,777,530,72,376,9,3,0
SAN JOAQUÍN,557,982,618,85,418,21,15,0
SAN JOAQUÍN,558,461,302,14,257,1,3,0
SAN JOAQUÍN,559,347,232,5,215,0,4,0
SAN JOAQUÍN,560,573,377,16,293,7,7,0
SAN JOAQUÍN,561,207,166,17,135,1,0,0
SAN JOAQUÍN,562,204,153,3,128,0,1,0
SAN JUAN DEL RÍO,563,1148,812,440,290,45,4,10
SAN JUAN DEL RÍO,564,1274,889,490,303,40,9,18
SAN JUAN DEL RÍO,565,568,423,187,122,96,2,4
SAN JUAN DEL RÍO,566,2919,2094,1235,619,132,12,53
SAN JUAN DEL RÍO,567,1342,918,482,271,78,13,23
SAN JUAN DEL RÍO,568,1076,721,513,128,46,2,14
SAN JUAN DEL RÍO,569,863,650,193,94,26,3,12
SAN JUAN DEL RÍO,570,1124,799,506,210,42,4,13
SAN JUAN DEL RÍO,571,1171,834,456,300,39,4,13
SAN JUAN DEL RÍO,572,947,718,389,287,15,2,14
SAN JUAN DEL RÍO,573,718,534,343,155,11,0,10
SAN JUAN DEL RÍO,574,1014,692,424,155,63,4,16
SAN JUAN DEL RÍO,575,720,494,260,145,46,0,17
SAN JUAN DEL RÍO,576,1201,794,470,223,56,2,18
SAN JUAN DEL RÍO,577,1165,820,459,284,38,5,16
SAN JUAN DEL RÍO,578,779,563,328,201,16,1,7
SAN JUAN DEL RÍO,579,1109,834,489,290,22,2,16
SAN JUAN DEL RÍO,580,953,699,373,279,21,1,13
SAN JUAN DEL RÍO,581,849,595,351,197,27,2,11
SAN JUAN DEL RÍO,582,882,620,373,184,37,2,17
SAN JUAN DEL RÍO,583,931,650,397,161,42,5,26
SAN JUAN DEL RÍO,584,1849,1304,728,405,98,5,44
SAN JUAN DEL RÍO,585,1395,989,523,301,91,4,40
SAN JUAN DEL RÍO,586,1485,1090,555,341,70,10,57
SAN JUAN DEL RÍO,587,996,659,391,208,27,4,14
SAN JUAN DEL RÍO,588,697,502,295,165,15,0,15
SAN JUAN DEL RÍO,589,950,688,418,208,29,5,18
SAN JUAN DEL RÍO,590,1365,966,552,294,48,3,18
SAN JUAN DEL RÍO,591,1143,819,479,257,39,1,13
SAN JUAN DEL RÍO,592,970,700,413,207,45,3,10
SAN JUAN DEL RÍO,593,1011,652,368,200,49,1,7
SAN JUAN DEL RÍO,594,1093,739,445,221,31,4,13
SAN JUAN DEL RÍO,595,1400,912,501,296,47,5,31
SAN JUAN DEL RÍO,596,661,468,290,122,27,3,15
SAN JUAN DEL RÍO,597,705,481,261,177,23,5,8
SAN JUAN DEL RÍO,598,744,524,291,175,26,1,15
SAN JUAN DEL RÍO,599,1105,808,388,271,73,15,15
SAN JUAN DEL RÍO,600,1521,1081,586,369,63,9,25
SAN JUAN DEL RÍO,601,746,621,299,154,135,2,16
SAN JUAN DEL RÍO,602,1080,782,484,203,52,5,13
SAN JUAN DEL RÍO,603,999,658,389,186,49,5,14
SAN JUAN DEL RÍO,604,964,689,338,261,46,3,14
SAN JUAN DEL RÍO,605,1024,771,433,261,28,11,12
SAN JUAN DEL RÍO,606,733,532,292,176,30,7,8
SAN JUAN DEL RÍO,607,946,724,359,276,32,22,13
SAN JUAN DEL RÍO,608,1151,818,405,315,21,44,9
SAN JUAN DEL RÍO,609,1315,841,478,264,20,33,4
SAN JUAN DEL RÍO,610,740,499,193,260,17,7,7
SAN JUAN DEL RÍO,611,1281,921,316,512,24,11,13
SAN JUAN DEL RÍO,612,1273,902,371,406,72,13,13
SAN JUAN DEL RÍO,613,1666,1042,363,527,62,21,27
SAN JUAN DEL RÍO,614,1259,945,370,272,249,12,10
SAN JUAN DEL RÍO,615,1371,769,117,536,17,25,11
SAN JUAN DEL RÍO,616,1155,861,388,387,24,10,16
SAN JUAN DEL RÍO,617,1517,1106,605,418,24,8,17
SAN JUAN DEL RÍO,618,1281,877,316,458,32,14,32
SAN JUAN DEL RÍO,619,1452,1058,406,529,47,12,20
SAN JUAN DEL RÍO,620,1213,856,299,374,29,4,20
SAN JUAN DEL RÍO,621,572,389,65,254,9,1,7
SAN JUAN DEL RÍO,622,1205,916,364,432,48,11,24
SAN JUAN DEL RÍO,623,1301,944,452,385,25,9,33
SAN JUAN DEL RÍO,624,1202,883,373,341,41,30,32
SAN JUAN DEL RÍO,625,814,554,137,341,33,2,10
SAN JUAN DEL RÍO,626,849,627,246,321,14,11,8
SAN JUAN DEL RÍO,627,994,776,378,316,19,25,12
SAN JUAN DEL RÍO,628,598,373,80,260,7,1,6
SAN JUAN DEL RÍO,629,971,689,221,375,28,4,12
SAN JUAN DEL RÍO,630,911,679,216,356,24,12,16
SAN JUAN DEL RÍO,631,735,475,140,276,20,4,10
SAN JUAN DEL RÍO,632,1077,802,303,402,35,6,8
SAN JUAN DEL RÍO,633,991,778,231,418,31,40,25
SAN JUAN DEL RÍO,634,1151,892,296,451,22,41,35
SAN JUAN DEL RÍO,635,992,807,158,553,20,6,10
SAN JUAN DEL RÍO,636,731,532,152,302,23,10,17
SAN JUAN DEL RÍO,637,960,726,252,362,22,11,10
SAN JUAN DEL RÍO,638,880,695,219,396,33,6,14
SAN JUAN DEL RÍO,639,1319,983,245,617,26,10,22
SAN JUAN DEL RÍO,640,1477,1094,544,457,26,7,23
SAN JUAN DEL RÍO,641,1011,810,202,519,19,9,20
SAN JUAN DEL RÍO,642,1207,879,406,365,27,6,10
SAN JUAN DEL RÍO,643,682,527,103,375,10,2,4
TEQUISQUIAPAN,644,198,151,72,37,29,0,9
TEQUISQUIAPAN,645,623,459,197,168,65,3,13
TEQUISQUIAPAN,646,1024,834,422,251,95,6,12
TEQUISQUIAPAN,647,1154,794,220,315,200,9,6
TEQUISQUIAPAN,648,866,649,193,252,123,8,8
TEQUISQUIAPAN,649,789,543,185,221,96,2,5
TEQUISQUIAPAN,650,1064,799,199,373,146,0,23
TEQUISQUIAPAN,651,787,571,170,262,87,5,10
TEQUISQUIAPAN,652,382,273,101,113,41,1,9
TEQUISQUIAPAN,653,863,621,153,164,241,11,17
TEQUISQUIAPAN,654,914,619,228,146,199,1,12
TEQUISQUIAPAN,655,754,566,153,292,88,3,12
TEQUISQUIAPAN,656,1429,992,278,398,240,10,35
TEQUISQUIAPAN,657,850,606,226,213,125,2,18
TEQUISQUIAPAN,658,1012,718,203,270,188,7,9
TEQUISQUIAPAN,659,1074,790,261,358,121,4,12
TEQUISQUIAPAN,660,1144,860,231,440,106,13,8
TEQUISQUIAPAN,661,792,599,140,314,76,5,9
TEQUISQUIAPAN,662,610,457,131,204,77,4,3
TEQUISQUIAPAN,663,558,426,77,222,98,5,7
TEQUISQUIAPAN,664,202,132,77,25,19,0,8
TEQUISQUIAPAN,665,866,633,242,270,66,3,9
TEQUISQUIAPAN,666,1017,820,390,167,186,7,7
TEQUISQUIAPAN,667,1117,793,191,276,281,1,4
TEQUISQUIAPAN,668,1284,972,189,535,186,3,7
TEQUISQUIAPAN,669,757,555,162,281,43,18,8
TEQUISQUIAPAN,670,788,578,310,171,38,38,5
TEQUISQUIAPAN,671,839,600,181,251,131,5,0
TEQUISQUIAPAN,672,1022,744,120,259,298,5,11
TEQUISQUIAPAN,673,1046,763,222,250,239,3,14
TOLIMÁN,674,873,596,285,252,29,5,0
TOLIMÁN,675,740,510,163,277,28,15,0
TOLIMÁN,676,226,149,23,116,2,0,0
TOLIMÁN,677,748,465,178,225,19,3,0
TOLIMÁN,678,490,362,82,242,9,2,0
TOLIMÁN,679,1106,684,190,380,58,10,0
TOLIMÁN,680,502,282,76,190,11,4,0
TOLIMÁN,681,673,360,121,179,24,31,0
TOLIMÁN,682,1210,1395,400,724,173,81,8
TOLIMÁN,683,980,563,188,198,105,63,0
TOLIMÁN,684,1646,888,133,513,213,11,0
TOLIMÁN,685,58,46,3,41,2,0,0
TOLIMÁN,686,438,310,52,241,12,3,0
TOLIMÁN,687,786,478,114,307,52,3,0
