uniqueid,year,state,mun,section
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1240
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1241
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1242
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1243
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1244
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1245
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1246
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1247
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1248
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1249
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1250
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1251
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1252
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1253
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1254
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1255
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1256
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1257
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1258
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1259
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1260
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1261
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1262
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1263
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1264
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1265
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1266
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1267
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1268
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1269
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1270
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1271
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1272
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1273
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1274
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1275
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1276
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1277
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1278
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1279
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1280
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1281
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1282
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1283
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1284
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1285
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1286
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1287
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,2675
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,2677
17016,2001,MORELOS,OCUITUCO EXTRAORDINARIO,569
17016,2001,MORELOS,OCUITUCO EXTRAORDINARIO,570
17016,2001,MORELOS,OCUITUCO EXTRAORDINARIO,571
17016,2001,MORELOS,OCUITUCO EXTRAORDINARIO,572
17016,2001,MORELOS,OCUITUCO EXTRAORDINARIO,573
17016,2001,MORELOS,OCUITUCO EXTRAORDINARIO,574
17016,2001,MORELOS,OCUITUCO EXTRAORDINARIO,575
17016,2001,MORELOS,OCUITUCO EXTRAORDINARIO,576
17016,2001,MORELOS,OCUITUCO EXTRAORDINARIO,577
17016,2001,MORELOS,OCUITUCO EXTRAORDINARIO,578
20441,2017,OAXACA,SANTA MARIA XADANI EXTRAORDINARIO,1929
20441,2017,OAXACA,SANTA MARIA XADANI EXTRAORDINARIO,1930
20441,2017,OAXACA,SANTA MARIA XADANI EXTRAORDINARIO,1931
20441,2017,OAXACA,SANTA MARIA XADANI EXTRAORDINARIO,1932
21098,2002,PUEBLA,MOLCAXAZ EXTRAORDINARIO,825
21098,2002,PUEBLA,MOLCAXAZ EXTRAORDINARIO,826
21098,2002,PUEBLA,MOLCAXAZ EXTRAORDINARIO,827
21098,2002,PUEBLA,MOLCAXAZ EXTRAORDINARIO,828
21098,2002,PUEBLA,MOLCAXAZ EXTRAORDINARIO,829
21065,2008,PUEBLA,GENERAL FELIPE ANGELES EXTRAORDINARIO,544
21065,2008,PUEBLA,GENERAL FELIPE ANGELES EXTRAORDINARIO,545
21065,2008,PUEBLA,GENERAL FELIPE ANGELES EXTRAORDINARIO,546
21065,2008,PUEBLA,GENERAL FELIPE ANGELES EXTRAORDINARIO,547
21065,2008,PUEBLA,GENERAL FELIPE ANGELES EXTRAORDINARIO,548
21065,2008,PUEBLA,GENERAL FELIPE ANGELES EXTRAORDINARIO,549
21065,2008,PUEBLA,GENERAL FELIPE ANGELES EXTRAORDINARIO,550
21081,2011,PUEBLA,IXCAMILPA DE GUERRERO EXTRAORDINARIO,706
21081,2011,PUEBLA,IXCAMILPA DE GUERRERO EXTRAORDINARIO,707
21081,2011,PUEBLA,IXCAMILPA DE GUERRERO EXTRAORDINARIO,708
21183,2011,PUEBLA,TLAOLA EXTRAORDINARIO,2253
21183,2011,PUEBLA,TLAOLA EXTRAORDINARIO,2254
21183,2011,PUEBLA,TLAOLA EXTRAORDINARIO,2255
21183,2011,PUEBLA,TLAOLA EXTRAORDINARIO,2256
21183,2011,PUEBLA,TLAOLA EXTRAORDINARIO,2257
21183,2011,PUEBLA,TLAOLA EXTRAORDINARIO,2258
21183,2011,PUEBLA,TLAOLA EXTRAORDINARIO,2259
21183,2011,PUEBLA,TLAOLA EXTRAORDINARIO,2260
21183,2011,PUEBLA,TLAOLA EXTRAORDINARIO,2261
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,1
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,2
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,3
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,4
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,5
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,6
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,7
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,8
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,9
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,10
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,11
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,12
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,13
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,14
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,15
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,16
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,17
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,18
21001,2014,PUEBLA,ACAJETE EXTRAORDINARIO,19
21038,2014,PUEBLA,CUAPIAXTLA DE MADERO EXTRAORDINARIO,317
21038,2014,PUEBLA,CUAPIAXTLA DE MADERO EXTRAORDINARIO,318
21008,2019,PUEBLA,AHUAZOTEPEC EXTRAORDINARIO,75
21008,2019,PUEBLA,AHUAZOTEPEC EXTRAORDINARIO,76
21008,2019,PUEBLA,AHUAZOTEPEC EXTRAORDINARIO,77
21008,2019,PUEBLA,AHUAZOTEPEC EXTRAORDINARIO,78
21099,2019,PUEBLA,CAÑADA MORELOS EXTRAORDINARIO,262
21099,2019,PUEBLA,CAÑADA MORELOS EXTRAORDINARIO,263
21099,2019,PUEBLA,CAÑADA MORELOS EXTRAORDINARIO,264
21099,2019,PUEBLA,CAÑADA MORELOS EXTRAORDINARIO,265
21099,2019,PUEBLA,CAÑADA MORELOS EXTRAORDINARIO,266
21099,2019,PUEBLA,CAÑADA MORELOS EXTRAORDINARIO,267
21099,2019,PUEBLA,CAÑADA MORELOS EXTRAORDINARIO,268
21099,2019,PUEBLA,CAÑADA MORELOS EXTRAORDINARIO,269
21099,2019,PUEBLA,CAÑADA MORELOS EXTRAORDINARIO,270
21096,2019,PUEBLA,MAZAPILTEPEC DE JUAREZ EXTRAORDINARIO,821
21096,2019,PUEBLA,MAZAPILTEPEC DE JUAREZ EXTRAORDINARIO,822
21106,2019,PUEBLA,OCOYUCAN EXTRAORDINARIO,857
21106,2019,PUEBLA,OCOYUCAN EXTRAORDINARIO,858
21106,2019,PUEBLA,OCOYUCAN EXTRAORDINARIO,859
21106,2019,PUEBLA,OCOYUCAN EXTRAORDINARIO,860
21106,2019,PUEBLA,OCOYUCAN EXTRAORDINARIO,861
21106,2019,PUEBLA,OCOYUCAN EXTRAORDINARIO,862
21106,2019,PUEBLA,OCOYUCAN EXTRAORDINARIO,863
21106,2019,PUEBLA,OCOYUCAN EXTRAORDINARIO,864
21106,2019,PUEBLA,OCOYUCAN EXTRAORDINARIO,865
21106,2019,PUEBLA,OCOYUCAN EXTRAORDINARIO,866
21166,2019,PUEBLA,TEPEOJUMA EXTRAORDINARIO,2083
21166,2019,PUEBLA,TEPEOJUMA EXTRAORDINARIO,2084
21166,2019,PUEBLA,TEPEOJUMA EXTRAORDINARIO,2085
21166,2019,PUEBLA,TEPEOJUMA EXTRAORDINARIO,2086
21166,2019,PUEBLA,TEPEOJUMA EXTRAORDINARIO,2087
21166,2019,PUEBLA,TEPEOJUMA EXTRAORDINARIO,2088
29022,2014,TLAXCALA,ACUAMANALA DE MIGUEL HIDALGO EXTRAORDINARIO,309
29022,2014,TLAXCALA,ACUAMANALA DE MIGUEL HIDALGO EXTRAORDINARIO,310
29022,2014,TLAXCALA,ACUAMANALA DE MIGUEL HIDALGO EXTRAORDINARIO,311
29022,2014,TLAXCALA,ACUAMANALA DE MIGUEL HIDALGO EXTRAORDINARIO,312
30007,2018,VERACRUZ,CAMARON DE TEJEDA EXTRAORDINARIO,106
30007,2018,VERACRUZ,CAMARON DE TEJEDA EXTRAORDINARIO,107
30007,2018,VERACRUZ,CAMARON DE TEJEDA EXTRAORDINARIO,108
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1475
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1476
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1477
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1478
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1479
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1480
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1481
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1482
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1483
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1484
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1485
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1486
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1487
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1488
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1489
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1490
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1491
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1492
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1493
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1494
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1495
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1496
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1497
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1498
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1499
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1500
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1501
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1502
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1503
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1504
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1505
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1506
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1507
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1508
30065,2018,VERACRUZ,EMILIANO ZAPATA EXTRAORDINARIO,1509
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3475
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3476
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3477
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3478
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3479
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3480
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3481
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3482
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3483
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3484
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3485
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3486
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3487
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3488
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3489
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3490
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3491
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3492
30144,2018,VERACRUZ,SAYULA DE ALEMAN EXTRAORDINARIO,3493
