CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,C_COMUN_PAN_PRD_PD,PRI,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,27,B,1,0,B,103,70,11,34,3,4,54,3,4,,,,286,0,16,302,520,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,27,C,1,0,C01,91,75,2,32,3,3,42,8,5,,,,261,0,24,285,520,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,28,B,1,0,B,70,53,11,50,2,8,145,9,4,,,,352,0,18,370,583,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,29,B,1,0,B,47,34,7,32,4,3,135,6,2,,,,270,0,22,292,468,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,29,C,1,0,C01,44,39,10,40,6,5,131,3,5,,,,283,0,11,294,468,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,29,S,1,0,SMR01,29,10,3,16,5,6,51,2,1,,,,123,0,3,126,750,ACTA LEVANTADA EN CONSEJO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,30,B,1,0,B,80,38,3,26,3,7,114,51,5,,,,327,0,23,350,496,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,30,C,1,0,C01,84,17,12,41,8,4,116,42,5,,,,329,0,18,347,495,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,31,B,1,0,B,178,32,25,47,6,13,105,11,2,,,,419,0,18,437,703,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,32,B,1,0,B,88,31,9,40,1,3,63,7,1,,,,243,0,9,252,372,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,33,B,1,0,B,75,46,2,13,3,1,26,12,2,,,,180,0,14,194,312,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,34,B,1,0,B,74,14,1,3,1,1,12,0,0,,,,106,0,9,115,212,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,35,B,1,0,B,70,40,3,4,2,2,13,1,0,,,,135,0,2,137,257,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,37,B,1,0,B,47,61,8,29,5,8,77,10,2,,,,247,0,12,259,489,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,37,C,1,0,C01,52,32,6,39,5,6,107,6,3,,,,256,0,12,268,488,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,38,B,1,0,B,73,71,8,128,4,7,0,3,0,,,,294,0,31,325,634,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,39,B,1,0,B,48,48,9,11,0,3,40,0,1,,,,160,0,4,164,275,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,40,B,1,0,B,147,82,3,24,4,1,91,1,2,,,,355,0,8,363,532,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1015,B,1,0,B,91,71,35,22,3,6,78,9,0,,,,315,2,14,331,612,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1015,C,1,0,C01,76,65,34,23,7,6,75,9,1,,,,296,0,20,316,612,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1015,C,2,0,C02,92,66,20,24,5,5,83,9,5,,,,309,1,10,320,611,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1016,B,1,0,B,62,46,25,20,2,3,55,7,2,,,,222,1,16,239,495,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1016,C,1,0,C01,72,50,16,21,5,3,46,7,1,,,,221,0,15,236,494,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1017,B,1,0,B,89,56,32,21,1,8,58,7,2,,,,274,0,16,290,579,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1017,C,1,0,C01,80,65,45,18,7,6,56,2,3,,,,282,0,17,299,579,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1017,C,2,0,C02,103,65,32,22,5,6,55,3,2,,,,293,0,10,303,578,ACTA CASILLA,,,
