CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,78,SAN MARTIN DE BOLAÑOS,2112,B,1,0,B,19,70,1,0,0,84,0,4,0,0,0,0,0,178,0,9,187,251,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,78,SAN MARTIN DE BOLAÑOS,2113,B,1,0,B,25,39,0,0,0,22,0,0,0,0,0,0,0,86,0,1,87,117,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,78,SAN MARTIN DE BOLAÑOS,2114,B,1,0,B,15,30,1,0,0,33,0,1,0,0,0,0,0,80,0,2,82,102,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,82,SANTA MARIA DE LOS ANGELES,2157,B,1,0,B,97,102,2,1,1,74,1,12,0,0,0,0,0,290,0,16,306,453,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,82,SANTA MARIA DE LOS ANGELES,2158,B,1,0,B,134,82,1,2,3,65,0,19,0,2,0,0,0,308,0,16,324,494,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,82,SANTA MARIA DE LOS ANGELES,2158,C,1,0,C01,115,96,2,3,3,80,1,17,0,0,0,0,0,317,0,30,347,494,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,82,SANTA MARIA DE LOS ANGELES,2159,B,1,0,B,98,101,1,2,1,80,1,22,1,0,0,0,0,307,0,23,330,455,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,82,SANTA MARIA DE LOS ANGELES,2160,B,1,0,B,123,149,0,4,1,114,1,3,1,0,0,0,0,396,0,18,414,608,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,82,SANTA MARIA DE LOS ANGELES,2160,E,1,0,E01,58,99,0,0,1,32,1,1,0,0,0,0,0,192,0,0,192,257,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,82,SANTA MARIA DE LOS ANGELES,2161,B,1,0,B,99,90,0,1,1,111,0,15,0,0,0,0,0,317,0,17,334,515,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2181,B,1,0,B,14,69,5,12,7,200,6,117,3,2,0,0,1,436,0,9,445,705,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2181,C,1,0,C01,21,79,5,9,11,194,13,95,5,1,1,0,1,435,0,14,449,705,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2181,C,2,0,C02,19,69,3,11,8,174,13,126,4,0,1,1,0,429,0,7,436,705,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2181,C,3,0,C03,19,66,4,8,8,184,10,125,5,1,1,0,1,432,0,7,439,704,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2182,B,1,0,B,10,69,4,14,4,139,15,101,6,0,1,0,0,363,0,9,372,665,ACTA CASILLA,,,
