MUNICIPIO,DISTRITO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,NO REGISTRADOS,NULOS,TOTAL,LISTA NOMINAL
COZUMEL,VIII,191,191-C,77,201,14,0,0,0,5,297,481
COZUMEL,VIII,192,192-B,105,238,16,0,0,0,16,375,619
COZUMEL,VIII,192,192-C,134,233,9,0,1,0,6,383,619
COZUMEL,VIII,192,192-ES,,,,,,,,0,
COZUMEL,VIII,193,193-B,158,214,13,1,1,0,11,398,619
COZUMEL,VIII,193,193-C,129,231,17,1,1,0,12,391,619
COZUMEL,VIII,194,194-B,147,158,18,0,6,0,7,336,535
COZUMEL,VIII,194,194-C,131,155,19,0,0,0,11,316,535
COZUMEL,VIII,195,195-B,139,148,15,0,1,0,37,340,543
COZUMEL,VIII,195,195-C,172,136,18,0,1,0,9,336,544
COZUMEL,VIII,196,196-B,160,215,9,0,0,0,7,391,563
COZUMEL,VIII,196,196-C,181,175,21,1,3,0,3,384,563
COZUMEL,VIII,197,197-B,217,220,16,0,2,0,18,473,750
COZUMEL,VIII,197,197-C,193,239,20,3,4,0,19,478,750
COZUMEL,VIII,198,198-B,87,223,17,0,3,1,8,339,544
COZUMEL,VIII,198,198-C1,97,192,27,0,1,0,17,334,545
COZUMEL,VIII,198,198-C2,102,180,19,0,1,0,12,314,545
COZUMEL,VIII,199,199-B,176,189,26,2,2,0,10,405,648
COZUMEL,VIII,199,199-C,189,171,25,3,3,0,4,395,638
COZUMEL,VIII,200,200-B,191,229,17,0,1,0,7,445,700
COZUMEL,VIII,200,200-C,225,174,8,1,5,0,9,422,700
COZUMEL,VIII,201,201-B,151,199,14,3,4,0,26,397,608
COZUMEL,VIII,201,201-C,146,188,21,2,0,0,15,372,603
COZUMEL,VIII,202,202-B,211,222,21,0,1,0,33,488,730
COZUMEL,VIII,202,202-C,193,232,31,1,3,0,29,489,731
COZUMEL,VIII,203,203-B,199,203,28,12,2,0,9,453,729
COZUMEL,VIII,203,203-C1,234,182,20,1,1,0,13,451,730
COZUMEL,VIII,203,203-C2,208,201,16,0,1,0,15,441,730
COZUMEL,VIII,203,203-C3,182,192,22,1,3,0,25,425,730
,,,,,,,,,,,,
SOLIDARIDAD,IX,204,204-B,37,104,114,5,3,,8,271,695
SOLIDARIDAD,IX,204,204-C1,49,112,108,9,,,8,286,695
SOLIDARIDAD,IX,204,204-C2,51,114,115,3,1,,12,296,695
SOLIDARIDAD,IX,204,204-C3,47,94,103,2,1,,27,274,695
SOLIDARIDAD,IX,204,204-C4,48,93,112,5,1,,5,264,696
SOLIDARIDAD,IX,204,204-C5,39,87,107,3,1,,16,253,696
SOLIDARIDAD,IX,204,204-C6,46,98,111,2,2,,11,270,696
SOLIDARIDAD,IX,204,204-C7,47,102,90,3,,,5,247,696
SOLIDARIDAD,IX,204,204-C8,53,91,99,5,5,,3,256,696
SOLIDARIDAD,IX,204,204-C9,45,104,106,6,2,,12,275,696
SOLIDARIDAD,IX,204,204-C10,48,99,99,4,,,6,256,696
SOLIDARIDAD,IX,204,204-C11,44,90,111,6,3,,15,269,696
SOLIDARIDAD,IX,205,205-B,82,74,93,3,,,9,261,663
SOLIDARIDAD,IX,205,205-C1,68,83,69,2,1,1,5,229,663
SOLIDARIDAD,IX,205,205-C2,63,90,91,3,1,,7,255,663
SOLIDARIDAD,IX,205,205-C3,65,74,83,5,3,,18,248,664
SOLIDARIDAD,IX,206,206-B,84,70,63,3,1,,5,226,627
SOLIDARIDAD,IX,206,206-C1,62,69,68,4,2,1,2,208,627
SOLIDARIDAD,IX,206,206-C2,69,82,80,1,3,,5,240,627
SOLIDARIDAD,IX,206,206-C3,81,74,66,4,3,,6,234,628
SOLIDARIDAD,IX,207,207-B,67,80,72,1,,,3,223,662
SOLIDARIDAD,IX,207,207-C1,87,80,71,2,,,6,246,663
SOLIDARIDAD,IX,207,207-C2,67,94,66,4,,,3,234,663
SOLIDARIDAD,IX,207,207-C3,76,87,69,,2,,5,239,663
SOLIDARIDAD,IX,207,207-ES,,,,,,,,,
SOLIDARIDAD,IX,208,208-B,27,141,42,2,2,,5,219,480
SOLIDARIDAD,IX,208,208-C,14,115,24,2,1,,64,220,480
SOLIDARIDAD,IX,209,209-B,10,186,116,1,2,,5,320,620
SOLIDARIDAD,IX,209,209-C1,7,166,89,1,2,,8,273,571
SOLIDARIDAD,IX,209,209-C2,10,169,84,,,,5,268,571
SOLIDARIDAD,IX,209,209-C3,17,151,104,5,,,4,281,572
SOLIDARIDAD,IX,210,210-B,,249,90,3,1,,40,383,414
SOLIDARIDAD,IX,210,210-C,1,224,99,5,,,18,347,415
SOLIDARIDAD,IX,211,211-B,102,291,34,7,4,,19,457,732
SOLIDARIDAD,IX,211,211-EX1,50,158,26,4,,,14,252,277
SOLIDARIDAD,IX,211,211-EX2,98,491,78,23,2,,15,707,875
SOLIDARIDAD,IX,212,212-B,2,22,36,1,,,2,63,84
SOLIDARIDAD,IX,213,213-B,,,,,,,,0,49
SOLIDARIDAD,IX,214,214-B,5,68,12,4,2,,2,93,203
,,,,,,,,,,,,
BENITO JUAREZ,X,3,003-B,31,149,122,50,1,0,18,371,749
BENITO JUAREZ,X,3,003-C,37,165,122,53,0,0,16,393,749
BENITO JUAREZ,X,3,003-C,31,132,117,51,1,1,15,348,750
BENITO JUAREZ,X,3,003-C,31,131,116,51,1,1,15,346,750
BENITO JUAREZ,X,3,003-C,29,136,121,61,2,0,20,369,750
BENITO JUAREZ,X,3,003-C,32,125,185,15,0,0,19,376,750
BENITO JUAREZ,X,3,003-C,34,161,106,51,1,0,19,372,750
BENITO JUAREZ,X,4,004-B,47,72,63,42,2,0,11,237,516
BENITO JUAREZ,X,4,004-C,58,67,66,51,3,0,8,253,517
BENITO JUAREZ,X,5,005-B,70,80,93,67,3,0,2,315,677
BENITO JUAREZ,X,5,005-C,80,71,110,45,6,0,6,318,678
BENITO JUAREZ,X,6,006-B,97,69,117,83,5,0,2,373,737
BENITO JUAREZ,X,7,007-B,44,112,95,43,3,0,11,308,636
BENITO JUAREZ,X,7,007-C,56,95,112,39,2,0,14,318,637
BENITO JUAREZ,X,8,008-B,27,69,65,33,2,0,9,205,410
BENITO JUAREZ,X,8,008-C,24,87,61,21,3,0,5,201,411
BENITO JUAREZ,X,9,009-B,31,119,132,55,0,0,16,353,730
BENITO JUAREZ,X,10,010-B,46,129,119,36,0,0,11,341,750
BENITO JUAREZ,X,32,032-B,31,69,63,30,2,0,7,202,462
BENITO JUAREZ,X,32,032-C,21,91,67,30,3,0,32,244,462
BENITO JUAREZ,X,33,033-B,41,115,83,30,2,0,12,283,667
BENITO JUAREZ,X,34,034-B,19,78,57,18,0,1,5,178,414
BENITO JUAREZ,X,34,034-C,22,62,55,21,1,0,0,161,415
BENITO JUAREZ,X,35,035-B,26,84,90,36,1,0,3,240,469
BENITO JUAREZ,X,35,035-C,29,87,52,41,0,0,15,224,470
BENITO JUAREZ,X,36,036-B,27,94,70,55,1,0,7,254,527
BENITO JUAREZ,X,36,036-C,39,69,80,36,3,0,10,237,527
BENITO JUAREZ,X,37,037-B,33,123,119,42,4,1,3,325,758
BENITO JUAREZ,X,38,038-B,28,62,79,47,2,0,1,219,519
BENITO JUAREZ,X,38,038-C,27,80,65,37,0,0,10,219,519
BENITO JUAREZ,X,39,039-B,30,96,98,41,1,0,9,275,639
BENITO JUAREZ,X,40,040-B,27,90,102,35,1,0,7,262,511
BENITO JUAREZ,X,40,040-C,27,81,74,22,0,0,5,209,512
BENITO JUAREZ,X,85,085-B,32,70,44,22,1,0,11,180,381
BENITO JUAREZ,X,85,085-C,32,69,36,22,1,0,2,162,381
BENITO JUAREZ,X,86,086-B,29,94,85,36,1,0,0,245,432
BENITO JUAREZ,X,86,086-C,30,71,66,33,3,9,9,221,432
BENITO JUAREZ,X,87,087-B,52,138,114,40,2,0,8,354,633
BENITO JUAREZ,X,88,088-B,40,103,90,41,2,0,13,289,704
BENITO JUAREZ,X,89,089-B,32,114,58,49,3,0,0,256,539
BENITO JUAREZ,X,9,090-B,87,72,62,67,1,0,6,295,573
BENITO JUAREZ,X,9,090-C,78,78,70,48,3,0,4,281,574
BENITO JUAREZ,X,91,091-B,78,72,91,59,4,0,6,310,592
BENITO JUAREZ,X,91,091-C,68,61,74,68,3,0,9,283,593
BENITO JUAREZ,X,92,092-B,55,160,105,47,2,0,11,380,714
BENITO JUAREZ,X,93,093-B,36,78,44,51,0,0,7,216,416
BENITO JUAREZ,X,93,093-C,51,46,54,50,2,0,5,208,417
BENITO JUAREZ,X,94,094-B,76,129,92,51,2,0,8,358,672
BENITO JUAREZ,X,94,094-C,63,95,105,51,2,0,8,324,672
BENITO JUAREZ,X,95,095-B,32,153,66,48,4,0,11,314,619
BENITO JUAREZ,X,96,096-B,40,99,60,65,1,0,5,270,671
BENITO JUAREZ,X,97,097-B,48,90,89,46,4,0,11,288,653
BENITO JUAREZ,X,114,114-B,43,127,61,24,1,0,2,258,555
BENITO JUAREZ,X,115,115-B,38,104,86,39,4,0,12,283,665
BENITO JUAREZ,X,116,116-B,47,85,51,37,2,0,2,224,412
BENITO JUAREZ,X,116,116-C,43,97,49,35,1,0,3,228,413
BENITO JUAREZ,X,117,117-B,46,91,93,65,1,0,4,300,526
BENITO JUAREZ,X,117,117-C,66,99,71,49,2,0,3,290,526
BENITO JUAREZ,X,119,119-B,124,38,25,46,2,0,3,238,429
BENITO JUAREZ,X,136,136-B,101,53,43,72,7,1,0,277,536
BENITO JUAREZ,X,137,137-C,154,55,52,89,5,0,2,357,736
BENITO JUAREZ,X,144,144-B,164,53,37,75,2,1,0,332,628
BENITO JUAREZ,X,169,169-B,99,34,12,21,2,0,2,170,326
BENITO JUAREZ,X,170,170-B,165,46,39,93,2,5,5,355,741
BENITO JUAREZ,X,176,176-B,0,1,0,0,0,0,0,1,39
BENITO JUAREZ,X,179,179-B,14,250,114,35,4,1,12,430,716
BENITO JUAREZ,X,180,180-B,29,173,78,29,1,0,9,319,602
,,,,,,,,,,,,
BENITO JUAREZ,XI,1,001-B,27,113,131,71,3,0,16,361,640
BENITO JUAREZ,XI,1,001-C,36,102,115,57,1,0,14,325,640
BENITO JUAREZ,XI,1,001-C,29,98,105,40,1,0,12,285,640
BENITO JUAREZ,XI,1,001-C,28,91,130,93,1,0,23,366,640
BENITO JUAREZ,XI,1,001-C,26,101,116,71,1,0,11,326,641
BENITO JUAREZ,XI,2,002-B,35,105,131,59,0,0,14,344,688
BENITO JUAREZ,XI,2,002-C,35,96,121,65,1,0,14,332,688
BENITO JUAREZ,XI,2,002-C,30,107,103,99,3,0,14,356,689
BENITO JUAREZ,XI,2,002-C,29,90,115,85,3,0,14,336,689
BENITO JUAREZ,XI,2,002-C,25,99,107,98,4,0,21,354,689
BENITO JUAREZ,XI,2,002-C,19,96,119,71,1,0,18,324,689
BENITO JUAREZ,XI,2,002-C,37,99,101,82,4,0,0,323,689
BENITO JUAREZ,XI,11,011-B,27,109,138,61,0,0,13,348,726
BENITO JUAREZ,XI,11,011-C,35,125,146,45,2,0,19,372,726
BENITO JUAREZ,XI,11,011-C,41,122,146,54,0,0,7,370,726
BENITO JUAREZ,XI,11,011-C,32,112,136,45,0,0,12,337,726
BENITO JUAREZ,XI,11,011-C,28,107,137,52,1,0,18,343,726
BENITO JUAREZ,XI,11,011-C,22,125,128,59,0,0,12,346,726
BENITO JUAREZ,XI,11,011-C,34,108,120,58,4,0,9,333,727
BENITO JUAREZ,XI,11,011-C,21,108,137,46,1,0,10,323,727
BENITO JUAREZ,XI,11,011-C,44,98,157,45,2,0,16,362,727
BENITO JUAREZ,XI,11,011-C,27,107,136,63,2,0,10,345,727
BENITO JUAREZ,XI,11,011-C,25,111,129,64,1,0,19,349,727
BENITO JUAREZ,XI,11,011-C,31,104,121,50,4,0,17,327,727
BENITO JUAREZ,XI,11,011-C,33,117,133,59,1,0,16,359,727
BENITO JUAREZ,XI,11,011-C,32,84,155,52,0,0,10,333,727
BENITO JUAREZ,XI,11,011-C,28,88,127,68,2,0,8,321,727
BENITO JUAREZ,XI,11,011-C,41,119,124,57,1,0,17,359,737
BENITO JUAREZ,XI,11,011-C,39,88,158,48,1,0,13,347,727
BENITO JUAREZ,XI,22,022-B,51,151,130,32,2,0,8,374,718
BENITO JUAREZ,XI,23,023-B,24,58,84,36,0,0,11,213,377
BENITO JUAREZ,XI,23,023-C,32,71,65,20,0,0,2,190,378
BENITO JUAREZ,XI,24,024-B,40,84,48,42,1,0,2,217,392
BENITO JUAREZ,XI,24,024-C,44,64,60,45,1,0,6,220,392
BENITO JUAREZ,XI,25,025-B,71,94,102,59,1,0,7,334,620
BENITO JUAREZ,XI,26,026-B,52,123,91,59,2,0,13,340,639
BENITO JUAREZ,XI,27,027-B,36,82,74,30,0,0,10,232,471
BENITO JUAREZ,XI,27,027-C,42,83,77,42,0,0,7,251,472
BENITO JUAREZ,XI,28,028-B,38,83,75,44,3,0,16,259,511
BENITO JUAREZ,XI,28,028-C,25,90,87,46,1,0,14,263,512
BENITO JUAREZ,XI,29,029-B,28,70,48,37,4,0,4,191,417
BENITO JUAREZ,XI,29,029-C,38,68,76,35,1,1,10,229,417
BENITO JUAREZ,XI,30,030-B,41,86,87,71,3,0,13,301,639
BENITO JUAREZ,XI,31,031-B,36,149,117,65,2,0,16,385,723
BENITO JUAREZ,XI,41,041-B,40,78,101,42,1,0,6,268,598
BENITO JUAREZ,XI,42,042-B,26,116,119,59,0,0,14,334,668
BENITO JUAREZ,XI,43,043-B,26,72,68,36,1,0,7,210,397
BENITO JUAREZ,XI,43,043-C,26,80,79,23,1,0,9,218,397
BENITO JUAREZ,XI,44,044-B,39,100,88,51,4,0,9,291,562
BENITO JUAREZ,XI,44,044-C,38,107,91,37,0,0,4,277,562
BENITO JUAREZ,XI,58,058-B,97,79,56,89,3,0,5,329,554
BENITO JUAREZ,XI,59,059-B,122,66,85,57,3,2,321,656,647
BENITO JUAREZ,XI,60,060-B,28,68,98,95,1,0,5,295,593
BENITO JUAREZ,XI,61,061-B,38,72,61,41,2,0,9,223,384
BENITO JUAREZ,XI,61,061-C,25,75,67,27,0,0,9,203,384
BENITO JUAREZ,XI,62,062-B,47,134,124,54,5,0,11,375,731
BENITO JUAREZ,XI,63,063-B,66,102,120,62,4,0,11,365,717
BENITO JUAREZ,XI,64,064-B,29,83,71,24,5,0,13,225,406
BENITO JUAREZ,XI,64,064-C,15,73,83,23,3,0,12,209,406
BENITO JUAREZ,XI,65,065-B,36,77,86,44,1,0,10,254,583
BENITO JUAREZ,XI,65,065-C,33,89,119,47,2,0,7,297,583
BENITO JUAREZ,XI,66,066-B,55,82,126,37,9,0,8,317,701
BENITO JUAREZ,XI,67,067-B,34,72,131,42,3,0,9,291,737
BENITO JUAREZ,XI,68,068-B,25,74,60,26,0,0,11,196,436
BENITO JUAREZ,XI,68,068-C,25,65,55,47,3,0,11,206,436
BENITO JUAREZ,XI,69,069-B,27,37,56,22,1,0,263,406,401
BENITO JUAREZ,XI,69,069-C,29,39,62,30,0,0,6,166,401
BENITO JUAREZ,XI,77,077-B,105,45,56,60,3,0,3,272,570
BENITO JUAREZ,XI,78,078-B,33,33,57,52,0,0,2,177,389
BENITO JUAREZ,XI,79,079-B,33,75,68,33,2,1,8,220,407
BENITO JUAREZ,XI,79,079-C,26,74,60,25,0,0,6,191,407
BENITO JUAREZ,XI,80,080-B,63,115,94,87,1,0,9,369,685
BENITO JUAREZ,XI,81,081-B,21,63,74,39,2,1,11,211,426
BENITO JUAREZ,XI,81,081-C,33,70,53,43,1,0,8,208,426
BENITO JUAREZ,XI,82,082-B,56,134,109,59,3,0,17,378,720
BENITO JUAREZ,XI,83,083-B,49,83,84,50,1,0,6,273,527
BENITO JUAREZ,XI,83,083-C,30,74,84,37,3,0,5,233,528
BENITO JUAREZ,XI,84,084-B,41,82,62,29,2,0,7,223,528
BENITO JUAREZ,XI,84,084-C,38,75,61,25,2,0,11,212,529
BENITO JUAREZ,XI,98,098-B,30,57,66,45,1,0,6,205,389
BENITO JUAREZ,XI,98,098-C,25,69,72,41,5,0,11,223,389
BENITO JUAREZ,XI,99,099-B,76,101,68,49,4,0,9,307,640
BENITO JUAREZ,XI,100,100-B,82,51,78,52,11,1,2,277,583
BENITO JUAREZ,XI,110,110-B,73,87,86,62,5,0,1,314,701
BENITO JUAREZ,XI,111,111-B,31,77,47,68,2,0,12,237,439
BENITO JUAREZ,XI,112,112-B,54,103,67,46,4,0,11,285,567
BENITO JUAREZ,XI,113,113-B,61,90,82,57,5,0,4,299,670
BENITO JUAREZ,XI,118,118-B,43,74,49,54,2,0,9,231,502
BENITO JUAREZ,XI,120,120-B,53,60,43,49,1,0,5,211,415
BENITO JUAREZ,XI,120,120-C,51,55,45,51,3,0,7,212,415
BENITO JUAREZ,XI,120,120-E,,,,,,,,,
BENITO JUAREZ,XI,121,121-B,77,66,77,87,4,0,11,322,711
BENITO JUAREZ,XI,122,122-B,117,84,63,88,6,0,2,360,684
BENITO JUAREZ,XI,123,123-B,119,85,67,93,3,0,2,369,640
BENITO JUAREZ,XI,131,131-B,115,114,111,85,6,0,3,434,742
BENITO JUAREZ,XI,132,132-B,51,46,43,43,1,0,2,186,382
BENITO JUAREZ,XI,132,132-C,64,54,46,45,1,0,0,210,382
BENITO JUAREZ,XI,133,133-B,82,56,54,52,0,0,3,247,445
BENITO JUAREZ,XI,133,133-C,79,60,32,64,3,0,3,241,446
BENITO JUAREZ,XI,134,134-B,99,98,93,90,3,0,3,386,742
BENITO JUAREZ,XI,135,135-B,49,46,38,37,1,0,4,175,389
BENITO JUAREZ,XI,135,135-C,52,46,35,36,5,0,4,178,389
BENITO JUAREZ,XI,138,138-B,110,81,70,87,3,0,4,355,612
BENITO JUAREZ,XI,139,139-B,125,107,75,98,3,0,10,418,749
BENITO JUAREZ,XI,143,143-B,131,78,57,75,3,0,4,348,698
BENITO JUAREZ,XI,145,145-B,124,48,34,77,4,0,3,290,513
BENITO JUAREZ,XI,161,161-B,178,31,46,83,3,0,1,342,636
BENITO JUAREZ,XI,161,161-C,169,45,47,69,3,0,2,335,636
BENITO JUAREZ,XI,162,162-B,81,23,26,58,5,0,2,195,420
BENITO JUAREZ,XI,173,173-B,35,126,141,26,2,0,3,333,720
BENITO JUAREZ,XI,173,173-C,39,104,152,25,0,0,7,327,721
BENITO JUAREZ,XI,174,174-B,24,83,93,31,2,0,7,240,457
BENITO JUAREZ,XI,174,174-C,30,82,71,32,0,0,5,220,457
BENITO JUAREZ,XI,175,175-B,46,80,84,35,0,0,5,250,554
BENITO JUAREZ,XI,175,175-C,47,76,85,30,1,0,4,243,554
,,,,,,,,,,,,
BENITO JUAREZ,XII,18,018-B,36,99,141,26,0,0,10,312,592
BENITO JUAREZ,XII,18,018-C,44,122,117,26,2,0,9,320,593
BENITO JUAREZ,XII,19,019-B,47,113,127,44,0,0,17,348,661
BENITO JUAREZ,XII,19,019-C,42,124,120,37,3,0,10,336,661
BENITO JUAREZ,XII,20,020-B,34,104,79,53,0,0,4,274,536
BENITO JUAREZ,XII,21,021-B,63,77,79,60,3,0,4,286,477
BENITO JUAREZ,XII,21,021-C,49,67,69,72,3,0,6,266,477
BENITO JUAREZ,XII,45,045-B,65,94,69,109,2,0,10,349,607
BENITO JUAREZ,XII,45,045-C,68,103,74,90,4,0,4,343,607
BENITO JUAREZ,XII,46,046-B,29,114,128,41,1,0,1,314,604
BENITO JUAREZ,XII,46,046-C,35,137,120,37,0,0,6,335,605
BENITO JUAREZ,XII,55,055-B,32,95,78,36,1,0,11,253,504
BENITO JUAREZ,XII,55,055-C,50,94,93,25,1,0,11,274,505
BENITO JUAREZ,XII,56,056-B,36,76,78,22,0,0,3,215,452
BENITO JUAREZ,XII,56,056-C,24,96,81,26,2,0,4,233,452
BENITO JUAREZ,XII,57,057-B,42,62,66,43,2,0,2,217,436
BENITO JUAREZ,XII,57,057-C,43,69,61,32,2,2,2,211,437
BENITO JUAREZ,XII,74,074-B,41,102,109,66,2,0,6,326,623
BENITO JUAREZ,XII,74,074-C,57,103,114,71,1,0,7,353,624
BENITO JUAREZ,XII,75,075-B,30,79,86,23,1,0,10,229,460
BENITO JUAREZ,XII,75,075-C,34,89,89,29,4,0,10,255,460
BENITO JUAREZ,XII,76,076-B,69,55,116,64,2,0,1,307,570
BENITO JUAREZ,XII,76,076-C,56,56,98,53,2,0,8,273,570
BENITO JUAREZ,XII,101,101-B,52,102,102,54,3,0,19,332,645
BENITO JUAREZ,XII,103,103-B,51,43,68,57,2,0,3,224,356
BENITO JUAREZ,XII,104,104-B,81,91,63,69,3,0,7,314,468
BENITO JUAREZ,XII,104,104-C,71,85,65,66,2,0,0,289,468
BENITO JUAREZ,XII,105,105-B,72,84,76,53,1,0,3,289,437
BENITO JUAREZ,XII,105,105-C,70,63,53,56,3,1,3,249,437
BENITO JUAREZ,XII,106,106-B,95,110,103,66,4,0,4,382,654
BENITO JUAREZ,XII,107,107-B,33,98,73,38,0,0,9,251,494
BENITO JUAREZ,XII,107,107-C,31,78,84,37,3,0,7,240,495
BENITO JUAREZ,XII,108,108-B,27,74,70,27,2,0,8,208,419
BENITO JUAREZ,XII,108,108-C,34,83,69,22,4,0,9,221,419
BENITO JUAREZ,XII,109,109-B,42,64,83,30,2,0,5,226,502
BENITO JUAREZ,XII,109,109-C,35,86,83,39,1,0,11,255,503
BENITO JUAREZ,XII,124,124-B,68,42,48,40,2,0,4,204,398
BENITO JUAREZ,XII,124,124-C,69,43,45,37,4,0,3,201,399
BENITO JUAREZ,XII,125,125-B,73,50,49,43,2,0,2,219,384
BENITO JUAREZ,XII,125,125-C,47,64,47,57,4,0,7,226,384
BENITO JUAREZ,XII,126,126-B,98,60,51,56,0,0,4,269,608
BENITO JUAREZ,XII,126,126-C,110,52,72,67,2,0,4,307,608
BENITO JUAREZ,XII,126,126-C,104,48,63,65,4,0,1,285,609
BENITO JUAREZ,XII,127,127-B,56,109,127,43,2,0,10,347,537
BENITO JUAREZ,XII,127,127-C,43,109,103,29,1,0,6,291,537
BENITO JUAREZ,XII,127,127-C,47,101,112,37,3,0,10,310,538
BENITO JUAREZ,XII,128,128-B,157,61,71,97,3,0,0,389,717
BENITO JUAREZ,XII,129,129-B,91,16,40,46,3,0,3,199,350
BENITO JUAREZ,XII,130,130-B,122,50,61,73,4,0,4,314,524
BENITO JUAREZ,XII,140,140-B,101,54,50,59,3,0,3,270,461
BENITO JUAREZ,XII,141,141-B,89,57,71,73,2,0,1,293,571
BENITO JUAREZ,XII,142,142-B,129,65,62,63,4,0,0,323,564
BENITO JUAREZ,XII,146,146-B,154,46,65,74,1,0,6,346,606
BENITO JUAREZ,XII,146,146-C,138,38,56,88,3,0,4,327,608
BENITO JUAREZ,XII,146,146-E,,,,,,,,,
BENITO JUAREZ,XII,147,147-B,135,69,114,76,6,0,1,401,731
BENITO JUAREZ,XII,147,147-C,157,48,108,77,3,0,1,394,732
BENITO JUAREZ,XII,147,147-C,140,57,93,90,5,0,3,388,732
BENITO JUAREZ,XII,147,147-C,148,45,130,79,5,0,0,407,732
BENITO JUAREZ,XII,148,148-B,36,78,75,37,1,0,4,231,465
BENITO JUAREZ,XII,148,148-C,35,91,89,36,1,0,6,258,466
BENITO JUAREZ,XII,149,149-B,18,22,19,29,0,0,2,90,207
BENITO JUAREZ,XII,156,156-B,45,99,80,57,0,0,2,283,530
BENITO JUAREZ,XII,156,156-C,61,79,66,49,0,0,3,258,530
BENITO JUAREZ,XII,157,157-B,57,64,108,44,0,0,1,274,564
BENITO JUAREZ,XII,157,157-C,62,86,87,50,2,0,4,291,564
BENITO JUAREZ,XII,158,158-B,29,97,79,19,0,0,5,229,430
BENITO JUAREZ,XII,158,158-B,21,105,74,17,2,0,10,229,430
BENITO JUAREZ,XII,159,159-B,30,134,121,24,2,1,8,320,568
BENITO JUAREZ,XII,159,159-C,44,132,108,42,0,0,5,331,578
BENITO JUAREZ,XII,160,160-B,134,79,114,75,2,0,5,409,749
BENITO JUAREZ,XII,160,160-C,118,63,97,81,6,0,7,372,749
BENITO JUAREZ,XII,160,160-C,124,74,106,71,3,0,7,385,749
BENITO JUAREZ,XII,160,160-C,137,81,101,75,9,0,2,405,750
BENITO JUAREZ,XII,163,163-B,33,113,86,38,1,0,8,279,568
BENITO JUAREZ,XII,163,163-C,51,90,109,35,0,0,10,295,568
BENITO JUAREZ,XII,163,163-C,49,103,86,40,2,0,2,282,569
BENITO JUAREZ,XII,165,165-B,23,84,51,43,1,0,8,210,397
BENITO JUAREZ,XII,165,165-C,24,73,69,49,0,0,10,225,397
BENITO JUAREZ,XII,166,166-B,62,135,104,55,2,0,9,367,669
BENITO JUAREZ,XII,166,166-C,63,117,125,67,2,0,8,382,670
BENITO JUAREZ,XII,167,167-B,37,106,128,23,0,0,8,302,558
BENITO JUAREZ,XII,167,167-C,30,119,127,29,1,0,6,312,559
BENITO JUAREZ,XII,168,168-B,64,128,129,64,3,1,9,398,723
BENITO JUAREZ,XII,168,168-C,67,111,120,54,3,0,9,364,723
,,,,,,,,,,,,
BENITO JUAREZ,XIII,12,012-B,34,137,145,48,0,0,0,364,720
BENITO JUAREZ,XIII,12,012-C,44,153,140,41,2,0,27,407,720
BENITO JUAREZ,XIII,12,012-C,34,143,122,51,0,0,14,364,721
BENITO JUAREZ,XIII,13,013-B,40,137,113,45,2,0,16,353,694
BENITO JUAREZ,XIII,13,013-C,32,134,135,40,3,0,11,355,693
BENITO JUAREZ,XIII,14,014-B,44,144,115,22,1,0,9,335,613
BENITO JUAREZ,XIII,15,015-B,27,146,107,32,2,0,11,325,543
BENITO JUAREZ,XIII,15,015-C,27,123,101,39,0,0,7,297,543
BENITO JUAREZ,XIII,16,016-B,52,112,134,52,2,0,15,367,670
BENITO JUAREZ,XIII,16,016-C,41,113,143,49,1,0,17,364,668
BENITO JUAREZ,XIII,17,017-B,26,118,123,53,4,0,10,334,611
BENITO JUAREZ,XIII,17,017-C,33,140,106,43,1,0,14,337,622
BENITO JUAREZ,XIII,47,047-B,33,82,94,37,1,0,10,257,556
BENITO JUAREZ,XIII,47,047-C,26,93,106,40,1,0,12,278,557
BENITO JUAREZ,XIII,48,048-B,28,111,99,27,1,0,10,276,504
BENITO JUAREZ,XIII,48,048-C,28,112,74,36,0,0,7,257,504
BENITO JUAREZ,XIII,49,049-B,30,110,85,32,0,1,6,264,478
BENITO JUAREZ,XIII,49,049-C,20,98,100,29,0,0,7,254,479
BENITO JUAREZ,XIII,50,050-B,45,129,126,47,3,0,11,361,698
BENITO JUAREZ,XIII,50,050-C,44,135,136,59,1,0,9,384,698
BENITO JUAREZ,XIII,51,051-B,21,111,81,27,0,0,9,249,427
BENITO JUAREZ,XIII,51,051-C,14,118,75,26,0,0,207,440,440
BENITO JUAREZ,XIII,52,052-B,39,96,120,43,1,0,13,312,523
BENITO JUAREZ,XIII,52,052-C,36,86,98,44,2,0,11,277,522
BENITO JUAREZ,XIII,52,052-E,,,,,,,,,
BENITO JUAREZ,XIII,53,053-B,36,99,124,55,0,0,15,329,579
BENITO JUAREZ,XIII,53,053-C,24,110,113,51,2,0,16,316,580
BENITO JUAREZ,XIII,53,053-C,25,116,105,59,2,0,9,316,582
BENITO JUAREZ,XIII,54,054-B,37,102,112,56,2,0,13,322,607
BENITO JUAREZ,XIII,54,054-C,32,107,113,60,1,0,14,327,607
BENITO JUAREZ,XIII,54,054-C,29,115,107,60,2,0,12,325,607
BENITO JUAREZ,XIII,70,070-B,16,101,72,26,0,0,12,227,414
BENITO JUAREZ,XIII,70,070-C,18,91,75,29,1,0,6,220,414
BENITO JUAREZ,XIII,71,071-B,18,118,74,37,1,0,11,259,461
