CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0801,1,160,75,8,2,2,1,3,4,2,0,0,0,0,3,0,260,1,261,659
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0802,1,159,165,2,4,1,5,1,3,2,0,0,1,0,2,0,345,3,348,649
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0803,1,172,121,2,0,2,11,2,5,7,0,0,0,0,0,0,322,5,327,675
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0804,1,108,126,5,2,1,5,3,3,3,0,0,0,0,2,0,258,5,263,539
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0805,1,126,102,5,2,1,3,1,2,0,0,0,0,0,2,0,244,1,245,554
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0806,1,180,125,1,0,2,2,4,6,1,0,1,0,0,5,0,327,6,333,686
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0807,2,251,161,9,2,5,19,8,11,5,0,1,0,0,4,0,476,4,480,1059
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0808,2,251,185,8,6,2,28,2,18,5,0,4,0,0,2,2,511,11,524,1191
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0809,2,288,173,9,4,0,17,8,2,4,0,0,0,0,1,0,506,15,524,1087
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0810,3,444,332,15,3,2,28,13,10,7,2,8,3,0,5,0,872,6,883,1853
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0811,3,419,257,17,8,9,15,10,16,6,0,2,1,0,2,0,762,15,778,1702
