MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PC,PSN,PAS,El Barzon,Mexico Posible,PLM,FC,Nulos,No Registrados,PRD-PAS,PRD-PC,PRD-PVEM,PVEM-PAS,PRD-PVEM-PAS
TAMAZULA DE GORDIANO,2239,2239 B,68,126,,2,,0,0,1,0,0,0,0,11,0,,,61,,
TAMAZULA DE GORDIANO,2239,2239 Cl,77,115,,3,,0,0,0,2,0,1,0,14,0,,,76,,
TAMAZULA DE GORDIANO,2240,2240 B,10,36,,0,,0,0,1,0,0,0,0,5,0,,,17,,
TAMAZULA DE GORDIANO,2241,2241 B,71,41,,0,,0,0,0,2,0,0,0,8,0,,,18,,
TAMAZULA DE GORDIANO,2242,2242 B,28,39,,1,,0,1,0,0,0,0,0,4,1,,,10,,
TAMAZULA DE GORDIANO,2243,2243 B,92,80,,3,,0,0,1,3,0,0,1,6,0,,,67,,
TAMAZULA DE GORDIANO,2244,2244 B,96,117,,4,,0,1,0,0,4,0,0,17,0,,,87,,
TAMAZULA DE GORDIANO,2244,2244 C1,99,114,,4,,0,0,2,1,0,0,3,22,0,,,65,,
TAMAZULA DE GORDIANO,2244,2244 C2,102,101,,1,,0,2,1,0,0,0,1,6,0,,,83,,
TAMAZULA DE GORDIANO,2245,2245 B,24,10,,0,,0,0,3,0,0,0,0,3,0,,,17,,
TAMAZULA DE GORDIANO,2246,2246 B,16,106,,3,,1,0,0,0,0,0,1,12,0,,,41,,
,,,,,,,,,,,,,,,,,,,,,
TAMAZULA DE GORDIANO,2246,2246 El,7,109,,1,,0,0,1,0,0,0,9,6,0,,,13,,
TAMAZULA DE GORDIANO,2247,2247 B,92,63,,1,,0,0,0,0,0,0,0,29,0,,,140,,
TAMAZULA DE GORDIANO,2247,2247 El,87,101,,5,,0,0,1,0,1,0,0,22,0,,,134,,
TAMAZULA DE GORDIANO,2248,2248 B,161,76,,1,,1,1,1,0,0,0,0,11,0,,,107,,
TAMAZULA DE GORDIANO,2249,2249 B,47,37,,3,,0,1,0,0,1,0,0,6,0,,,28,,
TAMAZULA DE GORDIANO,2250,2250 B,20,20,,1,,0,0,0,0,0,0,0,3,0,,,2,,
TAMAZULA DE GORDIANO,2251,2251 B,26,83,,2,,0,0,0,0,0,0,0,9,0,,,42,,
TAMAZULA DE GORDIANO,2252,2252 B,81,110,,13,,0,2,1,0,1,0,0,15,0,,,74,,
TAMAZULA DE GORDIANO,2253,2253 B,43,74,,18,,0,0,1,0,0,0,0,10,0,,,106,,
TAMAZULA DE GORDIANO,2254,2254 B,86,48,,2,,0,0,1,0,1,0,0,5,0,,,48,,
TAMAZULA DE GORDIANO,2254,2254 Cl,80,50,,7,,0,1,2,0,1,0,0,7,0,,,50,,
TAMAZULA DE GORDIANO,2255,2255 B,101,98,,1,,0,0,0,0,0,0,0,10,0,,,36,,
TAMAZULA DE GORDIANO,2255,2255 El,106,53,,10,,0,0,0,0,0,0,0,8,0,,,58,,
TAMAZULA DE GORDIANO,2256,2256 B,77,114,,0,,0,0,0,0,0,0,0,6,0,,,53,,
TAMAZULA DE GORDIANO,2256,2256 El,32,55,,6,,1,1,0,0,0,0,0,12,0,,,40,,
TAMAZULA DE GORDIANO,2257,2257 B,56,80,,0,,0,1,0,0,2,1,0,7,0,,,66,,
TAMAZULA DE GORDIANO,2257,2257 C1,76,85,,0,,0,0,0,1,2,0,0,8,0,,,74,,
TAMAZULA DE GORDIANO,2258,2258 B,30,69,,0,,0,0,0,0,1,0,1,2,0,,,7,,
TAMAZULA DE GORDIANO,2259,2259 B,42,127,,4,,0,0,1,0,0,1,0,6,0,,,58,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TEOCALTICHE,2307,2307 B,138,160,9,14,,0,0,,1,0,0,0,14,1,,,,20,
TEOCALTICHE,2307,2307 Cl,143,157,8,11,,1,1,,0,2,0,0,11,0,,,,34,
TEOCALTICHE,2307,2307 C2,152,159,7,8,,0,0,,0,0,0,0,8,0,,,,30,
TEOCALTICHE,2308,2308 B,179,145,5,9,,0,0,,0,0,0,0,45,1,,,,16,
TEOCALTICHE,2308,2308 Cl,165,174,7,7,,1,0,,0,0,0,0,15,1,,,,18,
TEOCALTICHE,2308,2308 C2,176,178,5,9,,0,0,,0,0,0,0,13,0,,,,8,
TEOCALTICHE,2309,2309 B,112,96,12,12,,0,0,,0,0,0,0,9,0,,,,16,
TEOCALTICHE,2309,2309 Cl,122,108,6,8,,0,0,,0,0,0,0,12,0,,,,8,
TEOCALTICHE,2310,2310 B,99,100,9,6,,0,0,,0,1,0,0,4,0,,,,11,
TEOCALTICHE,2310,2310 Cl,106,85,4,8,,0,0,,0,0,0,0,7,0,,,,11,
TEOCALTICHE,2311,2311 B,117,110,7,5,,0,1,,0,0,0,0,10,0,,,,23,
TEOCALTICHE,2311,2311 Cl,128,123,2,5,,0,0,,0,0,0,0,6,0,,,,26,
TEOCALTICHE,2312,2312 B,111,109,5,4,,0,0,,0,0,0,0,4,0,,,,14,
TEOCALTICHE,2313,2313 B,145,177,11,22,,0,0,,0,0,0,0,13,0,,,,15,
TEOCALTICHE,2313,2313 Cl,157,179,4,18,,0,0,,0,0,0,0,11,0,,,,16,
TEOCALTICHE,2314,2314 B,88,102,8,8,,0,0,,0,0,0,1,6,0,,,,9,
TEOCALTICHE,2315,2315 B,143,98,11,12,,0,0,,0,0,0,0,12,0,,,,25,
TEOCALTICHE,2315,2315 Cl,138,109,11,8,,0,0,,0,0,0,0,16,0,,,,19,
TEOCALTICHE,2316,2316 B,129,95,12,14,,0,0,,0,0,0,0,13,2,,,,21,
TEOCALTICHE,2316,2316 Cl,108,119,13,22,,0,0,,0,0,0,0,7,0,,,,26,
TEOCALTICHE,2316,2316 C2,137,97,9,16,,0,0,,0,0,0,0,21,0,,,,36,
TEOCALTICHE,2317,2317 B,126,81,3,15,,0,0,,0,1,0,0,7,1,,,,10,
TEOCALTICHE,2317,2317 Cl,100,114,2,13,,0,0,,0,0,0,0,4,0,,,,6,
TEOCALTICHE,2318,2318 B,157,127,8,23,,0,0,,0,0,0,0,20,0,,,,49,
TEOCALTICHE,2318,2318 Cl,145,146,9,29,,0,0,,0,0,0,0,21,0,,,,25,
TEOCALTICHE,2318,2318 C2,146,139,7,33,,0,0,,0,0,0,0,22,3,,,,33,
TEOCALTICHE,2318,2318 C3,137,148,6,31,,0,0,,0,0,0,0,27,0,,,,33,
TEOCALTICHE,2319,2319 B,76,196,6,6,,0,0,,0,0,0,0,16,1,,,,7,
TEOCALTICHE,2319,2319 Cl,71,203,2,2,,0,0,,0,2,0,0,7,2,,,,3,
TEOCALTICHE,2319,2319 C2,77,197,4,2,,0,0,,0,0,0,0,8,1,,,,6,
TEOCALTICHE,2320,2320 B,101,259,8,7,,1,0,,0,1,0,2,12,0,,,,9,
TEOCALTICHE,2320,2320 Cl,78,214,7,8,,0,0,,0,2,2,0,10,0,,,,5,
TEOCALTICHE,2321,2321 B,32,220,8,4,,0,0,,0,0,0,0,20,0,,,,5,
TEOCALTICHE,2322,2322 B,90,80,3,5,,0,0,,0,0,0,0,14,0,,,,10,
TEOCALTICHE,2322,2322 Cl,101,72,3,2,,0,0,,0,1,0,0,16,0,,,,6,
TEOCALTICHE,2323,2323 B,78,122,5,9,,0,0,,0,1,0,0,9,0,,,,19,
TEOCALTICHE,2323,2323 Cl,67,172,6,7,,0,0,,0,0,0,0,12,0,,,,7,
TEOCALTICHE,2324,2324 B,74,132,5,11,,0,0,,1,1,0,0,11,0,,,,8,
TEOCALTICHE,2324,2324 Cl,103,115,9,7,,0,0,,0,0,0,0,10,3,,,,21,
TEOCALTICHE,2325,2325 B,76,213,2,10,,1,0,,0,0,0,0,7,0,,,,1,
TEOCALTICHE,2326,2326 B,47,162,2,1,,0,0,,0,0,1,0,17,0,,,,5,
TEOCALTICHE,2326,2326 C1,61,136,1,3,,0,0,,0,0,0,0,7,0,,,,3,
TEOCALTICHE,2327,2327 B,38,136,8,3,,0,0,,0,0,0,0,13,0,,,,5,
,,,,,,,,,,,,,,,,,,,,,
TEOCALTICHE,2328,2328 B,89,195,66,10,,0,0,,2,0,0,0,22,1,,,,11,
TEOCALTICHE,2329,2329 B,18,58,5,2,,0,0,,0,0,0,0,11,0,,,,20,
,,,,,,,,,,,,,,,,,,,,,
TEPATITLAN DE MORELOS,2340,2340 B,226,96,,9,,0,0,,0,0,0,0,17,0,,,,,9
TEPATITLAN DE MORELOS,2340,2340 Cl,213,103,,6,,0,1,,0,0,0,0,8,1,,,,,10
TEPATITLAN DE MORELOS,2340,2340 C2,218,81,,12,,0,0,,3,2,0,0,11,1,,,,,10
TEPATITLAN DE MORELOS,2341,2341 B,189,115,,6,,1,1,,0,0,1,1,13,0,,,,,19
TEPATITLAN DE MORELOS,2341,2341 Cl,210,100,,9,,1,0,,1,3,0,1,16,6,,,,,11
TEPATITLAN DE MORELOS,2341,2341 C2,188,95,,16,,1,0,,0,4,1,2,19,0,,,,,12
TEPATITLAN DE MORELOS,2342,2342 B,242,102,,13,,2,0,,1,2,0,2,17,1,,,,,13
TEPATITLAN DE MORELOS,2342,2342 Cl,229,106,,4,,0,1,,1,0,0,3,12,1,,,,,23
TEPATITLAN DE MORELOS,2342,2342 C2,235,88,,0,,1,1,,2,4,1,4,11,0,,,,,16
TEPATITLAN DE MORELOS,2343,2343 B,187,129,,7,,0,1,,1,0,0,0,19,0,,,,,18
TEPATITLAN DE MORELOS,2343,2343 Cl,150,142,,7,,0,0,,1,0,0,0,10,0,,,,,18
TEPATITLAN DE MORELOS,2343,2343C2,158,160,,2,,2,2,,1,1,0,1,14,0,,,,,18
TEPATITLAN DE MORELOS,2344,2344 B,201,168,,1,,0,0,,3,3,0,0,15,0,,,,,29
TEPATITLAN DE MORELOS,2344,2344 Cl,230,144,,6,,0,0,,0,0,0,0,10,7,,,,,17
TEPATITLAN DE MORELOS,2344,2344 C2,195,159,,4,,0,0,,0,0,0,0,18,4,,,,,27
TEPATITLAN DE MORELOS,2345,2345 B,192,94,,4,,0,0,,2,0,3,0,7,0,,,,,19
TEPATITLAN DE MORELOS,2345,2345 Cl,160,128,,3,,1,1,,0,1,0,0,3,0,,,,,13
TEPATITLAN DE MORELOS,2345,2345C2,133,126,,4,,2,1,,0,2,0,0,20,1,,,,,19
TEPATITLAN DE MORELOS,2346,2346 B,254,135,,9,,1,0,,2,3,0,0,20,0,,,,,16
TEPATITLAN DE MORELOS,2346,2346 Cl,214,173,,7,,0,1,,1,2,1,0,6,0,,,,,19
TEPATITLAN DE MORELOS,2346,2346 C2,244,142,,8,,0,3,,5,0,0,1,14,0,,,,,15
TEPATITLAN DE MORELOS,2347,2347 B,190,109,,6,,0,0,,0,0,0,0,13,0,,,,,8
TEPATITLAN DE MORELOS,2347,2347 Cl,200,114,,3,,0,0,,1,1,0,0,14,0,,,,,12
TEPATITLAN DE MORELOS,2347,2347 C2,191,97,,3,,0,1,,0,3,0,0,7,0,,,,,22
TEPATITLAN DE MORELOS,2348,2348 B,224,135,,3,,1,0,,0,0,0,0,18,0,,,,,17
TEPATITLAN DE MORELOS,2348,2348 Cl,245,116,,5,,0,2,,2,3,0,3,11,0,,,,,19
TEPATITLAN DE MORELOS,2348,2348C2,192,14,,10,,0,0,,0,0,0,0,20,0,,,,,25
TEPATITLAN DE MORELOS,2349,2349 B,190,161,,3,,0,0,,0,0,0,0,13,0,,,,,6
TEPATITLAN DE MORELOS,2349,2349 Cl,198,146,,5,,0,0,,0,0,0,0,7,0,,,,,17
TEPATITLAN DE MORELOS,2350,2350 B,194,170,,5,,0,0,,2,0,0,0,11,0,,,,,12
TEPATITLAN DE MORELOS,2350,2350 Cl,204,167,,7,,0,0,,0,3,0,0,13,0,,,,,20
TEPATITLAN DE MORELOS,2351,2351 B,169,162,,3,,2,0,,1,2,1,0,16,0,,,,,16
TEPATITLAN DE MORELOS,2351,2351 Cl,213,151,,6,,1,0,,1,1,0,1,10,4,,,,,12
TEPATITLAN DE MORELOS,2352,2352 B,147,156,,4,,0,0,,0,0,1,0,10,1,,,,,22
TEPATITLAN DE MORELOS,2352,2352 Cl,177,123,,0,,0,0,,0,0,0,0,19,0,,,,,24
TEPATITLAN DE MORELOS,2352,2352 C2,171,157,,1,,0,0,,0,0,0,0,15,0,,,,,14
TEPATITLAN DE MORELOS,2352,2352 C3,124,151,,7,,0,0,,0,0,0,0,19,1,,,,,15
TEPATITLAN DE MORELOS,2353,2353 B,148,102,,3,,0,0,,0,1,0,0,10,0,,,,,9
TEPATITLAN DE MORELOS,2353,2353 Cl,153,95,,4,,0,0,,0,1,0,1,13,0,,,,,12
TEPATITLAN DE MORELOS,2353,2353 C2,129,107,,3,,0,1,,0,2,0,0,5,0,,,,,10
TEPATITLAN DE MORELOS,2354,2354 B,191,125,,6,,1,3,,0,1,0,0,16,0,,,,,8
TEPATITLAN DE MORELOS,2354,2354 Cl,197,142,,3,,0,2,,0,0,0,0,14,0,,,,,11
TEPATITLAN DE MORELOS,2354,2354 C2,186,141,,1,,1,0,,1,1,0,0,5,0,,,,,18
,,,,,,,,,,,,,,,,,,,,,
TEPATITLAN DE MORELOS,2354,2354 C3,155,119,,9,,1,0,,1,2,0,1,17,0,,,,,17
TEPATITLAN DE MORELOS,2355,2355 B,127,141,,5,,1,0,,0,1,0,1,5,2,,,,,13
TEPATITLAN DE MORELOS,2355,2355 Cl,154,119,,3,,1,0,,1,1,0,0,13,1,,,,,3
TEPATITLAN DE MORELOS,2355,2355C2,139,140,,6,,0,0,,0,0,0,0,10,0,,,,,20
TEPATITLAN DE MORELOS,2356,2356 B,178,214,,3,,0,0,,1,1,0,0,11,0,,,,,14
TEPATITLAN DE MORELOS,2356,2356 Cl,159,221,,5,,0,0,,0,0,0,0,29,0,,,,,19
TEPATITLAN DE MORELOS,2357,2357 B,197,121,,2,,0,1,,0,0,0,0,12,0,,,,,5
TEPATITLAN DE MORELOS,2357,2357 Cl,165,127,,2,,0,1,,1,1,0,0,11,0,,,,,16
TEPATITLAN DE MORELOS,2357,2357 C2,180,93,,8,,0,0,,0,0,0,0,14,0,,,,,19
TEPATITLAN DE MORELOS,2357,2357C3,180,123,,7,,0,2,,0,1,0,1,13,0,,,,,15
TEPATITLAN DE MORELOS,2357,2357C4,155,151,,6,,1,1,,2,4,0,0,16,0,,,,,6
TEPATITLAN DE MORELOS,2358,2358 B,169,142,,0,,0,0,,0,2,0,0,9,0,,,,,10
TEPATITLAN DE MORELOS,2358,2358 Cl,188,128,,4,,1,1,,1,0,0,0,12,0,,,,,11
TEPATITLAN DE MORELOS,2358,2358C2,149,152,,3,,0,0,,0,0,0,0,17,5,,,,,16
TEPATITLAN DE MORELOS,2359,2359 B,172,158,,3,,0,2,,2,1,0,0,5,3,,,,,20
TEPATITLAN DE MORELOS,2359,2359 Cl,188,167,,4,,1,1,,0,2,0,1,11,1,,,,,18
TEPATITLAN DE MORELOS,2359,2359 C2,168,166,,5,,0,0,,0,4,0,0,9,3,,,,,11
TEPATITLAN DE MORELOS,2360,2360 B,235,118,,7,,0,0,,2,1,1,0,11,0,,,,,16
TEPATITLAN DE MORELOS,2360,2360 Cl,249,115,,3,,0,0,,0,0,0,0,13,0,,,,,12
TEPATITLAN DE MORELOS,2360,2360 C2,205,121,,3,,0,0,,0,0,0,0,13,8,,,,,23
TEPATITLAN DE MORELOS,2360,2360 C3,216,130,,7,,0,0,,0,0,0,0,20,0,,,,,25
TEPATITLAN DE MORELOS,2361,2361 B,199,176,,8,,1,0,,0,0,0,1,6,1,,,,,34
TEPATITLAN DE MORELOS,2361,2361 Cl,220,138,,4,,0,0,,0,0,0,0,12,0,,,,,31
TEPATITLAN DE MORELOS,2361,2361 C2,208,169,,3,,1,0,,1,0,0,1,14,0,,,,,27
TEPATITLAN DE MORELOS,2361,2361 C3,179,169,,4,,0,0,,2,1,1,1,9,0,,,,,26
TEPATITLAN DE MORELOS,2361,2361 C4,214,143,,3,,1,2,,4,0,0,0,23,1,,,,,31
TEPATITLAN DE MORELOS,2362,2362 B,182,96,,1,,0,0,,0,0,0,0,15,0,,,,,14
TEPATITLAN DE MORELOS,2362,2362 Cl,182,130,,5,,0,1,,2,2,0,0,5,0,,,,,17
TEPATITLAN DE MORELOS,2362,2362C2,180,113,,7,,1,1,,0,1,1,0,7,0,,,,,20
TEPATITLAN DE MORELOS,2362,2362 C3,163,122,,6,,2,0,,1,2,0,2,9,1,,,,,23
TEPATITLAN DE MORELOS,2363,2363 B,217,150,,3,,2,1,,1,1,0,1,8,0,,,,,13
TEPATITLAN DE MORELOS,2363,2363 Cl,200,121,,7,,3,0,,1,0,0,0,5,0,,,,,32
TEPATITLAN DE MORELOS,2363,2363C2,182,151,,5,,0,0,,0,0,0,0,20,0,,,,,17
TEPATITLAN DE MORELOS,2364,2364 B,204,115,,6,,2,0,,0,0,0,1,22,0,,,,,6
TEPATITLAN DE MORELOS,2364,2364 Cl,204,132,,4,,1,0,,1,2,0,0,31,0,,,,,21
TEPATITLAN DE MORELOS,2364,2364 C2,201,107,,6,,1,1,,4,3,0,0,23,9,,,,,32
TEPATITLAN DE MORELOS,2364,2364 C3,213,116,,2,,0,1,,0,1,0,0,24,0,,,,,28
TEPATITLAN DE MORELOS,2364,2364 C4,198,101,,11,,1,3,,1,3,0,1,21,0,,,,,27
TEPATITLAN DE MORELOS,2365,2365 B,200,154,,10,,1,1,,1,3,1,2,23,0,,,,,14
TEPATITLAN DE MORELOS,2365,2365 Cl,194,121,,17,,1,3,,2,4,0,1,29,0,,,,,18
TEPATITLAN DE MORELOS,2366,2366 B,209,135,,12,,0,0,,0,0,0,0,35,0,,,,,20
TEPATITLAN DE MORELOS,2366,2366 Cl,245,112,,9,,3,0,,3,2,0,0,23,0,,,,,14
TEPATITLAN DE MORELOS,2367,2367 B,143,73,,5,,0,0,,0,7,0,1,20,0,,,,,5
,,,,,,,,,,,,,,,,,,,,,
TEPATITLAN DE MORELOS,2367,2367 Cl,145,59,,10,,0,0,,0,0,0,0,50,0,,,,,7
TEPATITLAN DE MORELOS,2368,2368 B,148,79,,5,,0,3,,1,0,2,0,15,0,,,,,13
TEPATITLAN DE MORELOS,2369,2369 B,126,203,,2,,2,0,,5,2,0,2,17,0,,,,,7
TEPATITLAN DE MORELOS,2369,2369 Cl,110,220,,4,,0,0,,0,0,0,0,16,4,,,,,2
TEPATITLAN DE MORELOS,2369,2369 C2,11,167,,7,,1,3,,0,1,0,0,10,3,,,,,10
TEPATITLAN DE MORELOS,2370,2370 B,122,185,,8,,0,3,,3,2,1,0,19,0,,,,,7
TEPATITLAN DE MORELOS,2370,2370 Cl,165,174,,5,,3,1,,0,1,0,3,23,0,,,,,5
TEPATITLAN DE MORELOS,2370,2370 C2,110,171,,7,,3,0,,0,8,0,0,19,1,,,,,12
TEPATITLAN DE MORELOS,2371,2371 B,194,196,,3,,0,0,,0,2,0,1,20,0,,,,,11
TEPATITLAN DE MORELOS,2371,2371 Cl,192,190,,9,,0,0,,3,1,0,0,20,0,,,,,13
TEPATITLAN DE MORELOS,2371,2371 C2,190,207,,11,,0,0,,0,1,0,2,26,0,,,,,11
TEPATITLAN DE MORELOS,2371,2371 C3,174,204,,6,,0,0,,0,0,0,0,14,0,,,,,11
TEPATITLAN DE MORELOS,2372,2372 B,140,256,,2,,0,1,,1,2,1,0,23,0,,,,,10
TEPATITLAN DE MORELOS,2372,2372 Cl,162,224,,3,,0,0,,0,0,0,0,23,0,,,,,13
TEPATITLAN DE MORELOS,2372,2372C2,158,207,,9,,0,2,,1,1,0,1,30,0,,,,,15
TEPATITLAN DE MORELOS,2373,2373 B,138,125,,17,,3,1,,3,5,0,0,28,0,,,,,25
TEPATITLAN DE MORELOS,2373,2373 Cl,141,112,,10,,0,2,,2,0,0,0,0,0,,,,,20
TEPATITLAN DE MORELOS,2374,2374 B,159,130,,6,,0,0,,0,0,0,0,33,0,,,,,17
TEPATITLAN DE MORELOS,2374,2374 Cl,144,151,,6,,1,0,,1,4,0,4,21,0,,,,,10
TEPATITLAN DE MORELOS,2375,2375B,120,142,,10,,3,0,,0,2,1,1,20,0,,,,,14
TEPATITLAN DE MORELOS,2375,2375 Cl,129,128,,10,,3,0,,3,0,0,2,36,0,,,,,19
TEPATITLAN DE MORELOS,2377,2377 B,68,24,,3,,0,0,,3,0,0,0,10,0,,,,,2
TEPATITLAN DE MORELOS,2378,2378 B,130,38,,4,,0,0,,0,0,0,0,11,0,,,,,4
TEPATITLAN DE MORELOS,2378,2378 E1,59,52,,5,,0,0,,2,1,0,0,17,0,,,,,16
TEPATITLAN DE MORELOS,2379,2379 B,31,27,,1,,0,0,,0,0,0,0,5,0,,,,,3
TEPATITLAN DE MORELOS,2380,2380 B,71,43,,1,,0,0,,0,1,0,0,9,0,,,,,7
TEPATITLAN DE MORELOS,2381,2381 B,223,66,,7,,1,1,,1,0,0,0,19,0,,,,,10
TEPATITLAN DE MORELOS,2381,2381 Cl,196,61,,3,,0,1,,2,2,0,0,21,0,,,,,10
TEPATITLAN DE MORELOS,2382,2382 B,266,46,,4,,1,7,,3,0,0,0,21,21,,,,,6
TEPATITLAN DE MORELOS,2383,2383 B,161,99,,10,,0,0,,0,0,0,0,23,0,,,,,43
TEPATITLAN DE MORELOS,2384,2384 B,52,25,,3,,0,0,,0,0,1,0,9,0,,,,,9
TEPATITLAN DE MORELOS,2385,2385 B,89,79,,4,,2,0,,0,0,0,0,14,0,,,,,6
TEPATITLAN DE MORELOS,2386,2386 B,263,132,,5,,1,1,,1,2,0,1,14,0,,,,,8
TEPATITLAN DE MORELOS,2387,2387 B,105,37,,7,,0,0,,1,1,0,0,49,0,,,,,8
TEPATITLAN DE MORELOS,2388,2388 B,72,31,,4,,0,0,,0,1,0,0,15,0,,,,,11
TEPATITLAN DE MORELOS,2389,2389B,116,148,,7,,2,2,,3,2,1,2,33,0,,,,,17
TEPATITLAN DE MORELOS,2389,2389 Cl,139,129,,5,,2,0,,0,3,0,0,21,0,,,,,13
TEPATITLAN DE MORELOS,2389,2389C2,132,157,,5,,1,0,,5,4,0,2,29,0,,,,,20
TEPATITLAN DE MORELOS,2390,2390 B,132,25,,7,,3,1,,1,4,0,1,17,0,,,,,15
TEPATITLAN DE MORELOS,2391,2391 B,38,4,,0,,0,0,,0,0,0,0,9,0,,,,,20
TEPATITLAN DE MORELOS,2392,2392 B,253,87,,4,,1,1,,1,0,0,0,30,0,,,,,23
TEPATITLAN DE MORELOS,2392,2392 Cl,246,56,,4,,1,0,,3,1,0,0,34,0,,,,,21
TEPATITLAN DE MORELOS,2393,2393 B,117,61,,2,,0,1,,1,3,0,1,24,0,,,,,12
,,,,,,,,,,,,,,,,,,,,,
TEPATITLAN DE MORELOS,2394,2394 B,79,31,,3,,1,1,,2,1,1,0,38,0,,,,,89
TEPATITLAN DE MORELOS,2394,2394 El,42,37,,3,,1,1,,0,1,0,0,0,0,,,,,12
TEPATITLAN DE MORELOS,2395,2395 B,240,111,,9,,0,0,,0,0,0,0,15,0,,,,,21
