DISTRITO,MUNICIPIO,DTO_R,CAB_R,MUNI_R,SECCION,CASILLA,PAN,FIDE,PRD,PRV,NO_REG,NULOS
CORDOBA,CORDOBA,16,0,46,997,B,76,115,73,9,0,3
CORDOBA,CORDOBA,16,0,46,997,C,83,110,72,5,1,4
CORDOBA,CORDOBA,16,0,46,998,B,75,118,68,6,0,0
CORDOBA,CORDOBA,16,0,46,998,C,65,125,85,5,0,9
CORDOBA,CORDOBA,16,0,46,999,B,121,166,85,7,1,9
CORDOBA,CORDOBA,16,0,46,1000,B,84,99,39,7,0,2
CORDOBA,CORDOBA,16,0,46,1000,C,89,92,60,2,0,6
CORDOBA,CORDOBA,16,0,46,1001,B,127,136,67,11,0,8
CORDOBA,CORDOBA,16,0,46,1001,C,143,161,62,8,0,10
CORDOBA,CORDOBA,16,0,46,1002,B,176,153,81,0,0,0
CORDOBA,CORDOBA,16,0,46,1002,C,218,101,51,4,0,3
CORDOBA,CORDOBA,16,0,46,1003,B,93,95,41,0,0,5
CORDOBA,CORDOBA,16,0,46,1003,C,89,104,45,1,0,4
CORDOBA,CORDOBA,16,0,46,1004,B,95,143,88,5,0,3
CORDOBA,CORDOBA,16,0,46,1005,B,95,135,89,3,1,2
CORDOBA,CORDOBA,16,0,46,1006,B,123,158,85,13,0,3
CORDOBA,CORDOBA,16,0,46,1007,B,98,75,28,12,0,6
CORDOBA,CORDOBA,16,0,46,1007,C,62,86,46,10,0,0
CORDOBA,CORDOBA,16,0,46,1008,B,112,117,58,4,0,12
CORDOBA,CORDOBA,16,0,46,1008,C,120,113,44,7,0,8
CORDOBA,CORDOBA,16,0,46,1009,B,150,166,57,7,0,0
CORDOBA,CORDOBA,16,0,46,1010,B,107,141,58,3,0,9
CORDOBA,CORDOBA,16,0,46,1010,C,110,111,53,10,0,5
CORDOBA,CORDOBA,16,0,46,1011,B,125,120,62,4,0,4
CORDOBA,CORDOBA,16,0,46,1011,C,116,123,65,6,0,1
CORDOBA,CORDOBA,16,0,46,1012,B,134,280,12,4,0,10
CORDOBA,CORDOBA,16,0,46,1013,B,109,79,40,2,0,5
CORDOBA,CORDOBA,16,0,46,1013,C,90,86,41,2,0,7
CORDOBA,CORDOBA,16,0,46,1014,B,108,170,61,7,1,4
CORDOBA,CORDOBA,16,0,46,1014,C,120,169,49,8,0,4
CORDOBA,CORDOBA,16,0,46,1015,B,154,103,76,4,1,3
CORDOBA,CORDOBA,16,0,46,1016,B,140,115,122,19,0,8
CORDOBA,CORDOBA,16,0,46,1017,B,88,73,55,9,0,6
CORDOBA,CORDOBA,16,0,46,1017,C,74,87,49,14,0,4
CORDOBA,CORDOBA,16,0,46,1018,B,142,123,57,6,1,5
CORDOBA,CORDOBA,16,0,46,1019,B,134,107,86,5,0,6
CORDOBA,CORDOBA,16,0,46,1019,C,155,106,84,7,0,3
CORDOBA,CORDOBA,16,0,46,1020,B,155,122,60,1,0,3
CORDOBA,CORDOBA,16,0,46,1021,B,79,90,52,7,1,5
CORDOBA,CORDOBA,16,0,46,1021,C,92,92,53,3,0,7
CORDOBA,CORDOBA,16,0,46,1022,B,105,112,66,2,0,6
CORDOBA,CORDOBA,16,0,46,1022,C,100,130,81,4,0,4
CORDOBA,CORDOBA,16,0,46,1023,B,152,146,83,6,0,3
CORDOBA,CORDOBA,16,0,46,1024,B,182,111,87,7,0,4
CORDOBA,CORDOBA,16,0,46,1025,B,198,120,90,14,0,11
CORDOBA,CORDOBA,16,0,46,1026,B,86,93,38,10,0,2
CORDOBA,CORDOBA,16,0,46,1026,C,99,97,32,2,0,3
CORDOBA,CORDOBA,16,0,46,1027,B,93,76,64,10,0,3
CORDOBA,CORDOBA,16,0,46,1027,C,96,87,32,3,0,4
CORDOBA,CORDOBA,16,0,46,1028,B,92,152,68,7,0,5
CORDOBA,CORDOBA,16,0,46,1028,C,96,164,50,6,0,0
CORDOBA,CORDOBA,16,0,46,1029,B,107,171,51,4,0,18
CORDOBA,CORDOBA,16,0,46,1029,C,101,187,43,5,0,8
CORDOBA,CORDOBA,16,0,46,1030,B,126,240,32,4,0,6
CORDOBA,CORDOBA,16,0,46,1030,C,135,206,30,9,0,5
CORDOBA,CORDOBA,16,0,46,1030,C2,125,217,39,5,0,0
CORDOBA,CORDOBA,16,0,46,1031,B,112,194,41,9,0,8
CORDOBA,CORDOBA,16,0,46,1031,C,121,162,34,2,0,6
CORDOBA,CORDOBA,16,0,46,1032,B,130,212,41,3,0,4
CORDOBA,CORDOBA,16,0,46,1032,C,162,157,42,6,0,10
CORDOBA,CORDOBA,16,0,46,1033,B,172,165,42,11,0,9
CORDOBA,CORDOBA,16,0,46,1033,C,161,178,40,5,0,11
CORDOBA,CORDOBA,16,0,46,1034,B,149,142,41,8,0,5
CORDOBA,CORDOBA,16,0,46,1034,C,167,133,50,6,0,16
CORDOBA,CORDOBA,16,0,46,1035,B,121,95,43,8,0,4
CORDOBA,CORDOBA,16,0,46,1035,C,105,98,57,2,0,16
CORDOBA,CORDOBA,16,0,46,1036,B,66,88,64,5,0,3
CORDOBA,CORDOBA,16,0,46,1036,C,99,48,65,6,,5
CORDOBA,CORDOBA,16,0,46,1037,B,44,104,65,7,0,3
CORDOBA,CORDOBA,16,0,46,1037,C,63,82,67,5,0,5
CORDOBA,CORDOBA,16,0,46,1038,B,92,102,58,4,0,0
CORDOBA,CORDOBA,16,0,46,1038,C,90,122,49,4,0,9
CORDOBA,CORDOBA,16,0,46,1039,B,114,98,58,7,0,9
CORDOBA,CORDOBA,16,0,46,1039,C,104,92,58,5,0,4
CORDOBA,CORDOBA,16,0,46,1040,B,201,119,64,6,0,7
CORDOBA,CORDOBA,16,0,46,1041,B,105,49,73,0,0,2
CORDOBA,CORDOBA,16,0,46,1041,C,84,89,44,5,0,5
CORDOBA,CORDOBA,16,0,46,1042,B,206,137,66,5,1,3
CORDOBA,CORDOBA,16,0,46,1043,B,129,116,66,6,0,3
CORDOBA,CORDOBA,16,0,46,1043,C,154,99,82,6,0,5
CORDOBA,CORDOBA,16,0,46,1044,B,131,112,67,4,0,13
CORDOBA,CORDOBA,16,0,46,1045,B,171,106,88,6,0,2
CORDOBA,CORDOBA,16,0,46,1045,C,157,122,75,4,1,2
CORDOBA,CORDOBA,16,0,46,1046,B,142,102,130,6,0,8
CORDOBA,CORDOBA,16,0,46,1047,B,111,74,95,3,0,2
CORDOBA,CORDOBA,16,0,46,1047,C,95,77,89,2,0,8
CORDOBA,CORDOBA,16,0,46,1048,B,97,124,48,4,0,4
CORDOBA,CORDOBA,16,0,46,1048,C,84,156,42,3,0,2
CORDOBA,CORDOBA,16,0,46,1049,B,162,109,68,3,1,1
CORDOBA,CORDOBA,16,0,46,1049,C,135,97,75,7,0,22
CORDOBA,CORDOBA,16,0,46,1050,B,146,108,87,3,0,2
CORDOBA,CORDOBA,16,0,46,1050,C,135,134,84,2,0,5
CORDOBA,CORDOBA,16,0,46,1051,B,167,142,62,5,0,4
CORDOBA,CORDOBA,16,0,46,1051,C,162,138,62,9,1,9
CORDOBA,CORDOBA,16,0,46,1052,B,191,113,100,0,0,3
CORDOBA,CORDOBA,16,0,46,1053,B,169,144,86,2,0,6
CORDOBA,CORDOBA,16,0,46,1054,B,119,105,57,2,0,1
CORDOBA,CORDOBA,16,0,46,1054,C,112,87,74,7,1,10
CORDOBA,CORDOBA,16,0,46,1055,B,170,107,93,6,0,7
CORDOBA,CORDOBA,16,0,46,1055,C,160,118,70,11,0,5
CORDOBA,CORDOBA,16,0,46,1056,B,121,110,43,6,0,9
CORDOBA,CORDOBA,16,0,46,1056,C,121,139,68,8,0,14
CORDOBA,CORDOBA,16,0,46,1057,B,123,127,70,9,0,5
CORDOBA,CORDOBA,16,0,46,1058,B,107,61,43,10,0,4
CORDOBA,CORDOBA,16,0,46,1058,C,74,81,45,5,0,0
CORDOBA,CORDOBA,16,0,46,1059,B,164,124,44,5,0,11
CORDOBA,CORDOBA,16,0,46,1059,C,152,122,32,8,0,0
CORDOBA,CORDOBA,16,0,46,1059,C2,127,122,50,3,0,6
CORDOBA,CORDOBA,16,0,46,1060,B,149,190,77,7,0,8
CORDOBA,CORDOBA,16,0,46,1060,C,151,194,77,1,0,7
CORDOBA,CORDOBA,16,0,46,1061,B,100,103,30,7,0,5
CORDOBA,CORDOBA,16,0,46,1061,C,94,101,24,1,0,2
CORDOBA,CORDOBA,16,0,46,1062,B,177,120,44,10,0,7
CORDOBA,CORDOBA,16,0,46,1062,C,167,154,33,6,0,14
CORDOBA,CORDOBA,16,0,46,1062,C2,156,131,40,6,0,14
CORDOBA,CORDOBA,16,0,46,1062,C3,162,151,52,3,0,7
CORDOBA,CORDOBA,16,0,46,1063,B,132,102,46,7,0,6
CORDOBA,CORDOBA,16,0,46,1063,C,102,113,68,3,0,7
CORDOBA,CORDOBA,16,0,46,1064,B,128,77,57,5,0,0
CORDOBA,CORDOBA,16,0,46,1064,C,123,66,50,2,0,3
CORDOBA,CORDOBA,16,0,46,1065,B,168,118,72,6,0,4
CORDOBA,CORDOBA,16,0,46,1065,C,154,118,69,6,0,5
CORDOBA,CORDOBA,16,0,46,1066,B,188,138,72,5,0,4
CORDOBA,CORDOBA,16,0,46,1066,C,187,157,58,3,0,7
CORDOBA,CORDOBA,16,0,46,1067,B,109,88,60,6,0,3
CORDOBA,CORDOBA,16,0,46,1067,C,108,103,48,1,0,0
CORDOBA,CORDOBA,16,0,46,1068,B,173,116,67,3,0,4
CORDOBA,CORDOBA,16,0,46,1068,C,167,140,75,7,0,4
CORDOBA,CORDOBA,16,0,46,1069,B,92,89,32,7,0,4
CORDOBA,CORDOBA,16,0,46,1069,C,94,100,36,2,0,1
CORDOBA,CORDOBA,16,0,46,1070,B,184,153,59,6,0,7
CORDOBA,CORDOBA,16,0,46,1071,B,91,66,85,4,0,4
CORDOBA,CORDOBA,16,0,46,1071,C,106,85,69,3,0,8
CORDOBA,CORDOBA,16,0,46,1072,B,161,147,79,3,0,7
CORDOBA,CORDOBA,16,0,46,1072,C,162,156,82,6,0,7
CORDOBA,CORDOBA,16,0,46,1072,C2,171,161,69,4,0,6
CORDOBA,CORDOBA,16,0,46,1073,B,148,124,35,8,0,6
CORDOBA,CORDOBA,16,0,46,1073,C,155,110,50,6,0,4
CORDOBA,CORDOBA,16,0,46,1074,B,98,136,34,4,0,7
CORDOBA,CORDOBA,16,0,46,1074,C,,,,,,
CORDOBA,CORDOBA,16,0,46,1075,B,231,214,12,2,0,28
CORDOBA,CORDOBA,16,0,46,1075,X,43,90,5,1,0,4
CORDOBA,CORDOBA,16,0,46,1076,B,218,182,42,0,0,21
CORDOBA,CORDOBA,16,0,46,1076,X,163,76,12,2,0,11
CORDOBA,CORDOBA,16,0,46,1077,B,183,86,21,1,0,12
CORDOBA,CORDOBA,16,0,46,1077,X,159,89,8,3,0,14
CORDOBA,CORDOBA,16,0,46,1078,B,173,152,44,4,1,14
CORDOBA,CORDOBA,16,0,46,1079,B,243,100,42,3,0,9
CORDOBA,CORDOBA,16,0,46,1079,C,230,102,30,3,0,12
CORDOBA,CORDOBA,16,0,46,1079,X,25,30,5,5,0,2
CORDOBA,CORDOBA,16,0,46,1080,B,98,113,19,2,0,11
CORDOBA,CORDOBA,16,0,46,1080,C,101,102,24,3,0,10
CORDOBA,CORDOBA,16,0,46,1081,B,160,86,55,4,0,13
CORDOBA,CORDOBA,16,0,46,1081,C,176,85,51,0,0,10
CORDOBA,CORDOBA,16,0,46,1082,B,141,95,67,2,0,4
CORDOBA,CORDOBA,16,0,46,1082,C,117,85,67,1,0,18
CORDOBA,CORDOBA,16,0,46,1083,B,142,176,59,4,0,14
CORDOBA,CORDOBA,16,0,46,1083,C,182,169,57,4,0,0
CORDOBA,CORDOBA,16,0,46,1084,B,169,98,79,7,0,8
CORDOBA,CORDOBA,16,0,46,1084,C,151,100,81,4,0,7
CORDOBA,CORDOBA,16,0,46,1084,C2,150,107,62,4,0,0
CORDOBA,CORDOBA,16,0,46,1084,X,162,106,59,1,0,13
CORDOBA,CORDOBA,16,0,46,1085,B,176,148,31,1,0,4
CORDOBA,CORDOBA,16,0,46,1085,C,207,112,27,0,0,5
CORDOBA,CORDOBA,16,0,46,1086,B,108,120,22,7,0,0
CORDOBA,CORDOBA,16,0,46,1086,C,125,119,24,3,0,9
CORDOBA,CORDOBA,16,0,46,1087,B,169,204,15,8,0,0
CORDOBA,CORDOBA,16,0,46,1087,C,195,161,24,5,0,11
CORDOBA,CORDOBA,16,0,46,1088,B,131,145,30,7,0,11
CORDOBA,CORDOBA,16,0,46,1089,B,84,266,34,4,0,12
CORDOBA,CORDOBA,16,0,46,1089,C,111,257,41,4,0,13
CORDOBA,CORDOBA,16,0,46,1089,C2,96,275,38,1,0,6
CORDOBA,CORDOBA,16,0,46,1089,C3,99,278,26,3,0,9
CORDOBA,CORDOBA,16,0,46,1089,C4,102,245,35,3,0,14
CORDOBA,CORDOBA,16,0,46,1089,C5,108,269,29,6,0,0
CORDOBA,CORDOBA,16,0,46,1089,C6,102,258,39,3,0,9
CORDOBA,CORDOBA,16,0,46,1089,C7,106,256,29,9,0,8
CORDOBA,CORDOBA,16,0,46,1089,C8,103,265,26,0,0,21
CORDOBA,CORDOBA,16,0,46,1090,B,113,126,20,3,1,3
CORDOBA,CORDOBA,16,0,46,1090,C,128,95,30,4,0,8
CORDOBA,CORDOBA,16,0,46,1091,B,164,130,80,6,0,6
CORDOBA,CORDOBA,16,0,46,1091,C,179,141,59,5,0,7
CORDOBA,CORDOBA,16,0,46,1091,C2,168,155,64,2,0,5
CORDOBA,CORDOBA,16,0,46,1091,C3,165,153,71,7,0,6
CORDOBA,CORDOBA,16,0,46,1091,C4,182,148,58,3,0,5
CORDOBA,CORDOBA,16,0,46,1092,B,133,106,79,12,0,2
CORDOBA,CORDOBA,16,0,46,1092,C,133,110,99,4,0,3
CORDOBA,CORDOBA,16,0,46,1093,B,138,194,17,1,0,6
CORDOBA,CORDOBA,16,0,46,1093,C,137,155,17,1,0,4
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1094,B,37,42,185,0,0,29
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1094,C,36,57,175,0,0,12
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1095,B,39,71,193,0,0,17
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1095,C,54,71,177,0,0,21
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1095,C2,49,88,193,0,0,0
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1096,B,64,95,181,0,0,12
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1096,C,92,83,189,0,0,0
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1097,B,35,81,105,0,0,9
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1097,C,35,45,136,0,0,10
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1098,B,56,77,245,0,0,15
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1099,B,38,48,141,0,0,9
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1099,C,48,61,133,0,0,0
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1100,B,46,76,154,0,0,8
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1100,C,63,77,169,0,0,13
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1101,B,40,75,129,0,0,15
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1101,C,47,53,118,0,0,16
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1102,B,39,79,127,0,0,10
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1102,C,43,66,156,0,0,8
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1103,B,59,70,148,0,0,9
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1103,C,57,72,138,0,0,6
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1104,B,33,88,109,0,0,0
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1104,C,39,82,117,0,0,9
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1105,B,88,115,188,0,0,11
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1106,B,67,69,163,0,0,9
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1106,C,66,71,171,0,0,5
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1107,B,77,96,268,0,0,14
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1107,C,58,118,256,0,0,6
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1108,B,63,79,182,0,0,0
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1108,C,58,68,164,0,0,9
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1109,B,91,102,216,0,0,7
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1110,B,68,60,139,0,0,7
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1110,C,73,46,113,0,0,7
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1111,B,106,101,169,0,0,24
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1111,C,75,111,201,0,0,12
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1112,B,40,96,118,0,0,0
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1112,C,35,85,126,0,0,10
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1113,B,64,84,137,0,0,9
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1113,C,49,100,153,0,0,11
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1114,B,60,116,133,0,0,9
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1114,C,65,134,143,0,0,21
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1115,B,85,117,197,0,1,18
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1115,C,88,83,204,0,0,14
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1116,B,41,91,201,0,0,14
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1116,C,30,72,226,0,0,31
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1117,B,17,82,129,0,0,35
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1117,X,50,92,113,0,0,0
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1118,B,278,52,39,43,0,13
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1119,B,56,47,255,29,0,20
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1120,B,118,105,78,83,0,0
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1120,C,92,122,62,83,0,11
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1121,B,137,140,65,80,0,22
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1122,B,113,87,29,40,0,4
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1122,C,79,102,30,54,0,9
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1123,B,132,111,104,75,0,30
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1124,B,110,99,58,59,0,0
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1125,B,37,41,62,80,0,19
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1125,C,41,45,50,91,0,15
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1126,B,136,81,78,90,0,19
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1126,C,147,77,71,127,0,13
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1127,B,105,71,67,137,0,21
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1127,C,128,82,67,131,0,16
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1128,B,140,118,58,70,0,9
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1128,C,117,111,74,79,0,13
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1129,B,161,142,60,68,0,12
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1130,B,75,174,41,46,0,26
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1130,C,87,164,49,58,0,11
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1131,B,81,86,44,106,0,0
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1131,C,107,83,59,82,0,0
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1132,B,92,136,42,81,0,16
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1132,C,111,149,40,69,0,19
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1133,B,113,127,135,0,0,14
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1133,C,95,144,150,0,0,0
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1134,B,48,168,247,0,0,28
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1134,C,64,135,261,0,0,22
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1135,B,31,132,27,0,0,9
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1136,B,44,74,38,0,0,6
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1137,B,90,245,157,0,0,20
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1137,C,93,182,184,0,0,26
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1138,B,34,307,84,0,0,15
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1139,B,43,313,104,0,0,11
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1140,B,38,258,117,0,0,17
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1140,C,42,255,118,0,0,14
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1141,B,55,121,131,0,0,13
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1141,C,47,144,114,0,0,16
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1142,B,55,95,118,0,0,24
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1142,C,56,98,117,0,0,27
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1143,B,35,87,39,83,0,11
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1143,C,48,77,63,57,0,16
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1144,B,19,36,67,19,6,0
COSAMALOAPAN,CARLOS A. CARRILLO,23,1,208,1145,B,94,97,134,62,2,31
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1146,B,60,142,90,0,0,23
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1146,C,50,153,84,0,0,9
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1147,B,60,88,128,0,1,14
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1147,C,58,93,129,0,0,8
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1148,B,125,162,145,0,2,8
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1148,C,124,187,153,0,0,15
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1149,B,41,69,114,0,0,6
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1149,C,42,52,124,0,0,11
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1150,B,61,91,116,0,0,7
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1150,C,45,99,125,0,0,10
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1151,B,79,75,69,0,0,15
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1151,C,99,70,76,0,0,16
COSAMALOAPAN,COSAMALOAPAN,23,0,47,1152,B,86,165,100,0,0,0
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1153,B,74,79,142,0,0,13
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1153,C,68,72,148,0,0,16
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1154,B,147,117,215,0,2,11
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1155,B,101,69,172,0,0,14
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1155,C,86,57,162,0,0,21
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1156,B,91,77,123,0,2,25
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1156,C,131,53,120,0,0,28
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1156,X,65,50,72,0,0,12
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1157,B,111,22,178,0,1,12
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1157,C,83,38,180,0,0,0
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1158,B,80,31,210,0,0,0
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1158,C,69,53,194,0,0,19
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1158,C2,91,62,181,0,0,28
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1159,B,119,50,97,0,0,22
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1159,C,109,49,122,0,0,28
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1160,B,119,67,129,0,0,29
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1160,C,125,62,131,0,3,17
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1161,B,186,23,118,0,1,16
COATEPEC,COSAUTLAN DE CARVAJAL,13,1,48,1161,C,166,30,122,0,0,26
HUATUSCO,COSCOMATEPEC,14,1,49,1162,B,169,76,78,32,0,19
HUATUSCO,COSCOMATEPEC,14,1,49,1162,C,114,69,95,37,0,15
HUATUSCO,COSCOMATEPEC,14,1,49,1163,B,119,63,126,55,0,6
HUATUSCO,COSCOMATEPEC,14,1,49,1163,C,100,52,148,55,0,20
HUATUSCO,COSCOMATEPEC,14,1,49,1164,B,101,54,127,30,0,19
HUATUSCO,COSCOMATEPEC,14,1,49,1164,C,144,58,110,33,0,11
HUATUSCO,COSCOMATEPEC,14,1,49,1165,B,152,63,143,42,0,22
HUATUSCO,COSCOMATEPEC,14,1,49,1165,C,183,39,114,43,0,33
HUATUSCO,COSCOMATEPEC,14,1,49,1166,B,57,43,86,96,0,7
HUATUSCO,COSCOMATEPEC,14,1,49,1166,C,45,28,92,91,0,17
HUATUSCO,COSCOMATEPEC,14,1,49,1167,B,57,78,133,47,0,16
HUATUSCO,COSCOMATEPEC,14,1,49,1167,C,86,106,108,48,0,8
HUATUSCO,COSCOMATEPEC,14,1,49,1168,B,105,99,104,53,0,26
HUATUSCO,COSCOMATEPEC,14,1,49,1168,C,93,86,130,80,0,21
HUATUSCO,COSCOMATEPEC,14,1,49,1169,B,103,98,86,59,0,23
HUATUSCO,COSCOMATEPEC,14,1,49,1169,C,78,82,91,77,0,16
HUATUSCO,COSCOMATEPEC,14,1,49,1169,C2,71,87,112,64,0,20
HUATUSCO,COSCOMATEPEC,14,1,49,1170,B,44,101,135,7,0,23
HUATUSCO,COSCOMATEPEC,14,1,49,1170,C,32,80,124,23,0,18
HUATUSCO,COSCOMATEPEC,14,1,49,1171,B,72,56,62,26,0,22
HUATUSCO,COSCOMATEPEC,14,1,49,1171,C,60,45,81,43,0,11
HUATUSCO,COSCOMATEPEC,14,1,49,1172,B,93,28,79,112,0,22
HUATUSCO,COSCOMATEPEC,14,1,49,1172,X,164,115,38,32,0,21
HUATUSCO,COSCOMATEPEC,14,1,49,1173,B,54,139,230,17,0,42
HUATUSCO,COSCOMATEPEC,14,1,49,1174,B,111,49,27,40,0,26
HUATUSCO,COSCOMATEPEC,14,1,49,1174,C,107,50,30,34,0,28
HUATUSCO,COSCOMATEPEC,14,1,49,1174,X,30,44,162,6,0,18
HUATUSCO,COSCOMATEPEC,14,1,49,1175,B,6,37,186,45,1,40
HUATUSCO,COSCOMATEPEC,14,1,49,1175,C,6,30,212,49,1,29
HUATUSCO,COSCOMATEPEC,14,1,49,1176,B,7,50,195,144,0,43
