ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_PRI_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,12,EL BARRIO DE LA SOLEDAD,10,19,1244,2380,278,113,64,392,96,67,97,685,50,161,45,,4,,481,,,,3,6157,305,6465,10045,0.6436
20,OAXACA,15,CHAHUITES,7,14,215,1345,380,240,715,1566,9,36,15,551,15,9,40,,0,,61,,,,2,5197,230,5429,7941,0.6837
20,OAXACA,57,MATIAS ROMERO AVENDAÑO,25,54,2904,3517,643,263,256,470,102,1342,147,2333,141,93,113,,2,,2227,,,,6,14553,792,15351,29038,0.5287
20,OAXACA,72,REFORMA DE PINEDA,2,4,32,727,129,58,53,13,4,12,10,304,6,23,4,,0,,66,,,,0,1441,80,1521,2054,0.7405
20,OAXACA,199,SAN JUAN GUICHICOVI,23,43,270,3797,6851,222,499,21,37,268,46,385,31,29,23,,0,,2125,,,,16,14604,888,15508,21929,0.7072
20,OAXACA,263,SAN MIGUEL CHIMALAPA,6,9,94,1202,428,30,50,1,14,12,22,155,4,5,16,,0,,382,,,,0,2415,121,2536,4647,0.5457
20,OAXACA,325,SAN PEDRO TAPANATEPEC,9,18,2441,2699,134,670,87,15,3,15,11,551,17,6,40,,2,,56,,,,0,6747,251,6998,9737,0.7187
20,OAXACA,405,SANTA MARIA CHIMALAPA,6,11,124,1088,275,52,170,8,22,36,24,179,13,17,9,,0,,266,,,,0,2283,173,2456,4855,0.5059
20,OAXACA,427,SANTA MARIA PETAPA,10,18,363,2304,500,52,1597,56,33,79,37,505,24,25,73,,0,,907,,,,0,6555,269,6824,11006,0.6200
20,OAXACA,481,SANTIAGO NILTEPEC,7,8,28,986,743,30,599,3,16,5,19,296,21,19,7,,0,,76,,,,18,2848,113,2979,4033,0.7387
20,OAXACA,509,SANTO DOMINGO INGENIO,5,12,475,2784,171,99,46,8,9,374,14,318,35,8,24,,0,,118,,,,7,4483,287,4777,6365,0.7505
20,OAXACA,525,SANTO DOMINGO ZANATEPEC,9,17,85,1220,550,440,61,235,35,1517,597,664,47,67,9,,0,,90,,,,0,5617,245,5862,8202,0.7147
20,OAXACA,33,GUADALUPE ETLA,1,3,66,160,47,21,348,13,14,10,42,152,,6,7,9,,,,,,,0,895,22,917,1946,0.4712
20,OAXACA,63,NAZARENO ETLA,2,5,79,267,100,33,730,12,8,11,23,277,,17,5,8,,,,,,,0,1570,45,1615,3091,0.5225
20,OAXACA,81,SAN AGUSTIN ETLA,2,4,130,276,125,62,209,13,36,73,13,382,,35,7,20,,,,,,,0,1381,68,1449,2968,0.4882
20,OAXACA,84,SAN AGUSTIN YATARENI,2,5,119,127,38,23,70,14,30,71,22,173,,11,6,2,,,,,,,0,706,30,736,3038,0.2423
20,OAXACA,88,SAN ANDRES HUAYAPAM,2,6,294,309,127,38,144,32,41,101,40,398,,37,11,12,,,,,,,4,1584,75,1663,3611,0.4605
20,OAXACA,89,SAN ANDRES IXTLAHUACA,1,2,115,138,41,12,103,9,57,7,6,60,,1,3,12,,,,,,,0,564,32,596,1265,0.4711
20,OAXACA,132,SAN FELIPE TEJALAPAM,4,8,214,475,106,75,165,11,637,28,9,371,,10,3,23,,,,,,,0,2127,79,2206,5077,0.4345
20,OAXACA,227,SAN LORENZO CACAOTEPEC,5,16,409,965,342,148,678,64,301,103,144,1163,,82,40,44,,,,,,,3,4483,173,4659,10162,0.4585
20,OAXACA,291,SAN PABLO ETLA,3,15,552,919,293,125,492,62,283,83,80,1327,,156,28,36,,,,,,,7,4436,175,4618,9939,0.4646
20,OAXACA,308,SAN PEDRO IXTLAHUACA,2,9,403,553,268,113,267,22,220,44,38,397,,21,42,23,,,,,,,0,2411,125,2536,5929,0.4277
20,OAXACA,347,SAN SEBASTIAN TUTLA,7,19,861,1229,464,175,564,140,191,247,258,1794,,218,78,46,,,,,,,16,6265,315,6596,12169,0.5420
20,OAXACA,376,SANTA CRUZ AMILPAS,4,13,622,767,252,197,320,582,502,170,157,1049,,265,21,20,,,,,,,3,4924,259,5186,8120,0.6387
20,OAXACA,392,SANTA LUCIA DEL CAMINO,23,64,2167,3570,1735,585,1571,929,1247,741,782,5631,,1507,149,101,,,,,,,45,20715,1066,21826,38380,0.5687
20,OAXACA,537,SOLEDAD ETLA,3,7,153,570,148,78,1126,111,24,68,268,165,,14,6,11,,,,,,,0,2742,71,2813,4022,0.6994
20,OAXACA,66,OAXACA DE JUAREZ,147,372,15796,25306,8346,3026,10555,1886,2525,3712,1497,29323,,2800,1117,785,,,,2411,2271,1964,156,113320,4942,118418,219629,0.5392
20,OAXACA,154,SAN JACINTO AMILPAS,3,14,291,1062,995,109,810,173,225,104,165,1293,,104,35,15,,,,247,,,5,5628,198,5831,10083,0.5783
20,OAXACA,400,SANTA MARIA ATZOMPA,3,31,594,1682,777,191,1359,260,378,152,176,2624,,139,54,65,,,,268,,,6,8719,331,9056,21413,0.4229
20,OAXACA,26,CUILAPAM DE GUERRERO,6,22,668,1444,2125,119,556,384,151,398,218,1573,,165,179,27,,,,,,,4,8007,378,8389,14054,0.5969
20,OAXACA,104,SAN ANTONIO DE LA CAL,5,23,668,934,1134,102,615,65,261,163,163,1699,,110,124,40,,,,,,,5,6078,274,6357,15079,0.4216
20,OAXACA,339,SAN RAYMUNDO JALPAN,1,3,74,136,142,51,71,10,14,15,62,297,,8,9,4,,,,,,,0,893,20,913,1722,0.5302
20,OAXACA,386,SANTA CRUZ XOXOCOTLAN,20,90,2192,5900,7042,511,3789,292,1130,628,1134,7793,,1229,336,133,,,,,,,32,32109,1245,33386,61222,0.5453
20,OAXACA,566,VILLA DE ZAACHILA,7,38,390,3028,2659,505,511,88,356,585,731,3407,,218,106,55,,,,,,,8,12639,626,13273,25813,0.5142
20,OAXACA,3,ANIMAS TRUJANO,2,5,155,390,165,46,159,59,33,34,10,337,,30,16,8,,,,,,,3,1442,46,1491,2948,0.5058
20,OAXACA,8,ASUNCION OCOTLAN,3,5,232,451,122,17,18,4,9,517,11,97,,4,7,9,,,,,,,0,1498,81,1579,2626,0.6013
20,OAXACA,10,AYOQUEZCO DE ALDAMA,4,8,406,271,111,50,86,161,97,36,11,301,,6,43,4,,,,,,,3,1583,82,1668,3962,0.4210
20,OAXACA,17,CIENEGA DE ZIMATLAN,2,4,89,786,546,16,38,12,3,12,80,75,,7,14,8,,,,,,,0,1686,50,1736,2416,0.7185
20,OAXACA,47,MAGDALENA MIXTEPEC,1,1,16,108,157,3,5,75,89,1,2,16,,0,6,0,,,,,,,0,478,11,489,724,0.6754
20,OAXACA,67,OCOTLAN DE MORELOS,15,30,1149,1860,2123,146,465,651,102,935,356,2919,,120,75,19,,,,,,,8,10920,541,11469,15804,0.7257
20,OAXACA,80,SAN AGUSTIN DE LAS JUNTAS,2,9,287,583,361,68,414,62,81,29,41,716,,50,30,20,,,,,,,5,2742,100,2847,6107,0.4662
20,OAXACA,98,SAN ANDRES ZABACHE,1,1,9,101,111,7,11,4,24,4,7,24,,2,4,2,,,,,,,0,310,24,334,647,0.5162
20,OAXACA,100,SAN ANTONINO CASTILLO VELASCO,4,8,120,364,430,21,63,228,53,34,45,633,,235,34,10,,,,,,,2,2270,189,2461,4067,0.6051
20,OAXACA,101,SAN ANTONINO EL ALTO,2,3,99,266,201,26,40,60,36,32,6,100,,7,8,2,,,,,,,0,883,46,929,1676,0.5543
20,OAXACA,105,SAN ANTONIO HUITEPEC,6,7,137,295,229,27,250,78,265,20,264,260,,6,53,5,,,,,,,1,1889,69,1959,3071,0.6379
20,OAXACA,112,SAN BARTOLO COYOTEPEC,3,10,317,578,372,56,693,86,62,77,54,825,,77,44,18,,,,,,,7,3259,143,3409,6276,0.5432
20,OAXACA,120,SAN BERNARDO MIXTEPEC,2,4,140,235,237,13,34,179,45,14,6,108,,5,19,4,,,,,,,0,1039,57,1096,2180,0.5028
20,OAXACA,129,SAN DIONISIO OCOTLAN,1,2,55,115,119,8,60,11,1,16,17,88,,5,4,2,,,,,,,0,501,21,522,928,0.5625
20,OAXACA,186,SAN JUAN CHILATECA,1,2,137,173,281,8,16,6,9,9,10,151,,9,16,4,,,,,,,0,829,29,858,1197,0.7168
20,OAXACA,241,SAN MARTIN LACHILA,1,2,62,115,138,6,13,2,168,2,3,26,,2,10,2,,,,,,,0,549,21,570,886,0.6433
20,OAXACA,243,SAN MARTIN TILCAJETE,1,2,90,105,162,8,23,7,3,20,12,120,,8,12,1,,,,,,,2,571,51,624,1380,0.4522
20,OAXACA,270,SAN MIGUEL MIXTEPEC,2,4,198,200,309,31,53,61,114,29,18,196,,7,12,6,,,,,,,0,1234,85,1319,2023,0.6520
