CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,C,4,0,C04,73,14,33,13,52,9,13,204,60,4,9,0,0,0,0,0,0,12,496,0,7,503,743,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,C,5,0,C05,70,25,31,12,45,11,18,139,48,8,6,6,2,11,2,1,1,16,452,1,10,463,742,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,C,3,0,C03,77,22,24,16,44,13,17,190,51,5,8,0,0,0,14,0,0,20,501,0,9,510,743,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,C,2,0,C02,55,17,25,15,55,13,17,156,41,3,7,2,2,15,3,2,7,19,454,0,8,462,743,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,198,B,1,0,B,49,14,28,8,36,4,10,131,36,3,9,2,3,14,1,0,3,13,364,0,9,373,579,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,198,C,1,0,C01,46,14,26,13,48,8,7,103,32,8,4,1,1,15,1,0,3,5,335,0,3,338,579,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,198,C,2,0,C02,61,15,40,12,169,61,6,169,169,40,4,0,0,0,0,0,0,8,754,0,3,757,579,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,198,C,3,0,C03,79,25,38,22,42,14,12,143,46,7,5,1,2,8,1,1,4,10,460,0,13,473,579,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,B,1,0,B,44,8,17,17,37,8,9,130,25,8,9,4,2,16,2,2,7,12,357,0,16,373,604,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,C,2,0,C02,45,20,24,12,40,5,3,123,40,5,9,3,3,11,1,1,6,16,367,1,13,381,603,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,C,3,0,C03,50,18,22,9,45,4,13,115,43,4,12,6,1,12,1,1,4,20,380,0,16,396,603,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,C,1,0,C01,56,8,21,10,35,7,11,111,37,7,7,2,1,8,3,1,8,18,351,0,14,365,603,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,C,4,0,C04,61,16,25,6,31,9,4,130,39,7,11,5,2,22,1,4,2,15,390,0,12,402,603,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,200,B,1,0,B,94,15,28,14,42,15,9,130,44,4,9,1,1,10,1,1,4,14,436,0,15,451,670,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,200,C,2,0,C02,84,12,26,15,32,13,13,137,45,4,9,1,1,0,2,0,5,23,422,0,11,433,669,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,200,C,1,0,C01,84,32,26,9,42,17,11,132,37,5,8,0,0,13,2,1,1,12,432,0,11,443,669,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,201,B,1,0,B,59,12,22,14,39,6,9,92,34,3,4,1,0,7,3,2,3,17,327,0,7,334,510,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,201,C,1,0,C01,49,18,15,25,29,10,4,101,42,4,6,3,2,15,1,0,3,11,338,0,14,352,510,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,201,C,2,0,C02,56,15,26,5,33,12,7,103,17,6,7,2,6,9,4,6,1,11,326,0,15,341,510,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,202,B,1,0,B,52,22,34,20,56,9,15,162,43,2,0,3,0,17,1,0,6,23,465,2,15,482,738,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,202,C,1,0,C01,62,18,29,15,56,11,15,153,43,2,5,5,2,15,1,0,6,24,462,0,13,475,737,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,202,C,2,0,C02,62,32,30,11,50,10,12,143,39,6,8,0,0,10,1,0,1,13,428,0,18,446,737,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,203,B,1,0,B,49,17,30,16,37,9,9,138,43,4,7,0,4,14,2,0,1,11,391,1,10,402,586,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,203,C,2,0,C02,71,9,15,7,44,7,16,133,40,6,5,0,4,10,2,2,1,11,383,0,11,394,585,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,203,C,1,0,C01,52,16,21,11,37,8,12,120,44,3,3,2,0,0,2,1,2,10,344,0,10,354,585,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,204,B,1,0,B,77,23,16,11,51,8,14,149,37,3,5,6,1,10,1,2,1,16,431,0,11,442,693,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,204,C,1,0,C01,98,18,21,18,44,15,14,150,35,3,4,4,1,13,5,1,9,17,470,0,17,487,692,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,204,C,2,0,C02,91,22,27,11,31,10,14,176,42,3,6,4,2,13,0,0,4,17,473,2,17,492,692,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,B,1,0,B,103,12,18,13,37,14,17,140,30,7,9,3,3,11,2,0,9,10,438,1,10,449,665,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,C,1,0,C01,84,26,31,13,52,15,16,131,38,2,13,1,2,15,3,11,0,8,461,0,11,472,665,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,C,2,0,C02,75,21,30,12,55,9,8,143,30,2,6,3,1,10,5,3,2,12,427,1,16,444,665,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,C,3,0,C03,85,14,27,14,34,11,11,133,41,3,18,2,3,14,2,1,8,18,439,0,8,447,665,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,212,B,1,0,B,47,14,22,5,33,9,7,95,34,9,6,2,1,10,3,2,4,16,319,1,11,331,534,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,212,C,1,0,C01,57,8,21,16,30,7,10,101,29,2,5,6,0,8,0,0,0,13,313,0,17,330,533,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,212,C,2,0,C02,51,22,14,6,40,6,14,96,28,1,12,1,2,12,2,0,0,14,321,0,8,329,533,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,213,B,1,0,B,42,27,14,7,39,9,9,128,41,2,4,2,3,7,2,1,14,14,365,0,17,382,600,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,213,C,2,0,C02,55,23,19,11,39,5,14,140,53,4,7,0,3,15,3,0,4,16,411,0,10,421,599,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,213,C,1,0,C01,45,24,30,8,35,12,3,119,46,3,4,0,3,11,1,2,4,10,360,0,13,373,599,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,214,B,1,0,B,81,30,21,13,29,3,11,136,45,3,11,4,2,10,3,1,5,12,420,0,12,432,662,Grupo de recuento,,,
