CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,194,B,27,118,14,19,9,15,15,96,37,2,,,,,2,,,,,1,354,8,363,681,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,195,B,15,80,13,9,8,13,4,92,22,1,,,,,5,,,,,0,262,13,275,478,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,196,B,36,107,14,24,8,6,9,75,19,1,,,,,1,,,,,0,300,13,313,526,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,197,B,39,145,12,15,10,14,14,101,24,1,,,,,0,,,,,0,375,15,390,659,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,198,B,26,91,15,13,9,11,9,92,28,4,,,,,3,,,,,1,301,14,316,513,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,199,B,36,84,12,16,9,4,3,47,13,2,,,,,0,,,,,0,226,4,230,407,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,235,B,13,96,49,16,41,1,12,75,18,2,1,1,0,0,,,,,,0,325,21,346,597,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,236,B,5,84,35,5,0,2,1,30,3,5,1,1,0,0,,,,,,0,172,2,174,231,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,237,B,15,127,57,9,4,3,6,94,5,2,3,1,1,0,,,,,,0,327,7,334,495,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,238,B,12,42,25,5,1,0,1,38,2,1,0,0,0,0,,,,,,0,127,4,131,205,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,239,B,18,136,28,21,11,4,9,141,21,3,2,0,0,0,,,,,,0,394,15,409,659,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,240,B,31,143,28,14,7,1,4,85,24,3,0,3,0,0,,,,,,1,343,10,354,524,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,241,B,10,85,7,12,1,4,3,24,11,0,0,1,0,0,,,,,,0,158,5,163,228,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,242,B,9,84,7,16,2,8,4,69,8,3,,,,,0,,,,2,0,212,6,218,334,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,243,B,20,166,12,21,20,2,6,147,25,5,,,,,0,,,,8,0,432,12,444,670,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,244,B,9,130,8,16,3,5,2,85,17,1,,,,,0,,,,2,0,278,8,286,405,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,245,B,29,94,35,25,11,6,2,117,11,7,,,,,3,,,,13,0,353,9,362,562,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,246,B,27,101,23,15,5,3,3,134,10,4,,,,,2,,,,5,0,332,12,344,517,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,247,B,14,82,10,4,5,3,2,40,2,0,,,,,1,,,,3,0,166,2,168,222,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,248,B,11,102,13,11,2,2,2,85,19,0,,,,,3,,,,21,0,271,13,284,450,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,249,B,25,174,30,16,9,12,7,71,21,2,,,,,1,,,,11,0,379,17,396,638,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,250,B,12,171,4,23,7,8,5,60,22,0,,,,,0,,,,10,0,322,7,329,549,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,251,B,13,59,8,13,8,11,4,60,6,3,,,,,1,,,,4,0,190,9,199,377,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,252,B,17,97,8,9,5,9,2,93,16,3,,,,,1,,,,15,0,275,10,285,469,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,253,B,42,92,27,17,7,6,7,133,19,11,0,2,0,0,,,,,,0,363,7,370,595,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,254,B,10,24,17,6,0,1,2,16,22,1,0,0,0,0,,,,,,0,99,0,99,233,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,255,B,13,20,7,6,1,0,1,13,9,6,0,0,0,0,,,,,,0,76,2,78,139,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,256,B,36,92,26,17,10,7,5,97,14,3,0,1,0,1,,,,,,0,309,11,320,563,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,257,B,12,103,14,15,6,2,9,38,21,0,0,0,0,0,,,,,,0,220,11,231,377,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,258,B,9,82,13,8,1,1,0,16,2,0,0,2,0,0,,,,,,0,134,5,139,206,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,259,B,10,131,29,16,30,1,3,79,2,1,0,1,0,1,,,,,,0,304,11,315,472,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,260,B,19,83,23,22,14,7,3,135,29,1,4,0,0,0,,,,,,0,340,13,353,557,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,261,B,21,38,29,9,7,3,6,106,6,7,,,,,0,,,,18,0,250,12,262,412,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,262,B,3,27,5,2,11,0,1,17,3,2,,,,,0,,,,1,0,72,1,73,116,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,263,B,9,72,16,10,4,5,3,114,14,0,0,0,0,0,,,,,,0,247,6,253,426,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,264,B,25,124,19,21,13,13,5,144,47,1,0,0,0,0,,,,,,1,412,15,428,718,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,265,B,17,116,13,14,22,8,10,103,24,1,,,,,0,,,,9,0,337,6,343,615,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,266,B,12,110,6,14,10,10,8,67,28,0,,,,,5,,,,2,0,272,6,278,494,GRUPO DE RECUENTO,,,
