CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRD_PVEM,C_COMUN_PRD_MC,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,5,PARACHO,16,COENEO,283,1,2,36,40,6,,2,2,38,13,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,0,5,145,235
5,16,MICHOACAN,5,PARACHO,16,COENEO,284,2,10,43,201,13,,2,5,69,20,,,,,1,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,0,37,405,729
5,16,MICHOACAN,5,PARACHO,16,COENEO,285,1,5,20,83,21,,4,15,68,14,,,,,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,0,16,249,516
5,16,MICHOACAN,3,MARAVATÍO,17,CONTEPEC,286,3,16,724,44,107,15,9,124,180,,,0,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244,0,66,1310,1985
5,16,MICHOACAN,3,MARAVATÍO,17,CONTEPEC,287,2,8,276,37,51,11,5,29,104,,,0,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,0,28,570,786
5,16,MICHOACAN,3,MARAVATÍO,17,CONTEPEC,288,5,29,1221,57,228,43,13,232,265,,,0,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2122,0,89,2211,3204
5,16,MICHOACAN,3,MARAVATÍO,17,CONTEPEC,289,1,2,173,130,13,10,0,14,64,,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,0,30,438,592
5,16,MICHOACAN,3,MARAVATÍO,17,CONTEPEC,290,3,18,223,41,86,6,13,9,144,,,0,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,0,53,630,918
5,16,MICHOACAN,3,MARAVATÍO,17,CONTEPEC,291,2,6,375,56,27,10,6,32,93,,,0,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613,0,38,651,968
5,16,MICHOACAN,3,MARAVATÍO,17,CONTEPEC,292,3,10,432,92,69,19,19,64,365,,,0,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106,0,58,1164,1666
5,16,MICHOACAN,3,MARAVATÍO,17,CONTEPEC,293,4,16,817,145,137,19,18,68,343,,,0,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610,0,83,1693,2806
5,16,MICHOACAN,3,MARAVATÍO,17,CONTEPEC,294,4,23,389,193,102,24,19,61,411,,,0,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256,0,95,1351,2559
