id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,PAN,PRI,PRD,PT,PVEM,Convergencia,PANAL,PRI-PANAL,NoRegistrados,Nulos,TOTAL
27,18/10/2009,11,Regidores,27,6,573,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,1503,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,7,195,117,2,2,0,2,0,0,6,331
27,18/10/2009,11,Regidores,27,6,573,2,C,Contigua,0,COMALCALCO,,5,COMALCALCO,1503,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1,157,166,1,2,1,5,1,0,7,341
27,18/10/2009,11,Regidores,27,6,580,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,766,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,6,158,143,1,0,0,1,2,1,11,323
27,18/10/2009,11,Regidores,27,6,583,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,1459,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,5,261,258,2,1,0,8,0,0,8,543
27,18/10/2009,11,Regidores,27,6,589,1,C,Contigua,0,COMALCALCO,,5,COMALCALCO,1260,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,3,262,212,4,1,1,2,0,0,12,497
27,18/10/2009,11,Regidores,27,6,590,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,2267,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,3,214,179,0,0,0,4,0,0,4,404
27,18/10/2009,11,Regidores,27,6,591,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,1699,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,3,192,213,0,1,0,2,0,0,6,417
27,18/10/2009,11,Regidores,27,6,591,1,C,Contigua,0,COMALCALCO,,5,COMALCALCO,1699,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,6,160,177,2,1,0,1,0,0,9,356
27,18/10/2009,11,Regidores,27,6,591,2,C,Contigua,0,COMALCALCO,,5,COMALCALCO,1699,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2,195,182,2,0,0,1,0,0,0,382
27,18/10/2009,11,Regidores,27,6,592,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,1888,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,3,235,219,9,11,0,3,1,0,21,502
27,18/10/2009,11,Regidores,27,6,594,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,1362,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,0,256,218,0,1,0,6,0,0,7,488
27,18/10/2009,11,Regidores,27,6,596,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,1089,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,4,172,193,1,0,0,0,1,0,3,374
27,18/10/2009,11,Regidores,27,6,596,1,C,Contigua,0,COMALCALCO,,5,COMALCALCO,1089,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,6,176,190,0,0,0,2,0,0,10,384
27,18/10/2009,11,Regidores,27,6,601,2,C,Contigua,0,COMALCALCO,,5,COMALCALCO,1686,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,3,232,174,1,0,4,1,1,0,9,425
27,18/10/2009,11,Regidores,27,6,603,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,1370,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,4,191,209,1,1,0,7,0,0,12,425
27,18/10/2009,11,Regidores,27,6,607,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,1560,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,0,200,176,2,0,9,5,1,0,7,400
27,18/10/2009,11,Regidores,27,6,608,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,1552,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2,235,159,1,0,1,0,2,0,5,405
